代數,10000
粒子數,10
旋轉角度上界,0.0004
旋轉角度下界,0.0004
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000
最後資金,11675037.175250001000
真實報酬,1675037.175250001300

夏普值報酬,0.158803717525
夏普值風險,0.041644356975
夏普值,3.813331002353

預期報酬,24641.628047259615
風險,63934.985519363014
起點值,0.385416964547
找到最佳解世代,3745
找到最佳解實驗#,22
找到最佳解次數,1

投資組合檔數,6
1102(1),2317(16),2324(17),2884(33),2887(36),3008(41),
Stock#,1102(1),2317(16),2324(17),2884(33),2887(36),3008(41),
張數,53,28,96,144,165,1,
FS( 47 ),1704419.357499999900,1793258.298000000200,1900683.928000000100,1807492.492000000100,1783472.346250000400,2180133.856999999800,11169464.278750002000
FS( 48 ),1728163.821250000000,1804408.737999999900,1938914.007999999900,1816094.260000000200,1794971.237500000300,2208328.541000000200,11290884.605750002000
FS( 49 ),1700198.119500000000,1798833.517999999700,1931267.991999999900,1816094.260000000200,1813040.923750000100,2222425.883000000400,11281864.696249999000
FS( 50 ),1721831.964250000200,1791585.731999999600,1900683.928000000100,1807492.492000000100,1813040.923750000100,2203629.427000000100,11238268.467000000000
FS( 51 ),1717610.726249999800,1787683.078000000000,1900683.928000000100,1797457.096000000100,1831110.610000000300,2194231.199000000000,11228780.637250002000
FS( 52 ),1710751.214500000000,1778483.964999999900,1877745.879999999700,1797457.096000000100,1837681.405000000300,2180133.856999999800,11182257.417500000000
FS( 53 ),1719721.345250000200,1802736.171999999800,1877745.879999999700,1807492.492000000100,1860679.187500000500,2227124.997000000000,11295504.073749999000
FS( 54 ),1730274.440250000000,1804408.737999999900,1870099.863999999800,1807492.492000000100,1854108.392500000100,2194231.199000000000,11260619.125750002000
FS( 55 ),1737133.952000000000,1800784.844999999700,1889214.903999999600,1811793.375999999900,1849180.296250000100,2325806.390999999800,11413917.764249999000
FS( 56 ),1732385.059250000200,1808311.392000000000,1847161.816000000100,1788855.328000000000,1849180.296250000100,2321107.277000000200,11347005.168500001000
FS( 57 ),1737133.952000000000,1869917.573000000100,1843338.807999999700,1778819.932000000000,1837681.405000000300,2386904.828750000300,11453800.498750001000
FS( 58 ),1749797.666000000000,1881068.013000000000,1831869.784000000200,1788855.328000000000,1831110.610000000300,2344612.802749999800,11427318.203749999000
FS( 59 ),1756129.523000000300,1849289.259000000100,1831869.784000000200,1774519.048000000200,1842609.501250000200,2354011.030749999900,11408432.146000002000
FS( 60 ),1762989.034749999900,1886643.232999999800,1831869.784000000200,1784554.444000000100,1849180.296250000100,2368108.372750000100,11483349.164749999000
FS( 61 ),1765099.653750000300,1888315.798999999900,1808931.736000000000,1784554.444000000100,1837681.405000000300,2377506.600750000200,11462093.638500001000
FS( 62 ),1771431.510750000100,1914519.332999999600,1862453.848000000200,1784554.444000000100,1837681.405000000300,2504392.634499999700,11675037.175250001000
