代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,14033501.379999998956919
真實報酬,4033501.379999998956919

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,18264.812144651739800
風險,344256.764444988337345
起點值,0.053055782866310
找到最佳解世代,3033
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
AAPL[0](1),HD[9](8),MRK[17](16),PG[21](11),
FS( 231 ),4819185.550000000745058,3679626.399999999906868,3201053.199999999720603,2914162.840000000316650,14614027.990000000223517
FS( 232 ),4683575.349999999627471,3645479.319999999366701,3181983.099999999627471,2912288.799999999813735,14423326.570000000298023
FS( 233 ),4777749.099999999627471,3711703.959999999497086,3202869.399999999906868,2936651.320000000298023,14628973.779999999329448
FS( 234 ),4639627.599999999627471,3665139.760000000242144,3251906.799999999813735,2891205.850000000093132,14447880.009999999776483
FS( 235 ),4591912.900000000372529,3646514.080000000074506,3231928.600000000093132,2912288.799999999813735,14382644.379999998956919
FS( 236 ),4417377.550000000745058,3514064.799999999813735,3112059.399999999906868,2846228.890000000130385,13889730.640000000596046
FS( 237 ),4230285.699999999254942,3459222.520000000018626,3041227.600000000093132,2825614.450000000186265,13556350.269999999552965
FS( 238 ),4555499.050000000745058,3651687.879999999888241,3110243.199999999720603,2924470.060000000055879,14241900.190000001341105
FS( 239 ),4601958.099999999627471,3686869.720000000204891,3043043.799999999348074,2922127.510000000242144,14253999.129999998956919
FS( 240 ),4701154.449999999254942,3713773.479999999981374,3054849.099999999627471,2952580.660000000149012,14422357.689999999478459
FS( 241 ),4634605.000000000000000,3649618.360000000335276,3024881.799999999813735,2939930.890000000130385,14249036.050000000745058
FS( 242 ),4552987.750000000000000,3642375.040000000037253,2985833.500000000000000,2930092.180000000167638,14111288.469999998807907
FS( 243 ),4560521.650000000372529,3682730.680000000167638,2976752.500000000000000,2969447.020000000018626,14189451.849999999627471
FS( 244 ),4526619.099999999627471,3593741.319999999366701,2937704.199999999720603,2961482.350000000093132,14019546.969999998807907
FS( 245 ),4455047.049999998882413,3557524.720000000204891,2962222.899999999441206,2961950.859999999869615,13936745.529999997466803
FS( 246 ),4265443.900000000372529,3403345.479999999981374,2889574.899999999906868,2886520.750000000000000,13444885.030000001192093
FS( 247 ),4347061.150000000372529,3416797.360000000335276,2909553.099999999627471,2897764.990000000223517,13571176.599999999627471
FS( 248 ),4426167.099999999627471,3437492.559999999590218,2893207.299999999813735,2876682.040000000037253,13633549.000000000000000
FS( 249 ),4398542.800000000745058,3516134.319999999366701,2911369.299999999813735,2860284.189999999944121,13686330.609999999403954
FS( 250 ),4378452.400000000372529,3522342.879999999888241,2944060.899999999906868,2831705.080000000074506,13676561.259999999776483
FS( 251 ),4544198.199999999254942,3575115.639999999664724,3053032.899999999441206,2855599.090000000316650,14027945.829999998211861
FS( 252 ),4608236.349999999627471,3503717.199999999720603,3059389.599999999627471,2862158.230000000447035,14033501.379999998956919
