代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13478927.799999998882413
真實報酬,3478927.799999998882413

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,13410.035627242052215
風險,189155.887019622488879
起點值,0.070894096073526
找到最佳解世代,1543
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
AAPL[0](2),INTC[11](9),MSFT[18](1),UNH[23](3),
FS( 231 ),3842592.129999999888241,2919794.080000000074506,3245894.699999999720603,3122443.250000000000000,13130724.160000000149012
FS( 232 ),3835383.939999999944121,2945929.120000000111759,3253304.250000000000000,3103896.750000000000000,13138514.060000000521541
FS( 233 ),3836451.819999999832362,2953279.599999999627471,3237991.179999999701977,3133798.250000000000000,13161520.849999999627471
FS( 234 ),3865017.610000000335276,2963080.240000000223517,3246882.640000000130385,3122064.750000000000000,13197045.240000000223517
FS( 235 ),3844994.860000000335276,2958179.919999999925494,3238485.150000000372529,3129634.750000000000000,13171294.679999999701977
FS( 236 ),3835383.939999999944121,2942662.240000000223517,3246882.640000000130385,3129067.000000000000000,13153995.820000000298023
FS( 237 ),3826840.899999999906868,2942662.240000000223517,3244412.790000000502914,3141936.000000000000000,13155851.930000001564622
FS( 238 ),3822302.409999999683350,2923877.679999999701977,3237003.240000000223517,3131716.500000000000000,13114899.830000000074506
FS( 239 ),3781189.029999999795109,2918977.360000000335276,3234533.390000000130385,3138340.250000000465661,13073040.030000001192093
FS( 240 ),3785727.520000000018626,2909993.440000000409782,3222184.140000000130385,3133230.500000000000000,13051135.600000001490116
FS( 241 ),3765704.770000000018626,2878958.080000000074506,3208352.980000000447035,3121875.500000000000000,12974891.330000000074506
FS( 242 ),3786528.430000000167638,2897742.639999999664724,3234533.390000000130385,3163889.000000000000000,13082693.460000000894070
FS( 243 ),3769709.319999999832362,2921427.520000000484288,3230087.660000000149012,3190573.250000000000000,13111797.750000000000000
FS( 244 ),3755826.879999999888241,2932861.599999999627471,3212798.710000000428408,3203063.750000000000000,13104550.939999999478459
FS( 245 ),3802813.600000000093132,2954913.040000000037253,3235521.330000000074506,3246402.000000000000000,13239649.970000000670552
FS( 246 ),3798275.110000000335276,2966347.120000000111759,3279978.630000000353903,3239210.500000000000000,13283811.360000001266599
FS( 247 ),3834849.999999999534339,3001466.080000000074506,3335797.240000000223517,3261352.750000000465661,13433466.070000000298023
FS( 248 ),3858610.330000000074506,3011266.719999999739230,3355062.070000000298023,3293714.500000000000000,13518653.620000001043081
FS( 249 ),3835917.879999999888241,3016167.040000000037253,3350616.339999999850988,3300149.000000000000000,13502850.259999999776483
FS( 250 ),3838854.549999999813735,3057003.040000000037253,3372351.020000000018626,3304880.250000000000000,13573088.859999999403954
FS( 251 ),3835116.970000000204891,2952462.879999999888241,3381736.449999999720603,3309611.500000000000000,13478927.799999998882413
