代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13610552.199999999254942
真實報酬,3610552.199999999254942

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,14567.294010103600158
風險,170518.921757755277213
起點值,0.085429193780608
找到最佳解世代,2029
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
BA[2](6),DD[7](1),MRK[17](15),PFE[20](19),UNH[23](9),
FS( 196 ),3296399.599999999627471,2748587.839999999850988,2259747.200000000186265,2131761.200000000186265,2594869.100000000558794,13031364.940000001341105
FS( 197 ),3303672.199999999720603,2751721.879999999888241,2245316.799999999813735,2146324.280000000260770,2564684.750000000000000,13011719.910000000149012
FS( 198 ),3334404.799999999813735,2716352.000000000000000,2233141.150000000372529,2144937.320000000298023,2580285.649999999441206,13009120.919999998062849
FS( 199 ),3329009.000000000000000,2723067.799999999813735,2249375.350000000093132,2128293.799999999813735,2533482.950000000186265,12963228.899999998509884
FS( 200 ),3300856.999999999534339,2671132.280000000260770,2395483.149999999906868,2117891.599999999627471,2507707.549999999813735,12993071.579999998211861
FS( 201 ),3284669.599999999627471,2719486.040000000037253,2390071.750000000000000,2149791.679999999701977,2510420.750000000000000,13054439.820000000298023
FS( 202 ),3298980.200000000186265,2745006.080000000074506,2368426.150000000372529,2162274.320000000298023,2538231.049999999813735,13112917.800000000745058
FS( 203 ),3289361.600000000093132,2747244.679999999701977,2367524.250000000000000,2161580.839999999850988,2467687.850000000558794,13033399.219999998807907
FS( 204 ),3295226.600000000093132,2746349.240000000223517,2342722.000000000000000,2156033.000000000000000,2459548.250000000000000,12999879.089999999850988
FS( 205 ),3323613.199999999720603,2928571.280000000260770,2337310.600000000093132,2165741.719999999739230,2481253.849999999627471,13236490.650000000372529
FS( 206 ),3386955.200000000186265,2912453.360000000335276,2315665.000000000000000,2168515.639999999664724,2489393.450000000186265,13272982.649999998509884
FS( 207 ),3315167.600000000093132,2851563.439999999478459,2326938.750000000000000,2150485.160000000149012,2482610.450000000186265,13126765.399999998509884
FS( 208 ),3205844.000000000000000,2767839.799999999813735,2344074.849999999627471,2086685.000000000000000,2428346.450000000186265,12832790.099999997764826
FS( 209 ),3222500.600000000093132,2748140.120000000111759,2368877.100000000093132,2056865.359999999869615,2430042.200000000186265,12826425.379999998956919
FS( 210 ),3216166.399999999906868,2745453.799999999813735,2384209.399999999906868,2109569.839999999850988,2432077.099999999627471,12887476.539999999105930
FS( 211 ),3044673.799999999813735,2852011.160000000149012,2354446.700000000186265,2088071.959999999962747,2416815.350000000558794,12756018.970000002533197
FS( 212 ),2968428.799999999813735,2889171.919999999925494,2413070.199999999720603,2137309.040000000037253,2469044.450000000186265,12877024.410000000149012
FS( 213 ),2938634.600000000093132,2901708.080000000074506,2388718.899999999906868,2108182.879999999888241,2451408.650000000372529,12788653.110000001266599
FS( 214 ),2887491.799999999813735,2849324.839999999850988,2348584.350000000093132,2122052.480000000447035,2399179.549999999813735,12606633.019999999552965
FS( 215 ),2863093.400000000372529,2866785.919999999925494,2413070.199999999720603,2180304.799999999813735,2391379.100000000558794,12714633.420000001788139
FS( 216 ),2848079.000000000000000,2859622.399999999441206,2413972.100000000093132,2125519.879999999888241,2401892.750000000000000,12649086.129999998956919
FS( 217 ),2877873.200000000186265,2906633.000000000000000,2424794.900000000372529,2138696.000000000000000,2403588.500000000000000,12751585.600000001490116
FS( 218 ),2979924.199999999720603,2907528.439999999478459,2469889.900000000372529,2165048.240000000223517,2420206.849999999627471,12942597.629999998956919
FS( 219 ),2983208.600000000093132,2922750.919999999925494,2475301.299999999813735,2182385.240000000223517,2365264.549999999813735,12928910.609999999403954
FS( 220 ),3053588.600000000093132,2986327.160000000149012,2511828.250000000000000,2210817.919999999925494,2395109.750000000000000,13157671.679999999701977
FS( 221 ),3005964.799999999813735,2956777.640000000596046,2480261.750000000000000,2192093.959999999962747,2382222.049999999813735,13017320.200000002980232
FS( 222 ),3038105.000000000000000,2952300.439999999478459,2484771.250000000000000,2198335.280000000260770,2415119.599999999627471,13088631.569999998435378
FS( 223 ),3053588.600000000093132,2978268.200000000186265,2500103.549999999813735,2214978.799999999813735,2493463.250000000000000,13240402.400000002235174
FS( 224 ),3064614.799999999813735,2982745.400000000372529,2511377.299999999813735,2210817.919999999925494,2503976.899999999441206,13273532.320000000298023
FS( 225 ),3012064.399999999906868,2960807.120000000111759,2482065.549999999813735,2183078.719999999739230,2494480.700000000186265,13132496.489999998360872
FS( 226 ),3039512.600000000093132,3005579.120000000111759,2516788.700000000186265,2187933.080000000074506,2492106.650000000372529,13241920.150000002235174
FS( 227 ),3009483.799999999813735,2994386.120000000111759,2526709.600000000093132,2181691.759999999776483,2503298.599999999627471,13215569.879999998956919
FS( 228 ),3040216.399999999906868,2993490.679999999701977,2533473.850000000093132,2218446.200000000186265,2577911.600000000558794,13363538.730000000447035
FS( 229 ),2974293.799999999813735,3010951.759999999776483,2521298.199999999720603,2211511.400000000372529,2554510.250000000000000,13272565.410000000149012
FS( 230 ),2970305.600000000093132,3049455.679999999701977,2537532.400000000372529,2218446.200000000186265,2579607.349999999627471,13355347.229999998584390
FS( 231 ),3016052.600000000093132,3092884.519999999552965,2555119.449999999720603,2235089.719999999739230,2578250.750000000000000,13477397.039999999105930
FS( 232 ),3024498.199999999720603,3105868.400000000372529,2570000.800000000279397,2226767.959999999962747,2620644.500000000000000,13547779.859999999403954
FS( 233 ),3008076.200000000186265,3088407.320000000298023,2544296.649999999906868,2217752.719999999739230,2614878.950000000186265,13473411.839999999850988
FS( 234 ),3055230.799999999813735,3153774.439999999478459,2573157.450000000186265,2266989.799999999813735,2649811.399999999441206,13698963.889999996870756
FS( 235 ),3021448.399999999906868,3182428.519999999552965,2565040.350000000093132,2271150.679999999701977,2645063.299999999813735,13685131.250000000000000
FS( 236 ),3023090.600000000093132,3173921.839999999850988,2582176.449999999720603,2251039.759999999776483,2633193.049999999813735,13663421.699999999254942
FS( 237 ),3015583.399999999906868,3156908.480000000447035,2591646.399999999906868,2248959.320000000298023,2625053.450000000186265,13638151.050000000745058
FS( 238 ),2976874.399999999906868,3177055.879999999888241,2584882.149999999906868,2246185.400000000372529,2641332.649999999441206,13626330.480000000447035
FS( 239 ),2948253.200000000186265,3140790.560000000521541,2556472.299999999813735,2248265.839999999850988,2637941.150000000372529,13531723.050000000745058
FS( 240 ),2919162.800000000279397,3126015.799999999813735,2561883.700000000186265,2217752.719999999739230,2631836.450000000186265,13456651.469999998807907
FS( 241 ),2859574.399999999906868,3107659.280000000260770,2515886.799999999813735,2158113.440000000409782,2611826.600000000558794,13253060.520000003278255
FS( 242 ),2888195.600000000093132,3101838.919999999925494,2511828.250000000000000,2165741.719999999739230,2567397.950000000186265,13235002.439999997615814
FS( 243 ),2942388.200000000186265,3124224.919999999925494,2537081.449999999720603,2178917.839999999850988,2603347.850000000558794,13385960.260000001639128
FS( 244 ),2910013.400000000372529,3166758.320000000298023,2541590.950000000186265,2214285.320000000298023,2645402.450000000186265,13478050.440000001341105
FS( 245 ),2867785.399999999906868,3163176.560000000521541,2524905.800000000279397,2199028.759999999776483,2711875.849999999627471,13466772.370000001043081
FS( 246 ),2902740.800000000279397,3203471.360000000335276,2506867.800000000279397,2212898.360000000335276,2765122.400000000372529,13591100.720000000670552
FS( 247 ),2875761.799999999813735,3201232.759999999776483,2464929.449999999720603,2231622.320000000298023,2758678.549999999813735,13532224.879999998956919
FS( 248 ),2895468.200000000186265,3198098.720000000670552,2425245.850000000093132,2183772.200000000186265,2756643.650000000372529,13459228.620000002905726
FS( 249 ),2909544.199999999720603,3228991.400000000372529,2488829.799999999813735,2206657.040000000037253,2750538.950000000186265,13584561.389999996870756
FS( 250 ),2898048.799999999813735,3151535.839999999850988,2526258.650000000372529,2231622.320000000298023,2765461.549999999813735,13572927.160000000149012
FS( 251 ),2890541.599999999627471,3059753.240000000223517,2513181.099999999627471,2226074.480000000447035,2747825.750000000000000,13437376.169999999925494
FS( 252 ),2919866.599999999627471,3073184.839999999850988,2524454.849999999627471,2210817.919999999925494,2768174.750000000000000,13496498.959999999031425
FS( 253 ),2944030.399999999906868,3098257.160000000149012,2560079.900000000372529,2227461.439999999478459,2780723.299999999813735,13610552.199999999254942
