代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12253874.339999999850988
真實報酬,2253874.339999999850988

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,9454.950272271116773
風險,180053.537024399614893
起點值,0.052511883012828
找到最佳解世代,1643
找到最佳解實驗#,1
找到最佳解次數,48

stock[index](rank)
投資組合檔數,4
JNJ[12](1),MRK[17](5),PG[21](2),WMT[28](19),
FS( 231 ),3205681.600000000093132,3175510.919999999925494,3041690.140000000130385,2773841.919999999925494,12196724.580000000074506
FS( 232 ),3202193.439999999944121,3179561.959999999962747,3033698.560000000055879,2778898.660000000149012,12194352.620000001043081
FS( 233 ),3195217.120000000111759,3185132.139999999664724,3068444.560000000055879,2833355.860000000335276,12282149.679999999701977
FS( 234 ),3201656.799999999813735,3189183.179999999701977,3064622.500000000000000,2820130.540000000037253,12275593.019999999552965
FS( 235 ),3213194.560000000055879,3202349.060000000055879,3079910.739999999757856,2839579.540000000037253,12335033.899999998509884
FS( 236 ),3209438.080000000074506,3183613.000000000000000,3055936.000000000000000,2803015.419999999925494,12252002.500000000000000
FS( 237 ),3205681.600000000093132,3202349.060000000055879,3050029.179999999701977,2794068.879999999888241,12252128.719999998807907
FS( 238 ),3172409.920000000391155,3164370.560000000055879,2996520.339999999850988,2734554.939999999944121,12067855.759999999776483
FS( 239 ),3197363.680000000167638,3199817.159999999683350,3066359.799999999813735,2798347.660000000149012,12261888.300000000745058
FS( 240 ),3155774.080000000074506,3129936.720000000204891,3024664.599999999627471,2779676.619999999646097,12090052.019999999552965
FS( 241 ),3162482.080000000074506,3106643.240000000223517,3023274.759999999776483,2782010.500000000000000,12074410.580000000074506
FS( 242 ),3183142.719999999739230,3158800.379999999888241,3059758.060000000055879,2816240.740000000223517,12217941.900000000372529
FS( 243 ),3172946.560000000055879,3153736.580000000074506,3059410.599999999627471,2834522.800000000279397,12220616.540000000968575
FS( 244 ),3157115.680000000167638,3105630.479999999981374,3070529.319999999832362,2804182.360000000335276,12137457.839999999850988
FS( 245 ),3164896.959999999962747,3136519.659999999683350,3077825.979999999981374,2799514.600000000093132,12178757.199999999254942
FS( 246 ),3190655.680000000167638,3175004.540000000037253,3050724.099999999627471,2808072.160000000149012,12224456.480000000447035
FS( 247 ),3205413.279999999795109,3191208.700000000186265,3092071.839999999850988,2811184.000000000000000,12299877.820000000298023
FS( 248 ),3187972.479999999981374,3188170.419999999925494,3049334.259999999776483,2814295.839999999850988,12239773.000000000000000
FS( 249 ),3160335.520000000018626,3147153.639999999664724,3052461.399999999441206,2785900.300000000279397,12145850.859999999403954
FS( 250 ),3198973.600000000093132,3168421.600000000093132,3070181.859999999869615,2813517.879999999888241,12251094.940000001341105
FS( 251 ),3203535.040000000037253,3205387.339999999850988,3108402.459999999497086,2792512.960000000428408,12309837.800000000745058
FS( 252 ),3146651.199999999720603,3135000.519999999552965,3065664.879999999888241,2751281.080000000074506,12098597.679999997839332
FS( 253 ),3169726.719999999739230,3160319.519999999552965,3118478.799999999813735,2805349.300000000279397,12253874.339999999850988
