代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,14079584.650000000372529
真實報酬,4079584.650000000372529

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,17923.408656450756098
風險,183597.676218863023678
起點值,0.097623287100239
找到最佳解世代,2187
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
BA[2](1),DD[7](14),MRK[17](12),UNH[23](9),
FS( 231 ),4557553.419999999925494,3406042.939999999944121,2991268.300000000279397,3375451.779999999795109,14330316.439999999478459
FS( 232 ),4563563.799999999813735,3365104.020000000018626,2957799.900000000372529,3342728.799999999813735,14229196.519999999552965
FS( 233 ),4595285.250000000000000,3350021.260000000242144,2972143.500000000000000,3366486.579999999608845,14283936.589999999850988
FS( 234 ),4621664.139999999664724,3344095.890000000130385,2972741.150000000372529,3327936.219999999739230,14266437.399999998509884
FS( 235 ),4691785.240000000223517,3306927.660000000149012,2994854.200000000186265,3429691.240000000223517,14423258.340000001713634
FS( 236 ),4702136.450000000186265,3310698.350000000093132,2975729.400000000372529,3389796.100000000093132,14378360.300000000745058
FS( 237 ),4745878.660000000149012,3268143.420000000391155,2959592.850000000558794,3410416.060000000055879,14384030.990000000223517
FS( 238 ),4738198.730000000447035,3276223.470000000204891,2981108.250000000465661,3348556.180000000167638,14344086.630000000819564
FS( 239 ),4698129.529999999329448,3213737.750000000000000,3174746.850000000093132,3314488.419999999925494,14401102.549999998882413
FS( 240 ),4675089.740000000223517,3271914.110000000335276,3167575.050000000279397,3318074.500000000000000,14432653.400000000372529
FS( 241 ),4695458.250000000000000,3302618.300000000279397,3138887.850000000558794,3354831.820000000298023,14491796.220000002533197
FS( 242 ),4681767.940000000409782,3305311.650000000372529,3137692.550000000279397,3261593.740000000223517,14386365.880000000819564
FS( 243 ),4690115.690000000409782,3304234.310000000521541,3104821.800000000279397,3250835.500000000000000,14350007.300000000745058
FS( 244 ),4730518.799999999813735,3523473.000000000000000,3097650.000000000000000,3279524.139999999664724,14631165.940000001341105
FS( 245 ),4820674.500000000000000,3504080.879999999888241,3068962.800000000279397,3290282.380000000353903,14684000.560000000521541
FS( 246 ),4718498.040000000037253,3430821.760000000242144,3083904.050000000279397,3281317.180000000167638,14514541.030000001192093
FS( 247 ),4562895.980000000447035,3330090.470000000204891,3106614.750000000000000,3209595.579999999608845,14209196.780000001192093
FS( 248 ),4586603.590000000782311,3306388.990000000223517,3139485.500000000465661,3211836.880000000353903,14244314.960000002756715
FS( 249 ),4577588.020000000484288,3303156.970000000204891,3159805.600000000093132,3214526.439999999478459,14255077.029999999329448
FS( 250 ),4333499.810000000521541,3431360.430000000633299,3120360.700000000186265,3194354.740000000223517,14079575.680000001564622
FS( 251 ),4224979.060000000521541,3476070.040000000502914,3198055.200000000186265,3263386.779999999795109,14162491.080000000074506
FS( 252 ),4182572.490000000223517,3491152.800000000279397,3165782.100000000093132,3240077.260000000242144,14079584.650000000372529
