代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,15200850.820000000298023
真實報酬,5200850.820000000298023

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,23839.122211817320931
風險,340306.582116765202954
起點值,0.070051898683634
找到最佳解世代,2604
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
MCD[15](21),MMM[16](6),MRK[17](8),PG[21](3),V[25](5),
FS( 196 ),2388805.759999999776483,3637242.949999999254942,3131396.240000000223517,2665667.600000000558794,2951252.400000000372529,14774364.950000001117587
FS( 197 ),2337890.719999999739230,3599894.950000000186265,3101532.839999999850988,2640065.000000000000000,2954206.600000000093132,14633590.109999999403954
FS( 198 ),2337505.000000000000000,3722676.500000000000000,3169792.040000000037253,2655853.270000000484288,3019199.000000000465661,14905025.809999998658895
FS( 199 ),2354862.400000000372529,3766560.400000000372529,3203068.399999999906868,2655853.270000000484288,3039878.399999999906868,15020222.870000002905726
FS( 200 ),2378391.320000000298023,3816513.349999999627471,3162966.120000000111759,2660120.370000000111759,3004428.000000000000000,15022419.160000000149012
FS( 201 ),2396905.879999999888241,3823982.949999999254942,3222692.920000000391155,2688709.940000000409782,3129981.500000000465661,15262273.190000001341105
FS( 202 ),2391505.799999999813735,3860864.099999999627471,3242317.439999999944121,2650732.750000000000000,3181680.000000000000000,15327100.089999999850988
FS( 203 ),2407706.040000000037253,3815112.799999999813735,3220986.439999999944121,2652439.589999999850988,3214176.200000000186265,15310421.070000000298023
FS( 204 ),2388420.040000000037253,3756756.549999999813735,3180884.160000000149012,2628117.120000000111759,3214176.200000000186265,15168354.070000000298023
FS( 205 ),2398063.040000000037253,3780099.049999999813735,3191123.040000000037253,2626410.280000000260770,3285077.000000000000000,15280772.410000000149012
FS( 206 ),2416963.320000000298023,3801574.150000000372529,3215866.999999999534339,2615742.530000000260770,3231901.399999999906868,15282048.400000000372529
FS( 207 ),2428920.639999999664724,3826317.199999999254942,3220986.439999999944121,2615742.530000000260770,3187588.399999999906868,15279555.209999999031425
FS( 208 ),2443963.719999999739230,3837054.750000000000000,3178324.439999999944121,2616169.240000000223517,3181680.000000000000000,15257192.150000000372529
FS( 209 ),2446278.040000000037253,3853861.349999999627471,3156140.200000000186265,2614889.110000000335276,3186111.300000000279397,15257280.000000000000000
FS( 210 ),2453606.719999999739230,3895877.849999999627471,3181737.399999999906868,2613608.980000000447035,3203836.500000000465661,15348667.449999999254942
FS( 211 ),2452835.280000000260770,3927623.649999999441206,3165525.839999999850988,2627690.410000000149012,3251103.700000000186265,15424778.879999998956919
FS( 212 ),2425834.879999999888241,3916886.100000000558794,3162112.880000000353903,2618729.500000000000000,3255535.000000000000000,15379098.360000001266599
FS( 213 ),2408477.479999999515712,3859463.549999999813735,3117744.399999999906868,2587152.959999999962747,3230424.300000000279397,15203262.690000001341105
FS( 214 ),2421591.959999999962747,3875803.299999999813735,3157846.679999999701977,2608061.750000000000000,3255535.000000000000000,15318838.689999999478459
FS( 215 ),2403077.400000000372529,3851527.099999999627471,3170645.279999999795109,2608915.169999999925494,3217130.400000000372529,15251295.349999999627471
FS( 216 ),2370291.200000000186265,3906148.549999999813735,3213307.279999999795109,2596540.580000000074506,3174294.500000000000000,15260582.109999999403954
FS( 217 ),2387648.599999999627471,3908949.650000000372529,3218426.719999999739230,2582459.150000000372529,3203836.500000000465661,15301320.619999999180436
FS( 218 ),2385334.280000000260770,3936493.799999999813735,3216720.240000000223517,2579045.469999999739230,3212699.100000000093132,15330292.889999998733401
FS( 219 ),2403848.839999999850988,3920620.900000000372529,3229518.839999999850988,2568804.430000000633299,3203836.500000000465661,15326629.510000001639128
FS( 220 ),2416963.320000000298023,3923888.849999999627471,3203921.639999999664724,2598247.419999999925494,3189065.500000000000000,15332086.729999998584390
FS( 221 ),2414263.280000000260770,3911283.900000000372529,3321668.759999999776483,2625130.150000000372529,3218607.500000000000000,15490953.590000001713634
FS( 222 ),2416577.599999999627471,3898212.099999999627471,3412112.200000000186265,2627690.410000000149012,3228947.200000000186265,15583539.509999997913837
FS( 223 ),2402305.959999999962747,3892143.049999999813735,3367743.719999999739230,2595260.450000000186265,3181680.000000000000000,15439133.179999999701977
FS( 224 ),2448592.360000000335276,3973841.799999999813735,3465866.319999999832362,2633664.350000000558794,3243718.200000000186265,15765683.030000001192093
FS( 225 ),2430463.519999999552965,3955167.799999999813735,3500849.160000000149012,2579472.180000000633299,3228947.200000000186265,15694899.859999999403954
FS( 226 ),2437792.200000000186265,3860864.099999999627471,3419791.359999999869615,2553442.870000000111759,3118164.700000000186265,15390055.230000000447035
FS( 227 ),2445120.879999999888241,3803908.400000000372529,3316549.319999999832362,2573498.240000000223517,3054649.399999999906868,15193726.240000000223517
FS( 228 ),2433549.280000000260770,3820248.149999999441206,3307163.679999999701977,2587152.959999999962747,3029538.700000000186265,15177652.769999999552965
FS( 229 ),2461321.120000000111759,3810911.149999999441206,3291805.359999999869615,2589713.219999999739230,2997042.500000000000000,15150793.349999997764826
FS( 230 ),2458235.360000000335276,3842190.099999999627471,3296924.799999999813735,2594833.740000000223517,3098962.400000000372529,15291146.400000000372529
FS( 231 ),2423520.559999999590218,3769828.349999999627471,3239757.719999999739230,2631957.509999999776483,3051695.200000000186265,15116759.339999999850988
FS( 232 ),2408091.759999999776483,3757690.250000000000000,3257675.759999999776483,2626410.280000000260770,3029538.700000000186265,15079406.750000000000000
FS( 233 ),2464406.879999999888241,3755356.000000000000000,3267914.639999999664724,2645185.520000000484288,3090099.800000000279397,15222962.839999999850988
FS( 234 ),2469806.959999999962747,3754889.150000000372529,3373716.399999999906868,2684016.129999999888241,3101916.600000000093132,15384345.240000000223517
FS( 235 ),2515321.919999999925494,3804842.099999999627471,3303750.719999999739230,2673348.379999999888241,3084191.399999999906868,15381454.519999997690320
FS( 236 ),2470964.120000000111759,3697933.449999999254942,3165525.839999999850988,2620009.629999999888241,3066466.200000000186265,15020899.239999998360872
FS( 237 ),2444349.440000000409782,3666654.500000000000000,3133955.959999999497086,2615742.530000000260770,3048741.000000000000000,14909443.429999999701977
FS( 238 ),2426992.040000000037253,3619502.650000000372529,3122010.600000000093132,2603367.940000000409782,3066466.200000000186265,14838339.429999999701977
FS( 239 ),2452063.839999999850988,3675057.799999999813735,3111771.719999999739230,2635371.190000000409782,3075328.800000000279397,14949593.350000001490116
FS( 240 ),2439720.799999999813735,3670389.299999999813735,3088734.240000000223517,2631530.800000000745058,3088622.700000000186265,14918997.839999999850988
FS( 241 ),2460549.679999999701977,3747419.549999999813735,3146754.560000000055879,2643905.390000000596046,3144752.500000000000000,15143381.679999999701977
FS( 242 ),2452835.280000000260770,3696532.900000000372529,3150167.520000000018626,2635371.190000000409782,3131458.600000000093132,15066365.490000000223517
FS( 243 ),2469035.520000000484288,3756756.549999999813735,3213307.279999999795109,2681029.160000000149012,3171340.299999999813735,15291468.809999998658895
FS( 244 ),2478678.520000000484288,3741350.500000000000000,3186003.600000000093132,2681882.580000000074506,3192019.700000000186265,15279934.900000002235174
FS( 245 ),2487164.360000000335276,3786634.950000000186265,3181737.399999999906868,2704924.919999999925494,3211222.000000000000000,15371683.630000000819564
FS( 246 ),2497193.080000000074506,3805775.799999999813735,3198802.200000000186265,2707485.180000000633299,3205313.600000000093132,15414569.860000001266599
FS( 247 ),2498350.240000000223517,3766560.400000000372529,3167232.319999999832362,2706205.050000000745058,3209744.900000000372529,15348092.910000002011657
FS( 248 ),2502207.440000000409782,3721275.949999999254942,3115184.679999999701977,2697244.140000000596046,3180202.900000000372529,15216115.110000001266599
FS( 249 ),2517250.520000000484288,3738082.549999999813735,3151020.759999999776483,2726260.419999999925494,3162477.700000000186265,15295091.949999999254942
FS( 250 ),2483307.160000000149012,3722676.500000000000000,3120304.120000000111759,2718152.930000000633299,3147706.699999999720603,15192147.410000000149012
FS( 251 ),2462864.000000000000000,3741817.350000000558794,3146754.560000000055879,2700231.110000000335276,3149183.800000000279397,15200850.820000000298023
