代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,14402375.040000000968575
真實報酬,4402375.040000000968575

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,18001.289638869282498
風險,215044.565573097352171
起點值,0.083709577086478
找到最佳解世代,2877
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
HD[9](1),V[25](2),VZ[26](9),WMT[28](5),
FS( 231 ),3923462.500000000000000,3633150.060000000055879,3150077.079999999608845,3495718.510000000707805,14202408.150000002235174
FS( 232 ),3901446.280000000260770,3684449.610000000335276,3108968.239999999292195,3516136.200000000186265,14211000.329999998211861
FS( 233 ),3969772.479999999981374,3732329.190000000409782,3097820.079999999608845,3539877.700000000186265,14339799.449999999254942
FS( 234 ),3947756.260000000242144,3734609.169999999925494,3113845.559999999590218,3527057.290000000502914,14323268.279999999329448
FS( 235 ),3978123.459999999962747,3716369.330000000540167,3098516.839999999385327,3513287.220000000204891,14306296.850000001490116
FS( 236 ),4007731.479999999981374,3738029.140000000130385,3078310.799999999813735,3528481.780000000260770,14352553.199999999254942
FS( 237 ),4035061.959999999962747,3662789.800000000279397,3089458.959999999962747,3506639.600000000093132,14293950.319999998435378
FS( 238 ),4028229.340000000316650,3678749.660000000614673,3107574.719999999739230,3498567.490000000689179,14313121.210000000894070
FS( 239 ),4010009.020000000484288,3657089.850000000093132,3084581.639999999664724,3485272.250000000465661,14236952.760000001639128
FS( 240 ),4153494.040000000502914,3701549.459999999962747,3088762.199999999720603,3514236.880000000353903,14458042.580000000074506
FS( 241 ),4175510.260000000242144,3678749.660000000614673,3079007.559999999590218,3535129.400000000372529,14468396.880000000819564
FS( 242 ),4274962.839999999850988,3695849.510000000242144,3074130.239999999292195,3425918.500000000465661,14470861.089999999850988
FS( 243 ),4306848.400000000372529,3667349.760000000242144,3069949.679999999701977,3418321.220000000204891,14462469.060000000521541
FS( 244 ),4294701.519999999552965,3652529.890000000130385,3044866.319999999832362,3433040.950000000186265,14425138.679999999701977
FS( 245 ),4275722.019999999552965,3634290.050000000279397,2988428.759999999776483,3391730.740000000689179,14290171.570000000298023
FS( 246 ),4300015.780000001192093,3651389.900000000372529,2969616.239999999292195,3407874.959999999962747,14328896.880000002682209
FS( 247 ),4293183.160000000149012,3624030.140000000130385,2943836.119999999646097,3397903.530000000260770,14258952.949999999254942
FS( 248 ),4324309.540000000968575,3610350.260000000242144,3007938.039999999571592,3424019.180000000167638,14366617.019999999552965
FS( 249 ),4302293.320000000298023,3638850.010000000242144,2979370.879999999422580,3442537.550000000279397,14363051.759999999776483
FS( 250 ),4291664.800000000745058,3630870.080000000540167,2973100.039999999571592,3438264.080000000074506,14333899.000000000000000
FS( 251 ),4315199.380000000819564,3649109.919999999925494,3002363.959999999962747,3455357.959999999962747,14422031.220000002533197
FS( 252 ),4298497.419999999925494,3611490.250000000000000,2980067.639999999664724,3430666.800000000279397,14320722.109999999403954
FS( 253 ),4308366.759999999776483,3654809.870000000577420,2991912.559999999590218,3447285.850000000093132,14402375.040000000968575
