代數,10000
粒子數,10
旋轉角度上界,0.0004
旋轉角度下界,0.0004
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000
最後資金,11481813.780499998000
真實報酬,1481813.780499998500

夏普值報酬,0.139481378050
夏普值風險,0.053132414856
夏普值,2.625165417886

預期報酬,7692.237211150302
風險,194346.014239742010
起點值,0.039580113033
找到最佳解世代,4810
找到最佳解實驗#,1
找到最佳解次數,39

投資組合檔數,6
1303(4),2002(8),2357(21),2412(24),3045(40),4904(44),
Stock#,1303(4),2002(8),2357(21),2412(24),3045(40),4904(44),
張數,32,72,13,27,34,53,
FS( 151 ),2003046.736000000000,1808188.245999999800,1927303.767000000200,1796507.514999999900,1914550.777500000100,1653326.761249999700,11102927.802750001000
FS( 152 ),2000498.064000000000,1803170.548000000000,1944646.683500000000,1798389.151750000200,1916920.246000000000,1649105.523250000100,11112734.216500001000
FS( 153 ),2003046.736000000000,1800303.292000000100,1937657.747000000200,1792744.241500000000,1909473.345000000000,1651216.142250000000,11094445.503750000000
FS( 154 ),2033949.383999999800,1811055.501999999900,1896241.827000000000,1809678.972250000300,1948061.831999999900,1660713.927749999800,11159705.445000000000
FS( 155 ),2014834.344000000000,1803170.548000000000,1896241.827000000000,1807797.335500000300,1948061.831999999900,1677598.879749999800,11147708.766250001000
FS( 156 ),1979152.936000000000,1806037.804000000200,1896241.827000000000,1800270.788499999800,1935199.003000000000,1660713.927749999800,11077620.286249999000
FS( 157 ),1955259.136000000200,1790267.895999999700,1882393.378749999900,1802152.425250000300,1937568.471500000200,1662296.892000000000,11029942.199500002000
FS( 158 ),1945701.615999999900,1790267.895999999700,1930798.235250000100,1802152.425250000300,1950431.300500000100,1679181.844000000000,11098537.317000002000
FS( 159 ),1995719.304000000000,1769480.290000000000,1934292.703499999800,1811560.609000000200,1940276.435500000100,1671794.677500000000,11123128.019500000000
FS( 160 ),1993489.215999999800,1762312.150000000100,2013759.500000000200,1809678.972250000300,1935199.003000000000,1675488.260750000100,11189931.102000000000
FS( 161 ),1974374.176000000000,1749409.497999999900,2089861.253000000000,1809678.972250000300,1948061.831999999900,1669684.058500000300,11241073.789749999000
FS( 162 ),1867011.368000000000,1759444.893999999900,2117558.149499999800,1807797.335500000300,1953139.264500000300,1669684.058500000300,11174639.070000000000
FS( 163 ),1924356.487999999900,1764462.592000000200,2186670.965999999500,1817205.519249999900,1996805.184000000100,1679181.844000000000,11368686.593250001000
FS( 164 ),1969595.416000000000,1762312.150000000100,2183176.497750000100,1836021.886750000100,2001882.616500000000,1716645.331250000000,11469637.898250001000
