代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12260938.320000000298023
真實報酬,2260938.320000000298023

夏普值報酬,0.217393832000000
夏普值風險,0.073867649799623
夏普值,2.943018122137556

二次趨勢線,63.771834508476857 x^2 + -6676.487867443194773 x + 10000000.000000000000000
二次加權預期報酬,14793.363083744025062
風險,157409.660934244340751
二次加權趨勢值,0.093980020006039
一次趨勢線,5400.255937276960140 x + 10000000.000000000000000
一次預期報酬,5400.255937276960140
一次風險,481477.460371827473864
一次趨勢值,0.011216009848325
找到最佳解世代,2256
找到最佳解實驗#,1
找到最佳解次數,37

stock[index](rank)
投資組合檔數,4
CSCO[4](14),HD[9](1),NKE[19](2),PG[21](4),
FS( 226 ),3054543.679999999701977,2995604.799999999813735,3112848.950000000651926,2750182.399999999906868,11913179.830000000074506
FS( 227 ),3071589.080000000074506,2999262.399999999906868,3130103.300000000279397,2734972.799999999813735,11935927.580000001937151
FS( 228 ),3099998.080000000074506,2956895.200000000186265,3109014.650000000372529,2756390.399999999906868,11922298.330000000074506
FS( 229 ),3117043.479999999981374,2977926.399999999906868,3124990.900000000372529,2758873.599999999627471,11978834.380000000819564
FS( 230 ),3140907.040000000037253,3029742.399999999906868,3172919.650000000372529,2806985.600000000093132,12150554.689999999478459
FS( 231 ),3135225.239999999757856,3013892.799999999813735,3121795.650000000372529,2796121.599999999627471,12067035.289999999105930
FS( 232 ),3161361.520000000018626,2991947.199999999720603,3132659.500000000465661,2826851.199999999720603,12112819.419999999925494
FS( 233 ),3176134.199999999720603,3005053.600000000093132,3147357.650000000372529,2793638.399999999906868,12122183.849999999627471
FS( 234 ),3155679.719999999739230,3016026.399999999906868,3165251.050000000279397,2811641.599999999627471,12148598.769999999552965
FS( 235 ),3124998.000000000000000,3037057.600000000093132,3174197.750000000465661,2805433.599999999627471,12141686.949999999254942
FS( 236 ),3094316.280000000260770,3061136.800000000279397,3122434.700000000186265,2817228.800000000279397,12095116.580000001937151
FS( 237 ),3115907.120000000111759,3037057.600000000093132,3100707.000000000465661,2815676.799999999813735,12069348.519999999552965
FS( 238 ),3053407.320000000298023,3015721.599999999627471,3120517.550000000279397,2793638.399999999906868,11983284.870000001043081
FS( 239 ),3067043.639999999664724,3056260.000000000000000,3097511.750000000465661,2806364.799999999813735,12027180.190000001341105
FS( 240 ),3052270.959999999962747,3041324.799999999813735,3073227.850000000558794,2779670.399999999906868,11946494.009999999776483
FS( 241 ),3031816.479999999981374,3049554.399999999906868,3049583.000000000465661,2768806.399999999906868,11899760.280000001192093
FS( 242 ),3021589.239999999757856,2958419.200000000186265,2978648.450000000186265,2773772.799999999813735,11732429.690000001341105
FS( 243 ),3046589.159999999683350,3015721.599999999627471,3019547.650000000372529,2815366.399999999906868,11897224.810000000521541
FS( 244 ),3142043.399999999906868,3068452.000000000000000,3101985.100000000093132,2855718.399999999906868,12168198.900000000372529
FS( 245 ),3155679.719999999739230,3106856.800000000279397,3030411.500000000465661,2857270.399999999906868,12150218.419999999925494
FS( 246 ),3206815.919999999925494,3154710.399999999906868,3065559.250000000465661,2874342.399999999906868,12301427.970000000670552
FS( 247 ),3210225.000000000000000,3162635.200000000186265,3066837.350000000558794,2895760.000000000000000,12335457.550000000745058
FS( 248 ),3215906.800000000279397,3156539.200000000186265,3077062.150000000372529,2891104.000000000000000,12340612.150000000372529
FS( 249 ),3221588.600000000093132,3162330.399999999906868,3094316.500000000465661,2901036.799999999813735,12379272.300000000745058
FS( 250 ),3234088.560000000055879,3186104.799999999813735,3109014.650000000372529,2875584.000000000000000,12404792.009999999776483
FS( 251 ),3222724.959999999962747,3178180.000000000000000,3095594.600000000093132,2868134.399999999906868,12364633.960000000894070
FS( 252 ),3161361.520000000018626,3199516.000000000000000,3072588.800000000279397,2827472.000000000000000,12260938.320000000298023
