代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,14528007.250000000000000
真實報酬,4528007.250000000000000

夏普值報酬,0.444100725000000
夏普值風險,0.107475506584697
夏普值,4.132111018709381

二次趨勢線,9.856723934934642 x^2 + 14793.106286818359877 x + 10000000.000000000000000
二次平均預期報酬,17277.000718421892088
風險,264995.324072952440474
二次平均趨勢值,0.065197379534386
一次趨勢線,16652.323490593145834 x + 10000000.000000000000000
一次預期報酬,16652.323490593145834
一次風險,274027.041355313209351
一次趨勢值,0.060768905901521
找到最佳解世代,2080
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
MRK[17](1),PG[21](2),
Stock#,MRK[17](1),PG[21](2),
張數,93861,64599,
FS( 212 ),7175697.979999999515712,6296501.929999999701977,13472199.910000000149012
FS( 213 ),7215119.599999999627471,6332677.369999999180436,13547796.969999998807907
FS( 214 ),7241400.679999999701977,6294563.959999999031425,13535964.639999998733401
FS( 215 ),7263927.319999999366701,6325571.479999999515712,13589498.799999998882413
FS( 216 ),7210426.549999998882413,6275184.259999999776483,13485610.809999998658895
FS( 217 ),7276129.249999999068677,6312005.689999999478459,13588134.939999997615814
FS( 218 ),7200101.839999998919666,6348181.129999998956919,13548282.969999998807907
FS( 219 ),7369990.249999999068677,6412134.139999999664724,13782124.389999998733401
FS( 220 ),7416920.749999999068677,6410842.159999999217689,13827762.909999998286366
FS( 221 ),7409411.869999999180436,6360454.939999999478459,13769866.809999998658895
FS( 222 ),7491070.939999999478459,6361746.919999999925494,13852817.859999999403954
FS( 223 ),7437570.169999998994172,6459291.409999999217689,13896861.579999998211861
FS( 224 ),7455403.759999999776483,6413426.119999999180436,13868829.879999998956919
FS( 225 ),7492948.159999999217689,6445725.619999999180436,13938673.779999997466803
FS( 226 ),7581177.499999999068677,6476087.149999999441206,14057264.649999998509884
FS( 227 ),7544571.709999999031425,6432159.829999999143183,13976731.539999999105930
FS( 228 ),7578361.669999998994172,6448955.569999999366701,14027317.239999998360872
FS( 229 ),7567098.349999999627471,6389524.489999999292195,13956622.839999999850988
FS( 230 ),7629985.219999999739230,6366268.849999999627471,13996254.070000000298023
FS( 231 ),7663775.179999999701977,6359162.959999999031425,14022938.139999998733401
FS( 232 ),7637494.099999999627471,6386940.529999999329448,14024434.629999998956919
FS( 233 ),7668468.229999999515712,6401152.309999999590218,14069620.539999999105930
FS( 234 ),7580238.889999999664724,6390816.469999999739230,13971055.359999999403954
FS( 235 ),7551141.979999999515712,6366268.849999999627471,13917410.829999998211861
FS( 236 ),7490132.329999999143183,6357224.989999999292195,13847357.319999998435378
FS( 237 ),7590563.599999999627471,6432805.819999999366701,14023369.419999998062849
FS( 238 ),7624353.559999999590218,6463167.349999999627471,14087520.910000000149012
FS( 239 ),7659082.129999998956919,6536164.219999999739230,14195246.349999997764826
FS( 240 ),7648757.419999998994172,6545208.079999999143183,14193965.499999998137355
FS( 241 ),7656266.299999998882413,6617558.959999999031425,14273825.259999997913837
FS( 242 ),7635616.879999998956919,6557481.889999999664724,14193098.769999999552965
FS( 243 ),7688179.039999999105930,6582675.500000000000000,14270854.539999999105930
FS( 244 ),7704135.409999999217689,6571047.679999999701977,14275183.089999999850988
FS( 245 ),7785794.479999999515712,6620788.909999999217689,14406583.389999998733401
FS( 246 ),7723846.219999999739230,6567171.739999999292195,14291017.959999999031425
FS( 247 ),7729477.879999998956919,6586551.439999999478459,14316029.319999998435378
FS( 248 ),7782978.649999999441206,6655026.379999998956919,14438005.029999997466803
FS( 249 ),7723846.219999999739230,6647274.500000000000000,14371120.719999998807907
FS( 250 ),7755758.959999999031425,6689263.849999999627471,14445022.809999998658895
FS( 251 ),7806443.899999999441206,6721563.349999999627471,14528007.250000000000000
