代數,10000
粒子數,10
旋轉角度上界,0.00125
旋轉角度下界,0.00045
實驗次數,50

初始資金,10000000.000000000000
最後資金,12951030.000000000000
真實報酬,2951030.000000000000

夏普值報酬,0.000000000000
夏普值風險,0.000000000000
夏普值,0.000000000000

預期報酬,11663.391950624633
風險,167128.152070507700
起點值,0.069787117288
找到最佳解世代,1472
找到最佳解實驗#,1
找到最佳解次數,20

投資組合檔數,8
1101(0)[18],1216(2)[1],2301(13)[12],2412(27)[10],2881(33)[3],3008(42)[14],3045(43)[23],9999(50)[39],
Stock#,1101(0)[18],1216(2)[1],2301(13)[12],2412(27)[10],2881(33)[3],3008(42)[14],3045(43)[23],9999(50)[39],
張數,48,38,47,18,54,2,17,-1,
FS( 108 ),1431440.000000000200,1492440.000000000200,1410270.000000000000,1326859.999999999800,1469780.000000000000,1629580.000000000000,1379030.000000000000,1250000.000000000000,11389400.000000000000
FS( 109 ),1429520.000000000200,1478380.000000000000,1406510.000000000000,1326859.999999999800,1471940.000000000000,1599840.000000000000,1372400.000000000000,1250000.000000000000,11335450.000000000000
FS( 110 ),1418000.000000000000,1481039.999999999800,1396170.000000000000,1324160.000000000000,1476800.000000000200,1616580.000000000000,1372400.000000000000,1250000.000000000000,11335150.000000000000
FS( 111 ),1436720.000000000500,1500800.000000000000,1406510.000000000000,1328300.000000000000,1483280.000000000000,1640740.000000000000,1411840.000000000000,1250000.000000000000,11458190.000000000000
FS( 112 ),1425680.000000000200,1523219.999999999800,1415440.000000000000,1328300.000000000000,1487600.000000000200,1744800.000000000000,1411840.000000000000,1250000.000000000000,11586880.000000000000
FS( 113 ),1481840.000000000200,1523219.999999999800,1420609.999999999800,1331180.000000000000,1487600.000000000200,1752240.000000000000,1398750.000000000000,1250000.000000000000,11645440.000000000000
FS( 114 ),1466960.000000000200,1517900.000000000000,1399460.000000000000,1335320.000000000000,1474100.000000000200,1787540.000000000000,1418300.000000000000,1250000.000000000000,11649580.000000000000
FS( 115 ),1463120.000000000200,1531960.000000000000,1396170.000000000000,1342340.000000000000,1474100.000000000200,1763380.000000000000,1411840.000000000000,1250000.000000000000,11632910.000000000000
FS( 116 ),1466960.000000000200,1562740.000000000000,1408390.000000000000,1339640.000000000000,1500560.000000000000,1750380.000000000000,1398750.000000000000,1250000.000000000000,11677420.000000000000
FS( 117 ),1468880.000000000200,1551719.999999999800,1415440.000000000000,1334060.000000000000,1511900.000000000000,1718780.000000000000,1398750.000000000000,1250000.000000000000,11649530.000000000000
FS( 118 ),1468880.000000000200,1546020.000000000000,1406510.000000000000,1324160.000000000000,1502719.999999999800,1611000.000000000000,1379030.000000000000,1250000.000000000000,11488320.000000000000
FS( 119 ),1461200.000000000200,1554380.000000000000,1399460.000000000000,1324160.000000000000,1500560.000000000000,1531080.000000000000,1392120.000000000000,1250000.000000000000,11412960.000000000000
