代數,10000
粒子數,10
旋轉角度上界,0.00125
旋轉角度下界,0.00045
實驗次數,50

初始資金,10000000.000000000000
最後資金,13943530.000000000000
真實報酬,3943530.000000000000

夏普值報酬,0.000000000000
夏普值風險,0.000000000000
夏普值,0.000000000000

預期報酬,15571.391155251087
風險,126809.368641111430
起點值,0.122793696729
找到最佳解世代,1695
找到最佳解實驗#,3
找到最佳解次數,8

投資組合檔數,7
1101(0)[6],2002(8)[22],2317(16)[1],2382(24)[3],2454(27)[2],2474(28)[9],2892(39)[10],
Stock#,1101(0)[6],2002(8)[22],2317(16)[1],2382(24)[3],2454(27)[2],2474(28)[9],2892(39)[10],
張數,49,70,32,29,5,10,130,
FS( 95 ),1662791.000000000000,1525871.000000000200,1605211.000000000000,1517311.000000000200,1750220.999999999800,1659371.000000000000,1558571.000000000000,11279350.000000000000
FS( 96 ),1662791.000000000000,1516771.000000000500,1626651.000000000000,1533551.000000000200,1741771.000000000000,1650371.000000000000,1558571.000000000000,11290480.000000000000
FS( 97 ),1721100.999999999500,1525871.000000000200,1624411.000000000000,1524271.000000000200,1741771.000000000000,1645871.000000000200,1571571.000000000000,11354870.000000000000
FS( 98 ),1743640.999999999800,1525871.000000000200,1630811.000000000000,1484541.000000000000,1756571.000000000200,1663871.000000000000,1571571.000000000000,11376880.000000000000
FS( 99 ),1779410.999999999500,1540571.000000000200,1635291.000000000000,1514991.000000000500,1830471.000000000000,1668371.000000000200,1575470.999999999800,11544580.000000000000
FS( 100 ),1725511.000000000000,1528671.000000000200,1635291.000000000000,1493821.000000000000,1777671.000000000000,1654871.000000000200,1567671.000000000000,11383510.000000000000
FS( 101 ),1707380.999999999500,1519571.000000000000,1618011.000000000000,1465981.000000000500,1760771.000000000000,1609971.000000000000,1545571.000000000000,11227260.000000000000
FS( 102 ),1727470.999999999800,1525871.000000000200,1609371.000000000000,1472941.000000000200,1798771.000000000000,1605470.999999999800,1554671.000000000000,11294570.000000000000
FS( 103 ),1769610.999999999800,1531471.000000000500,1620251.000000000000,1475261.000000000000,1815671.000000000000,1618971.000000000000,1575470.999999999800,11406710.000000000000
FS( 104 ),1767650.999999999800,1546871.000000000200,1628891.000000000000,1479901.000000000200,1830471.000000000000,1618971.000000000000,1571571.000000000000,11444330.000000000000
FS( 105 ),1824000.999999999800,1531471.000000000500,1626651.000000000000,1514991.000000000500,1817821.000000000200,1614470.999999999800,1575470.999999999800,11504880.000000000000
FS( 106 ),1864180.999999999800,1537771.000000000500,1637211.000000000000,1517311.000000000200,1845220.999999999800,1636871.000000000000,1584571.000000000000,11623140.000000000000
FS( 107 ),1898480.999999999500,1553171.000000000200,1682331.000000000000,1545151.000000000200,1849471.000000000000,1668371.000000000200,1584571.000000000000,11781550.000000000000
FS( 108 ),1878390.999999999800,1555971.000000000200,1686491.000000000000,1533551.000000000200,1824121.000000000200,1672871.000000000000,1584571.000000000000,11735970.000000000000
FS( 109 ),1886230.999999999500,1544071.000000000200,1684251.000000000000,1531231.000000000500,1843121.000000000200,1672871.000000000000,1580671.000000000000,11742450.000000000000
FS( 110 ),1866140.999999999800,1553171.000000000200,1703771.000000000000,1526591.000000000200,1845220.999999999800,1677270.999999999800,1589771.000000000000,11761940.000000000000
FS( 111 ),1866140.999999999800,1549671.000000000200,1690651.000000000000,1531231.000000000500,1826220.999999999800,1681771.000000000000,1580671.000000000000,11726360.000000000000
FS( 112 ),1797541.000000000000,1534971.000000000200,1692891.000000000000,1554721.000000000200,1824121.000000000200,1785071.000000000000,1571571.000000000000,11760890.000000000000
FS( 113 ),1815670.999999999800,1549671.000000000200,1716571.000000000000,1580241.000000000500,1815671.000000000000,1780571.000000000000,1589771.000000000000,11848170.000000000000
FS( 114 ),1824000.999999999800,1555971.000000000200,1722971.000000000000,1594451.000000000500,1822021.000000000000,1821071.000000000000,1593670.999999999800,11934160.000000000000
FS( 115 ),1835761.000000000000,1558771.000000000200,1686491.000000000000,1566321.000000000000,1824121.000000000200,1821071.000000000000,1593670.999999999800,11886210.000000000000
FS( 116 ),1880350.999999999500,1546871.000000000200,1692891.000000000000,1564001.000000000000,1786121.000000000000,1776071.000000000000,1580671.000000000000,11826980.000000000000
FS( 117 ),1860261.000000000000,1574171.000000000200,1692891.000000000000,1582561.000000000200,1769221.000000000000,1749171.000000000000,1589771.000000000000,11818050.000000000000
FS( 118 ),1822041.000000000000,1576971.000000000200,1673691.000000000000,1570961.000000000200,1769221.000000000000,1731171.000000000200,1580671.000000000000,11724730.000000000000
FS( 119 ),1815670.999999999800,1574171.000000000200,1684251.000000000000,1549791.000000000000,1796671.000000000000,1749171.000000000000,1575470.999999999800,11745200.000000000000
FS( 120 ),1822041.000000000000,1586071.000000000000,1701531.000000000000,1568641.000000000200,1773471.000000000000,1803071.000000000000,1575470.999999999800,11830300.000000000000
FS( 121 ),1842130.999999999500,1592371.000000000000,1710171.000000000000,1584881.000000000200,1819920.999999999800,1789571.000000000000,1589771.000000000000,11928820.000000000000
FS( 122 ),1849970.999999999800,1592371.000000000000,1703771.000000000000,1589521.000000000200,1834670.999999999800,1722270.999999999800,1589771.000000000000,11882350.000000000000
FS( 123 ),1858300.999999999800,1586071.000000000000,1703771.000000000000,1610691.000000000200,1830471.000000000000,1771671.000000000000,1580671.000000000000,11941650.000000000000
FS( 124 ),1840170.999999999800,1583271.000000000200,1705691.000000000000,1608371.000000000200,1813571.000000000000,1771671.000000000000,1580671.000000000000,11903420.000000000000
FS( 125 ),1844090.999999999500,1586071.000000000000,1703771.000000000000,1615331.000000000200,1824121.000000000200,1722270.999999999800,1584571.000000000000,11880230.000000000000
FS( 126 ),1849970.999999999800,1610571.000000000200,1710171.000000000000,1615331.000000000200,1817821.000000000200,1735671.000000000000,1597571.000000000200,11937110.000000000000
FS( 127 ),1851930.999999999800,1640671.000000000200,1722971.000000000000,1610691.000000000200,1849471.000000000000,1762671.000000000200,1606670.999999999800,12045080.000000000000
FS( 128 ),1888191.000000000000,1652571.000000000200,1731611.000000000000,1624611.000000000200,1885371.000000000200,1807571.000000000000,1632671.000000000000,12222600.000000000000
FS( 129 ),1873980.999999999500,1646971.000000000200,1727131.000000000000,1629251.000000000000,1881121.000000000000,1789571.000000000000,1637871.000000000000,12185900.000000000000
FS( 130 ),1840170.999999999800,1619671.000000000200,1733531.000000000000,1610691.000000000200,1870571.000000000000,1821071.000000000000,1632671.000000000000,12128380.000000000000
FS( 131 ),1805870.999999999800,1607071.000000000000,1712091.000000000000,1589521.000000000200,1847371.000000000000,1803071.000000000000,1610571.000000000000,11975570.000000000000
FS( 132 ),1767650.999999999800,1601471.000000000500,1703771.000000000000,1641141.000000000200,1830471.000000000000,1762671.000000000200,1610571.000000000000,11917750.000000000000
FS( 133 ),1789700.999999999800,1588871.000000000200,1703771.000000000000,1629251.000000000000,1775571.000000000000,1798571.000000000000,1606670.999999999800,11892410.000000000000
FS( 134 ),1779410.999999999500,1588871.000000000200,1714331.000000000000,1641141.000000000200,1727021.000000000000,1798571.000000000000,1606670.999999999800,11856020.000000000000
FS( 135 ),1739230.999999999500,1586071.000000000000,1735771.000000000000,1641141.000000000200,1748121.000000000200,1843471.000000000000,1610571.000000000000,11904380.000000000000
FS( 136 ),1775490.999999999800,1586071.000000000000,1750811.000000000000,1643461.000000000200,1769221.000000000000,1874971.000000000000,1610571.000000000000,12010600.000000000000
FS( 137 ),1775490.999999999800,1601471.000000000500,1763611.000000000000,1690151.000000000200,1762921.000000000000,1883871.000000000000,1619671.000000000000,12097190.000000000000
FS( 138 ),1787740.999999999800,1625271.000000000500,1774171.000000000000,1750761.000000000000,1762921.000000000000,1843471.000000000000,1615771.000000000000,12160110.000000000000
FS( 139 ),1813710.999999999800,1631571.000000000200,1795611.000000000000,1823261.000000000000,1777671.000000000000,1888371.000000000200,1619671.000000000000,12349870.000000000000
FS( 140 ),1783821.000000000000,1631571.000000000200,1808411.000000000000,1783531.000000000200,1773471.000000000000,1874971.000000000000,1619671.000000000000,12275450.000000000000
FS( 141 ),1775490.999999999800,1616171.000000000200,1806491.000000000000,1799771.000000000200,1760771.000000000000,1874971.000000000000,1615771.000000000000,12249440.000000000000
FS( 142 ),1789700.999999999800,1628771.000000000200,1836251.000000000000,1856031.000000000200,1739670.999999999800,1915371.000000000000,1619671.000000000000,12385470.000000000000
FS( 143 ),1820081.000000000000,1628771.000000000200,1821211.000000000000,1802091.000000000200,1646771.000000000000,1910871.000000000200,1615771.000000000000,12245570.000000000000
FS( 144 ),1831840.999999999500,1628771.000000000200,1814811.000000000000,1816301.000000000200,1693221.000000000000,1942270.999999999800,1619671.000000000000,12346890.000000000000
FS( 145 ),1842130.999999999500,1628771.000000000200,1808411.000000000000,1818621.000000000200,1705871.000000000000,1906371.000000000000,1606670.999999999800,12316850.000000000000
FS( 146 ),1838210.999999999800,1634371.000000000200,1832091.000000000000,1804411.000000000200,1729121.000000000200,1892871.000000000000,1624871.000000000000,12355950.000000000000
FS( 147 ),1795581.000000000000,1588871.000000000200,1829851.000000000000,1757721.000000000200,1699571.000000000000,1865971.000000000000,1597571.000000000200,12135140.000000000000
FS( 148 ),1727470.999999999800,1537771.000000000500,1752731.000000000000,1743801.000000000200,1701671.000000000000,1856970.999999999800,1562471.000000000000,11882890.000000000000
FS( 149 ),1759321.000000000000,1553171.000000000200,1765851.000000000000,1739161.000000000200,1729121.000000000200,1919871.000000000200,1571571.000000000000,12038070.000000000000
FS( 150 ),1767650.999999999800,1565071.000000000200,1754971.000000000000,1753081.000000000200,1737571.000000000200,2027571.000000000000,1575470.999999999800,12181390.000000000000
FS( 151 ),1795581.000000000000,1574171.000000000200,1761371.000000000000,1734521.000000000200,1739670.999999999800,1987171.000000000000,1575470.999999999800,12167960.000000000000
FS( 152 ),1809791.000000000000,1583271.000000000200,1733531.000000000000,1727561.000000000200,1777671.000000000000,2014171.000000000000,1575470.999999999800,12221470.000000000000
FS( 153 ),1835761.000000000000,1586071.000000000000,1774171.000000000000,1753081.000000000200,1841021.000000000000,2103971.000000000000,1589771.000000000000,12483850.000000000000
FS( 154 ),1842130.999999999500,1567871.000000000200,1782811.000000000000,1736841.000000000200,1819920.999999999800,2027571.000000000000,1575470.999999999800,12352620.000000000000
FS( 155 ),1853890.999999999800,1588871.000000000200,1800091.000000000000,1734521.000000000200,1830471.000000000000,1969271.000000000000,1589771.000000000000,12366890.000000000000
