代數,10000
粒子數,10
旋轉角度上界,0.00125
旋轉角度下界,0.00045
實驗次數,50

初始資金,10000000.000000000000
最後資金,12933725.708799999000
真實報酬,2933725.708799999200

夏普值報酬,0.000000000000
夏普值風險,0.000000000000
夏普值,0.000000000000

預期報酬,11349.313836861073
風險,148168.040771236120
起點值,0.076597583243
找到最佳解世代,1501
找到最佳解實驗#,3
找到最佳解次數,22

投資組合檔數,7
1326(5)[29],2301(12)[12],2474(28)[24],2882(33)[1],2912(40)[4],3008(41)[16],9999(49)[33],
Stock#,1326(5)[29],2301(12)[12],2474(28)[24],2882(33)[1],2912(40)[4],3008(41)[16],9999(49)[33],
張數,22,47,11,61,10,1,-1,
FS( 144 ),1493031.000000000000,1808800.999999999800,1404921.000000000200,1970251.000000000500,1906870.999999999800,1621841.000000000000,1428571.000000000000,11634290.000000000000
FS( 145 ),1483571.000000000200,1797050.999999999800,1376541.000000000200,1933651.000000000200,1856570.999999999800,1603261.000000000000,1428571.000000000000,11479220.000000000000
FS( 146 ),1483571.000000000200,1776370.999999999800,1395461.000000000200,1933651.000000000200,1932271.000000000200,1631141.000000000000,1428571.000000000000,11581040.000000000000
FS( 147 ),1464650.999999999800,1739240.999999999500,1395461.000000000200,1898881.000000000200,1909971.000000000000,1621841.000000000000,1428571.000000000000,11458620.000000000000
FS( 148 ),1474111.000000000000,1743001.000000000000,1414381.000000000200,1922061.000000000000,1963471.000000000000,1654371.000000000000,1428571.000000000000,11599970.000000000000
FS( 149 ),1479831.000000000200,1839350.999999999500,1433411.000000000200,1919621.000000000200,2043571.000000000000,1696181.000000000000,1428571.000000000000,11840540.000000000000
FS( 150 ),1474111.000000000000,1826660.999999999800,1438141.000000000200,1928771.000000000500,1963471.000000000000,1682241.000000000000,1428571.000000000000,11741970.000000000000
FS( 151 ),1474111.000000000000,1815380.999999999800,1423841.000000000200,1908031.000000000500,1932271.000000000200,1654371.000000000000,1428571.000000000000,11636580.000000000000
FS( 152 ),1474111.000000000000,1797050.999999999800,1428571.000000000000,1915351.000000000000,1950070.999999999800,1663661.000000000000,1428571.000000000000,11657390.000000000000
FS( 153 ),1474111.000000000000,1815380.999999999800,1433411.000000000200,1901321.000000000000,1918871.000000000000,1663661.000000000000,1428571.000000000000,11635330.000000000000
FS( 154 ),1474111.000000000000,1809740.999999999500,1400191.000000000200,1898881.000000000200,1927771.000000000000,1635781.000000000000,1428571.000000000000,11575050.000000000000
FS( 155 ),1445731.000000000000,1797050.999999999800,1423841.000000000200,1864721.000000000200,1963471.000000000000,1659011.000000000000,1428571.000000000000,11582400.000000000000
