代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13429150.320000000298023
真實報酬,3429150.320000000298023

夏普值報酬,0.334215032000000
夏普值風險,0.105816611854389
夏普值,3.158436337575267

二次趨勢線,78.990053879389777 x^2 + -4398.473145309568281 x + 10000000.000000000000000
二次加權預期報酬,21878.884778567429748
風險,167523.471977062057704
二次加權趨勢值,0.130601906230568
一次趨勢線,10382.481325608321640 x + 10000000.000000000000000
一次預期報酬,10382.481325608321640
一次風險,575230.815279784146696
一次趨勢值,0.018049243972715
找到最佳解世代,1864
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
AXP[1](2),BA[2](1),JNJ[12](4),V[25](3),
FS( 226 ),3224386.069999999832362,3419982.659999999683350,3220942.040000000037253,3554156.049999999813735,13419466.820000000298023
FS( 227 ),3210414.859999999869615,3385137.419999999925494,3148884.600000000093132,3517043.439999999944121,13261480.319999998435378
FS( 228 ),3223539.330000000074506,3434672.319999999832362,3161384.359999999869615,3573896.799999999813735,13393492.809999998658895
FS( 229 ),3205334.419999999459833,3382746.079999999608845,3094841.520000000018626,3517043.439999999944121,13199965.459999999031425
FS( 230 ),3237510.540000000037253,3441504.719999999739230,3114326.439999999944121,3557314.569999999832362,13350656.269999999552965
FS( 231 ),3220152.370000000111759,3402901.659999999683350,3091900.399999999906868,3557314.569999999832362,13272269.000000000000000
FS( 232 ),3165114.270000000018626,3364640.219999999739230,3076459.520000000018626,3498881.950000000186265,13105095.960000000894070
FS( 233 ),3227773.029999999795109,3408025.959999999962747,3105135.439999999944121,3540732.340000000316650,13281666.769999999552965
FS( 234 ),3303979.630000000353903,3501288.219999999739230,3121679.239999999757856,3552576.790000000037253,13479523.879999998956919
FS( 235 ),3314140.509999999776483,3492747.719999999739230,3130134.959999999962747,3599164.959999999962747,13536188.149999998509884
FS( 236 ),3239627.389999999664724,3476008.339999999850988,3113591.160000000149012,3547049.379999999888241,13376276.269999999552965
FS( 237 ),3163420.790000000037253,3446287.399999999906868,3078665.359999999869615,3536784.189999999944121,13225157.739999998360872
FS( 238 ),3184165.919999999459833,3490014.759999999776483,3121679.239999999757856,3597585.700000000186265,13393445.620000001043081
FS( 239 ),3089331.040000000037253,3478741.299999999813735,3121679.239999999757856,3571527.909999999683350,13261279.490000000223517
FS( 240 ),3126164.229999999981374,3519735.699999999720603,3148149.319999999832362,3599954.590000000316650,13394003.839999999850988
FS( 241 ),3174428.410000000149012,3555605.799999999813735,3174987.040000000037253,3632329.419999999925494,13537350.669999999925494
FS( 242 ),3142675.660000000149012,3493089.339999999850988,3119841.040000000037253,3605481.999999999534339,13361088.039999999105930
FS( 243 ),3087214.189999999944121,3403926.520000000018626,3037489.680000000167638,3523360.479999999515712,13051990.870000001043081
FS( 244 ),3103725.620000000111759,3415541.600000000093132,3058812.800000000279397,3543890.860000000335276,13121970.880000002682209
FS( 245 ),3048687.520000000018626,3342776.539999999571592,3110650.040000000037253,3519412.330000000074506,13021526.429999999701977
FS( 246 ),3100338.660000000149012,3370789.379999999888241,3137855.399999999906868,3562841.979999999515712,13171825.419999998062849
FS( 247 ),3128704.450000000186265,3441846.339999999850988,3198148.359999999869615,3605481.999999999534339,13374181.150000000372529
FS( 248 ),3180355.590000000316650,3523835.140000000130385,3187854.439999999944121,3637856.830000000074506,13529902.000000000000000
FS( 249 ),3165114.270000000018626,3499580.119999999646097,3156605.040000000037253,3607850.889999999664724,13429150.320000000298023
