代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13308053.860000001266599
真實報酬,3308053.860000001266599

夏普值報酬,0.322105386000000
夏普值風險,0.091706678432314
夏普值,3.512343828238587

二次趨勢線,13.470872637372667 x^2 + 10931.915089779628033 x + 10000000.000000000000000
二次加權預期報酬,15449.147714178589013
風險,229765.324680579506094
二次加權趨勢值,0.067238813061353
一次趨勢線,13472.848398106903915 x + 10000000.000000000000000
一次預期報酬,13472.848398106903915
一次風險,248767.009316362469690
一次趨勢值,0.054158501302611
找到最佳解世代,1632
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
INTC[11](3),MRK[17](15),MSFT[18](1),NKE[19](4),V[25](2),
FS( 193 ),2961731.479999999515712,1747633.020000000018626,2663038.799999999813735,2290873.000000000000000,2545026.560000000055879,12208302.860000001266599
FS( 194 ),3064539.320000000298023,1757901.960000000195578,2724941.979999999981374,2284735.000000000000000,2586374.879999999888241,12418493.140000000596046
FS( 195 ),3054378.080000000074506,1748877.740000000223517,2695017.220000000204891,2278938.000000000000000,2566236.320000000298023,12343447.360000001266599
FS( 196 ),3151208.719999999739230,1765681.460000000195578,2745478.580000000074506,2310992.000000000000000,2593873.279999999795109,12567234.039999999105930
FS( 197 ),3099804.799999999813735,1779062.200000000186265,2730809.580000000074506,2293260.000000000000000,2587017.600000000093132,12489954.179999999701977
FS( 198 ),3132081.679999999701977,1825116.840000000083819,2762788.000000000000000,2286781.000000000000000,2611226.720000000204891,12617994.240000000223517
FS( 199 ),3200221.759999999776483,1844410.000000000232831,2818530.199999999720603,2302126.000000000000000,2652360.799999999813735,12817648.759999997913837
FS( 200 ),3204405.799999999813735,1833518.700000000186265,2829385.259999999776483,2257455.000000000000000,2652360.799999999813735,12777125.559999998658895
FS( 201 ),3121322.719999999739230,1824805.660000000149012,2819703.720000000204891,2241428.000000000000000,2655788.640000000130385,12663048.740000000223517
FS( 202 ),3080080.040000000037253,1830718.080000000074506,2787138.540000000037253,2253704.000000000000000,2660930.400000000372529,12612571.060000000521541
FS( 203 ),3054378.080000000074506,1874905.640000000130385,2797406.839999999850988,2280643.000000000000000,2666500.640000000130385,12673834.200000001117587
FS( 204 ),3075298.280000000260770,1869926.760000000242144,2731983.100000000093132,2283712.000000000000000,2598158.080000000074506,12559078.220000000670552
FS( 205 ),3071114.240000000223517,1855612.480000000214204,2708219.320000000298023,2273482.000000000000000,2596872.640000000130385,12505300.680000001564622
FS( 206 ),3170933.479999999515712,1848766.520000000018626,2765428.420000000391155,2320540.000000000000000,2722631.520000000018626,12828299.939999999478459
FS( 207 ),3151806.439999999478459,1850633.600000000093132,2811195.699999999720603,2372031.000000000000000,2699707.840000000316650,12885374.579999998211861
FS( 208 ),3085459.519999999552965,1831962.800000000046566,2743718.299999999813735,2332134.000000000000000,2718346.720000000204891,12711621.339999999850988
FS( 209 ),3187669.639999999664724,1804267.780000000027940,2787138.540000000037253,2322245.000000000000000,2731843.840000000316650,12833164.800000000745058
FS( 210 ),3126702.200000000186265,1783107.540000000037253,2743424.920000000391155,2327701.000000000000000,2707634.720000000204891,12688570.380000000819564
FS( 211 ),3124909.040000000037253,1790264.680000000167638,2759854.199999999720603,2281325.000000000000000,2724773.920000000391155,12681126.839999999850988
FS( 212 ),3154795.040000000037253,1797110.640000000130385,2791832.620000000111759,2322245.000000000000000,2745769.439999999944121,12811752.740000000223517
FS( 213 ),3187669.639999999664724,1785596.980000000214204,2822930.899999999906868,2364529.000000000000000,2769335.839999999850988,12930062.359999999403954
FS( 214 ),3205601.240000000223517,1766303.820000000065193,2810902.320000000298023,2334521.000000000000000,2783047.200000000186265,12900375.580000001937151
FS( 215 ),3248039.359999999869615,1803334.240000000223517,2844054.259999999776483,2317130.000000000000000,2803185.760000000242144,13015743.619999999180436
FS( 216 ),3286293.439999999478459,1806757.220000000204891,2872512.120000000111759,2316107.000000000000000,2803185.760000000242144,13084855.540000000968575
FS( 217 ),3267764.120000000111759,1857479.560000000055879,2866351.140000000130385,2333498.000000000000000,2824181.279999999795109,13149274.099999999627471
FS( 218 ),3281511.679999999701977,1857168.380000000121072,2876032.680000000167638,2347479.000000000000000,2811112.640000000130385,13173304.380000000819564
FS( 219 ),3222935.120000000111759,1842231.740000000223517,2855202.699999999720603,2369985.000000000000000,2808756.000000000000000,13099110.560000000521541
FS( 220 ),3265970.959999999962747,1859346.640000000130385,2850215.240000000223517,2432729.000000000000000,2804256.959999999962747,13212518.800000000745058
FS( 221 ),3276132.200000000186265,1838186.400000000139698,2821757.380000000353903,2419089.000000000000000,2783689.920000000391155,13138854.900000000372529
FS( 222 ),3276132.200000000186265,1840364.660000000149012,2827038.220000000204891,2432047.000000000000000,2783689.920000000391155,13159272.000000000000000
FS( 223 ),3246843.919999999925494,1822627.400000000139698,2863417.339999999850988,2434093.000000000000000,2799329.439999999944121,13166311.099999999627471
FS( 224 ),3254614.280000000260770,1818893.240000000223517,2860483.540000000037253,2431706.000000000000000,2800400.640000000130385,13166097.700000001117587
FS( 225 ),3300041.000000000000000,1841298.200000000186265,2894515.620000000111759,2432729.000000000000000,2825466.720000000204891,13294050.540000000968575
FS( 226 ),3272545.879999999888241,1840053.480000000214204,2884247.320000000298023,2461373.000000000000000,2825680.959999999962747,13283900.640000000596046
FS( 227 ),3313788.559999999590218,1838808.760000000242144,2885714.220000000204891,2463760.000000000000000,2812612.320000000298023,13314683.860000001266599
FS( 228 ),3306615.919999999925494,1817337.340000000083819,2875445.920000000391155,2418407.000000000000000,2778548.160000000149012,13196354.339999999850988
FS( 229 ),3328133.839999999850988,1858413.100000000093132,2903023.640000000130385,2463078.000000000000000,2798900.959999999962747,13351549.539999999105930
FS( 230 ),3299443.280000000260770,1852500.680000000167638,2899796.459999999962747,2448415.000000000000000,2800614.879999999888241,13300770.300000000745058
FS( 231 ),3411814.639999999664724,1884552.220000000204891,2957005.560000000055879,2481151.000000000000000,2803400.000000000000000,13537923.419999999925494
FS( 232 ),3396871.639999999664724,1929984.500000000232831,2982823.000000000000000,2517638.000000000000000,2850961.279999999795109,13678278.419999999925494
FS( 233 ),3378940.040000000037253,1910380.160000000149012,2998078.759999999776483,2525140.000000000000000,2861459.040000000037253,13673998.000000000000000
FS( 234 ),3408826.040000000037253,1927183.880000000121072,3006880.159999999683350,2549010.000000000000000,2919732.320000000298023,13811632.400000000372529
FS( 235 ),3340088.240000000223517,1929050.960000000195578,2959645.979999999981374,2549351.000000000000000,2867457.760000000242144,13645593.939999999478459
FS( 236 ),3290477.479999999515712,1947410.580000000074506,2981649.479999999981374,2554125.000000000000000,2886739.360000000335276,13660401.899999998509884
FS( 237 ),3258798.320000000298023,1939631.080000000074506,2964633.439999999944121,2543554.000000000000000,2868957.439999999944121,13575574.279999999329448
FS( 238 ),3276729.919999999925494,1943054.060000000055879,2972261.320000000298023,2533324.000000000000000,2889310.240000000223517,13614679.540000000968575
FS( 239 ),3289282.040000000037253,1947721.760000000242144,2958765.839999999850988,2527186.000000000000000,2879455.200000000186265,13602410.839999999850988
FS( 240 ),3319765.759999999776483,1915670.220000000204891,2975488.500000000000000,2547305.000000000000000,2892309.600000000093132,13650539.080000000074506
FS( 241 ),3294063.799999999813735,1930295.680000000167638,2937642.479999999981374,2586179.000000000000000,2894452.000000000000000,13642632.960000000894070
FS( 242 ),3181094.719999999739230,1897932.960000000195578,2959059.220000000204891,2578336.000000000000000,2918018.399999999906868,13534441.300000000745058
FS( 243 ),3163760.839999999850988,1899177.680000000167638,2959059.220000000204891,2532301.000000000000000,2894666.240000000223517,13448964.980000000447035
FS( 244 ),3163760.839999999850988,1906957.180000000167638,2988690.600000000093132,2547987.000000000000000,2903021.600000000093132,13510417.219999998807907
FS( 245 ),3119529.559999999590218,1903845.380000000121072,2967273.859999999869615,2521389.000000000000000,2882240.320000000298023,13394278.119999999180436
FS( 246 ),3138058.879999999888241,1912869.600000000093132,2945857.120000000111759,2503998.000000000000000,2899379.520000000484288,13400163.120000001043081
FS( 247 ),3031067.000000000000000,1900733.580000000074506,2886594.359999999869615,2467170.000000000000000,2805113.920000000391155,13090678.859999999403954
FS( 248 ),2968904.120000000111759,1889531.100000000093132,2906837.580000000074506,2474331.000000000000000,2839820.800000000279397,13079424.600000001490116
FS( 249 ),2914511.599999999627471,1863391.980000000214204,2861657.060000000055879,2433070.000000000000000,2807042.080000000540167,12879672.720000000670552
FS( 250 ),2943799.879999999888241,1876461.540000000037253,2893635.479999999981374,2445005.000000000000000,2843891.360000000335276,13002793.260000001639128
FS( 251 ),2971295.000000000000000,1888908.740000000223517,2893048.720000000204891,2717123.000000000000000,2837678.399999999906868,13308053.860000001266599
