代數,10000
粒子數,10
旋轉角度上界,0.0004
旋轉角度下界,0.0004
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000
最後資金,11363374.510249998000
真實報酬,1363374.510249998400

夏普值報酬,0.127637451025
夏普值風險,0.037785280607
夏普值,3.377967530591

預期報酬,11339.278682175289
風險,131275.341982416490
起點值,0.086377826261
找到最佳解世代,4145
找到最佳解實驗#,1
找到最佳解次數,47

投資組合檔數,5
1102(1),2105(10),2382(25),3045(43),4904(46),
Stock#,1102(1),2105(10),2382(25),3045(43),4904(46),
張數,85,50,43,28,47,
FS( 79 ),2124583.926250000000,2261614.587499999900,2546803.351000000300,1982578.162000000200,2261134.126749999800,11176714.153500000000
FS( 80 ),2127968.881250000100,2246183.174999999800,2546803.351000000300,1992892.318999999900,2268152.930499999800,11182000.656750001000
FS( 81 ),2122045.210000000000,2273561.487499999800,2698349.777499999900,1986759.576999999800,2271428.372250000000,11352144.424249999000
FS( 82 ),2094965.570000000100,2246183.174999999800,2540809.989500000100,1968361.351000000000,2222764.666250000200,11073084.751750000000
FS( 83 ),2086503.182499999900,2273561.487499999800,2568636.310750000200,1968361.351000000000,2264409.568500000100,11161471.900249999000
FS( 84 ),2071270.885000000200,2221293.799999999800,2534816.628000000500,1960277.282000000100,2257390.764750000100,11045049.359750001000
FS( 85 ),2083118.227499999600,2206360.174999999800,2509986.987500000300,1984529.489000000100,2261134.126749999800,11045129.005750000000
FS( 86 ),2065347.213749999900,2212333.625000000000,2550228.129000000200,2021325.940999999900,2268152.930499999800,11117387.839249998000
FS( 87 ),2050961.155000000000,2187942.037500000100,2509986.987500000300,2033591.425000000000,2344891.851499999900,11127373.456500001000
FS( 88 ),2027266.470000000000,2215320.350000000100,2587044.492500000200,2062025.046999999800,2390280.115749999900,11281936.475250000000
FS( 89 ),1973107.189999999700,2206360.174999999800,2528395.169250000300,2060073.720000000000,2397298.919499999800,11165235.173749998000
FS( 90 ),2029805.186250000000,2273561.487499999800,2593465.951250000900,2039724.166999999900,2421630.772500000000,11358187.564500000000
FS( 91 ),1979030.861249999800,2230751.762500000200,2438922.844000000000,2021325.940999999900,2383261.312000000400,11053292.720750000000
FS( 92 ),1979030.861249999800,2221293.799999999800,2568636.310750000200,2053940.978000000100,2369223.704500000000,11192125.654500000000
FS( 93 ),1984954.532500000000,2212333.625000000000,2546803.351000000300,2043626.821000000000,2369223.704500000000,11156942.034000002000
FS( 94 ),1976492.144999999800,2190928.762500000200,2441919.524749999900,2023277.267999999900,2372967.066499999700,11005584.766750000000
FS( 95 ),2003571.784999999900,2199888.937500000000,2445344.302750000300,2051710.890000000100,2418355.330750000200,11118871.246000001000
FS( 96 ),2023881.514999999900,2196902.212499999900,2371283.478500000200,2043626.821000000000,2418355.330750000200,11054049.357750000000
FS( 97 ),2047576.200000000000,2193915.487499999800,2361865.339000000200,2023277.267999999900,2432392.938250000100,11059027.232749999000
FS( 98 ),2094965.570000000100,2230751.762500000200,2482160.666250000200,1984529.489000000100,2376242.508250000000,11168649.996000001000
FS( 99 ),2122045.210000000000,2230751.762500000200,2491578.805750000300,1968361.351000000000,2285465.979750000400,11098203.109000001000
FS( 100 ),2122045.210000000000,2212333.625000000000,2448340.983500000600,1992892.318999999900,2323835.440250000000,11099447.577750001000
FS( 101 ),2092426.853750000000,2202875.662500000100,2399109.799749999800,1992892.318999999900,2344891.851499999900,11032196.486499999000
FS( 102 ),2074655.839999999600,2132687.625000000000,2402106.480500000100,1986759.576999999800,2376242.508250000000,10972452.030749999000
FS( 103 ),2110197.867499999700,2196902.212499999900,2423511.343000000300,1990662.230999999900,2337873.047749999900,11059146.701750001000
FS( 104 ),2118660.254999999900,2199888.937500000000,2411096.522750000500,1992892.318999999900,2309797.832750000100,11032335.867000001000
FS( 105 ),2139816.223749999900,2187942.037500000100,2473170.623999999800,1990662.230999999900,2320559.998500000200,11112151.114750002000
FS( 106 ),2139816.223749999900,2196902.212499999900,2417517.981500000200,1974494.093000000100,2323835.440250000000,11052565.950999999000
FS( 107 ),2166895.863750000000,2199888.937500000000,2550228.129000000200,1980626.834999999700,2330854.243999999900,11228494.009250000000
FS( 108 ),2166895.863750000000,2184457.524999999900,2537813.308749999900,1980626.834999999700,2334597.605999999700,11204391.138499998000
FS( 109 ),2166895.863750000000,2206360.174999999800,2497572.167250000400,1998746.300000000000,2306522.390999999800,11176096.897000000000
FS( 110 ),2163510.908749999900,2202875.662500000100,2482160.666250000200,1974494.093000000100,2250371.961000000100,11073413.291500002000
FS( 111 ),2166895.863750000000,2239711.937500000000,2506990.306750000500,1948011.797999999700,2219021.304250000500,11080631.210250000000
FS( 112 ),2220208.904999999800,2313384.487499999800,2602455.993499999900,1962228.608999999700,2309797.832750000100,11408075.827749999000
FS( 113 ),2222747.621249999900,2301437.587499999900,2565639.630000000400,1972264.004999999900,2306522.390999999800,11368611.234749999000
FS( 114 ),2216823.949999999700,2304424.312500000000,2537813.308749999900,1982578.162000000200,2268152.930499999800,11309792.663750000000
FS( 115 ),2216823.949999999700,2310397.762500000200,2451337.664249999900,1972264.004999999900,2240077.715500000400,11190901.097250000000
FS( 116 ),2187205.593750000000,2280032.725000000100,2463752.484499999800,1968361.351000000000,2268152.930499999800,11167505.084750000000
FS( 117 ),2175358.251250000200,2255143.350000000100,2463752.484499999800,1980626.834999999700,2257390.764750000100,11132271.685500000000
FS( 118 ),2184666.877499999900,2239711.937500000000,2448340.983500000600,1992892.318999999900,2289209.341750000600,11154821.459249999000
FS( 119 ),2178743.206249999800,2246183.174999999800,2479163.985500000000,2019374.614000000100,2282190.537999999700,11205655.518750001000
FS( 120 ),2199052.936249999800,2239711.937500000000,2479163.985500000000,2027458.683000000000,2261134.126749999800,11206521.669000000000
FS( 121 ),2228671.292499999500,2304424.312500000000,2491578.805750000300,2074290.530999999700,2264409.568500000100,11363374.510249998000
