代數,10000
粒子數,10
旋轉角度上界,0.00125
旋轉角度下界,0.00045
實驗次數,50

初始資金,10000000.000000000000
最後資金,14442820.000000000000
真實報酬,4442820.000000000000

夏普值報酬,0.000000000000
夏普值風險,0.000000000000
夏普值,0.000000000000

預期報酬,17968.894777795002
風險,415114.784954566510
起點值,0.043286568990
找到最佳解世代,1344
找到最佳解實驗#,2
找到最佳解次數,43

投資組合檔數,4
2308(12)[1],2603(28)[2],2912(40)[4],8046(47)[19],
Stock#,2308(12)[1],2603(28)[2],2912(40)[4],8046(47)[19],
張數,37,184,41,27,
FS( 117 ),2752709.999999999500,2776000.000000000000,2981340.000000000500,2955220.000000000000,11465270.000000000000
FS( 118 ),2736059.999999999500,2739200.000000000000,3030130.000000000900,2922820.000000000000,11428210.000000000000
FS( 119 ),2788229.999999999500,2891920.000000000000,2958380.000000000900,3009490.000000000000,11648020.000000000000
FS( 120 ),2766399.999999999500,2845920.000000000000,2942390.000000000500,2998690.000000000500,11553400.000000000000
FS( 121 ),2774540.000000000000,2822000.000000000000,2929270.000000000000,2955220.000000000000,11481030.000000000000
FS( 122 ),2788229.999999999500,2807279.999999999500,2991180.000000000500,2966020.000000000000,11552710.000000000000
FS( 123 ),2788229.999999999500,2792560.000000000000,2922710.000000000900,2890150.000000000000,11393650.000000000000
FS( 124 ),2727919.999999999500,2739200.000000000000,2899750.000000000000,2771080.000000000000,11137950.000000000000
FS( 125 ),2774540.000000000000,2792560.000000000000,2974780.000000000500,2890150.000000000000,11432030.000000000000
FS( 126 ),2774540.000000000000,2761279.999999999500,2964940.000000000900,2912020.000000000000,11412780.000000000000
FS( 127 ),2697579.999999999500,2693200.000000000000,2955100.000000000000,2781880.000000000000,11127760.000000000000
FS( 128 ),2579549.999999999500,2730000.000000000000,2974780.000000000500,2814279.999999999500,11098610.000000000000
FS( 129 ),2582509.999999999100,2676640.000000000000,3088760.000000000500,2879350.000000000500,11227260.000000000000
FS( 130 ),2618029.999999999500,2761279.999999999500,3069080.000000000000,2977090.000000000000,11425480.000000000000
FS( 131 ),2681299.999999999500,2853279.999999999500,3121150.000000000900,2987890.000000000000,11643620.000000000000
FS( 132 ),2733469.999999999100,2853279.999999999500,3160100.000000000000,2977090.000000000000,11723939.999999998000
FS( 133 ),2801919.999999999500,2967360.000000000000,3104750.000000000000,2955220.000000000000,11829250.000000000000
FS( 134 ),2857049.999999999500,2976560.000000000500,3140420.000000000900,3020290.000000000500,11994320.000000000000
FS( 135 ),2898119.999999999500,2937920.000000000000,3101470.000000000500,3009490.000000000000,11947000.000000000000
FS( 136 ),2911809.999999999500,3098000.000000000500,3146980.000000000900,3020290.000000000500,12177080.000000000000
FS( 137 ),2966569.999999999500,3243360.000000000000,3192490.000000000500,3020290.000000000500,12422710.000000000000
FS( 138 ),2966569.999999999500,3213920.000000000000,3183060.000000000000,2998690.000000000500,12362240.000000000000
FS( 139 ),2939189.999999999500,3197360.000000000000,3166660.000000000500,2944420.000000000000,12247630.000000000000
FS( 140 ),2884429.999999999500,3075920.000000000000,3121150.000000000900,2933619.999999999500,12015120.000000000000
FS( 141 ),2911809.999999999500,3228640.000000000000,3088760.000000000500,3031090.000000000000,12260300.000000000000
FS( 142 ),2939189.999999999500,3144000.000000000500,3017010.000000000500,2944420.000000000000,12044620.000000000000
FS( 143 ),2870739.999999999500,3144000.000000000500,3108030.000000000500,2879350.000000000500,12002120.000000000000
FS( 144 ),2911809.999999999500,3359279.999999999500,3007170.000000000900,2836150.000000000000,12114410.000000000000
FS( 145 ),2980259.999999999100,3381360.000000000000,3042840.000000000500,2890150.000000000000,12294610.000000000000
FS( 146 ),3076459.999999999500,3381360.000000000000,3026850.000000000000,2879350.000000000500,12364020.000000000000
FS( 147 ),3076459.999999999500,3504640.000000000000,3023570.000000000500,2933619.999999999500,12538290.000000000000
FS( 148 ),3090149.999999999500,3596640.000000000000,3055960.000000000900,3085360.000000000000,12828110.000000000000
FS( 149 ),3172659.999999999100,3519360.000000000000,3137550.000000000500,3150429.999999999500,12980000.000000000000
FS( 150 ),3296239.999999999500,3489920.000000000000,3186340.000000000500,3150429.999999999500,13122930.000000000000
FS( 151 ),3158969.999999999100,3412640.000000000000,3183060.000000000000,3324040.000000000500,13078710.000000000000
FS( 152 ),3186350.000000000000,3451279.999999999500,3146980.000000000900,3291369.999999999500,13075980.000000000000
FS( 153 ),3234819.999999999500,3572720.000000000000,3231850.000000000000,3255460.000000000000,13294850.000000000000
FS( 154 ),3191899.999999999500,3581920.000000000000,3267520.000000000000,3266800.000000000000,13308140.000000000000
FS( 155 ),3106429.999999999500,3497279.999999999500,3462680.000000000500,3098050.000000000000,13164440.000000000000
FS( 156 ),3220389.999999999500,3504640.000000000000,3381090.000000000500,3210369.999999999500,13316490.000000000000
