代數,10000
粒子數,10
旋轉角度上界,0.00125
旋轉角度下界,0.00045
實驗次數,50

初始資金,10000000.000000000000
最後資金,14051310.000000000000
真實報酬,4051310.000000000000

夏普值報酬,0.000000000000
夏普值風險,0.000000000000
夏普值,0.000000000000

預期報酬,15062.309076353034
風險,215210.680150708300
起點值,0.069988669084
找到最佳解世代,1568
找到最佳解實驗#,1
找到最佳解次數,49

投資組合檔數,6
2002(7)[15],2354(20)[18],2881(30)[2],2892(39)[10],3045(42)[13],4938(46)[1],
Stock#,2002(7)[15],2354(20)[18],2881(30)[2],2892(39)[10],3045(42)[13],4938(46)[1],
張數,75,26,50,137,21,44,
FS( 102 ),1797166.000000000000,1754546.000000000000,2065666.000000000000,1903676.000000000000,1630336.000000000500,2198186.000000000000,11349580.000000000000
FS( 103 ),1786666.000000000000,1754546.000000000000,2024665.999999999800,1892716.000000000000,1673596.000000000200,2048586.000000000000,11180780.000000000000
FS( 104 ),1759666.000000000000,1763906.000000000000,2033166.000000000000,1883126.000000000000,1664566.000000000200,2045066.000000000000,11149500.000000000000
FS( 105 ),1786666.000000000000,1763906.000000000000,2033166.000000000000,1872166.000000000000,1679056.000000000200,2112386.000000000000,11247350.000000000000
FS( 106 ),1773166.000000000000,1777686.000000000000,2024665.999999999800,1877645.999999999800,1673596.000000000200,2157266.000000000000,11284030.000000000000
FS( 107 ),1746166.000000000200,1777686.000000000000,2028666.000000000000,1883126.000000000000,1679056.000000000200,2119866.000000000000,11234570.000000000000
FS( 108 ),1752916.000000000000,1789126.000000000000,2091666.000000000000,1907786.000000000000,1695226.000000000200,2168266.000000000000,11404990.000000000000
FS( 109 ),1749166.000000000000,1805246.000000000000,2080666.000000000000,1892716.000000000000,1673596.000000000200,2164746.000000000000,11366140.000000000000
FS( 110 ),1770165.999999999800,1802906.000000000000,2098166.000000000000,1903676.000000000000,1693336.000000000500,2145826.000000000000,11414080.000000000000
FS( 111 ),1762666.000000000000,1795886.000000000000,2089166.000000000000,1903676.000000000000,1689766.000000000200,2108426.000000000000,11349590.000000000000
FS( 112 ),1779916.000000000000,1793806.000000000200,2147666.000000000000,1903676.000000000000,1702366.000000000200,2033626.000000000200,11361060.000000000000
FS( 113 ),1752916.000000000000,1738425.999999999800,2106666.000000000000,1862576.000000000000,1716856.000000000200,2007666.000000000000,11185110.000000000000
FS( 114 ),1759666.000000000000,1779766.000000000000,2145666.000000000000,1872166.000000000000,1731136.000000000200,2056066.000000000000,11344470.000000000000
FS( 115 ),1770165.999999999800,1747786.000000000000,2121666.000000000000,1852986.000000000000,1742056.000000000200,2022626.000000000200,11257290.000000000000
FS( 116 ),1770165.999999999800,1747786.000000000000,2089166.000000000000,1842026.000000000000,1745626.000000000200,2037586.000000000000,11232360.000000000000
FS( 117 ),1732665.999999999800,1692666.000000000000,2020166.000000000000,1832435.999999999800,1763476.000000000200,2022626.000000000200,11064040.000000000000
FS( 118 ),1746166.000000000200,1750126.000000000000,2059166.000000000000,1847506.000000000000,1759906.000000000000,2063546.000000000000,11226420.000000000000
FS( 119 ),1770165.999999999800,1747786.000000000000,2065666.000000000000,1847506.000000000000,1745626.000000000200,2045066.000000000000,11221820.000000000000
FS( 120 ),1776916.000000000200,1759226.000000000200,2078666.000000000000,1872166.000000000000,1734706.000000000200,2026146.000000000000,11247830.000000000000
FS( 121 ),1773166.000000000000,1768326.000000000000,2102166.000000000000,1888605.999999999800,1740166.000000000000,2097426.000000000000,11369860.000000000000
FS( 122 ),1770165.999999999800,1754546.000000000000,2091666.000000000000,1877645.999999999800,1749196.000000000200,2108426.000000000000,11351650.000000000000
FS( 123 ),1779916.000000000000,1754546.000000000000,2115166.000000000000,1877645.999999999800,1738276.000000000500,2119866.000000000000,11385420.000000000000
FS( 124 ),1779916.000000000000,1805246.000000000000,2210166.000000000000,1898196.000000000000,1734706.000000000200,2130866.000000000000,11559100.000000000000
FS( 125 ),1786666.000000000000,1805246.000000000000,2227666.000000000000,1903676.000000000000,1754656.000000000000,2134826.000000000000,11612740.000000000000
FS( 126 ),1790416.000000000000,1867126.000000000000,2214666.000000000000,1903676.000000000000,1794136.000000000200,2067505.999999999800,11637530.000000000000
FS( 127 ),1800166.000000000000,1897026.000000000200,2236166.000000000000,1907786.000000000000,1794136.000000000200,2082465.999999999800,11717750.000000000000
FS( 128 ),1797166.000000000000,1908466.000000000000,2232166.000000000000,1907786.000000000000,1786996.000000000200,2100946.000000000000,11733530.000000000000
FS( 129 ),1783666.000000000200,1908466.000000000000,2219166.000000000000,1903676.000000000000,1788676.000000000200,2056066.000000000000,11659720.000000000000
FS( 130 ),1793416.000000000000,1910806.000000000200,2210166.000000000000,1888605.999999999800,1779856.000000000200,2052546.000000000000,11635400.000000000000
FS( 131 ),1793416.000000000000,1869466.000000000000,2188666.000000000000,1868056.000000000200,1794136.000000000200,2041106.000000000200,11554850.000000000000
FS( 132 ),1776916.000000000200,1906386.000000000000,2193166.000000000000,1868056.000000000200,1767256.000000000200,2067505.999999999800,11579290.000000000000
FS( 133 ),1797166.000000000000,1917826.000000000000,2236166.000000000000,1907786.000000000000,1785106.000000000200,2138346.000000000000,11782400.000000000000
FS( 134 ),1786666.000000000000,1931606.000000000000,2232166.000000000000,1903676.000000000000,1781536.000000000200,2283986.000000000000,11919640.000000000000
FS( 135 ),1776916.000000000200,1920166.000000000000,2180166.000000000000,1868056.000000000200,1765366.000000000200,2388706.000000000000,11899380.000000000000
FS( 136 ),1773166.000000000000,1961505.999999999800,2210166.000000000000,1888605.999999999800,1788676.000000000200,2392665.999999999500,12014790.000000000000
FS( 137 ),1776916.000000000200,1943046.000000000000,2210166.000000000000,1898196.000000000000,1781536.000000000200,2489906.000000000000,12099770.000000000000
FS( 138 ),1773166.000000000000,1950065.999999999800,2169166.000000000000,1888605.999999999800,1765366.000000000200,2489906.000000000000,12036280.000000000000
FS( 139 ),1776916.000000000200,1954486.000000000000,2167166.000000000000,1903676.000000000000,1777966.000000000000,2493426.000000000000,12073640.000000000000
FS( 140 ),1783666.000000000200,1989065.999999999800,2184666.000000000000,1918746.000000000000,1790566.000000000200,2534786.000000000000,12201500.000000000000
FS( 141 ),1786666.000000000000,2023386.000000000000,2210166.000000000000,1928336.000000000000,1781536.000000000200,2654026.000000000500,12384120.000000000000
FS( 142 ),1770165.999999999800,2048866.000000000200,2193166.000000000000,1922855.999999999800,1781536.000000000200,2785146.000000000000,12501740.000000000000
FS( 143 ),1786666.000000000000,2021306.000000000200,2214666.000000000000,1928336.000000000000,1783426.000000000200,2695386.000000000000,12429790.000000000000
FS( 144 ),1776916.000000000200,2057966.000000000000,2193166.000000000000,1907786.000000000000,1772506.000000000200,2717826.000000000000,12426170.000000000000
FS( 145 ),1786666.000000000000,2035086.000000000000,2197666.000000000000,1913266.000000000200,1768936.000000000200,2796146.000000000000,12497770.000000000000
FS( 146 ),1793416.000000000000,2035086.000000000000,2184666.000000000000,1918746.000000000000,1781536.000000000200,2755226.000000000000,12468680.000000000000
FS( 147 ),1793416.000000000000,2023386.000000000000,2206166.000000000000,1918746.000000000000,1788676.000000000200,2702866.000000000000,12433260.000000000000
FS( 148 ),1770165.999999999800,2057966.000000000000,2147666.000000000000,1888605.999999999800,1785106.000000000200,2755226.000000000000,12404740.000000000000
FS( 149 ),1779916.000000000000,2053286.000000000000,2100166.000000000000,1868056.000000000200,1781536.000000000200,2755226.000000000000,12338190.000000000000
FS( 150 ),1800166.000000000000,2094626.000000000000,2165166.000000000000,1888605.999999999800,1817656.000000000000,2777665.999999999500,12543890.000000000000
FS( 151 ),1800166.000000000000,2150005.999999999500,2188666.000000000000,1913266.000000000200,1826476.000000000200,2732786.000000000000,12611370.000000000000
FS( 152 ),1806916.000000000000,2120106.000000000000,2197666.000000000000,1892716.000000000000,1799596.000000000200,2732786.000000000000,12549790.000000000000
FS( 153 ),1806916.000000000000,2016626.000000000000,2227666.000000000000,1903676.000000000000,1805056.000000000200,2751266.000000000000,12511210.000000000000
FS( 154 ),1806916.000000000000,2037166.000000000000,2193166.000000000000,1892716.000000000000,1817656.000000000000,2721346.000000000000,12468970.000000000000
FS( 155 ),1776916.000000000200,1986726.000000000200,2173666.000000000000,1888605.999999999800,1799596.000000000200,2654026.000000000500,12279540.000000000000
FS( 156 ),1776916.000000000200,2039505.999999999800,2169166.000000000000,1868056.000000000200,1790566.000000000200,2665466.000000000000,12309680.000000000000
FS( 157 ),1776916.000000000200,2060306.000000000200,2165166.000000000000,1877645.999999999800,1786996.000000000200,2672946.000000000500,12339980.000000000000
FS( 158 ),1773166.000000000000,2037166.000000000000,2141166.000000000000,1872166.000000000000,1772506.000000000200,2785146.000000000000,12381320.000000000000
FS( 159 ),1776916.000000000200,2000505.999999999800,2119666.000000000000,1862576.000000000000,1808626.000000000200,2713866.000000000000,12282160.000000000000
FS( 160 ),1755916.000000000000,2009606.000000000000,2076166.000000000000,1836546.000000000200,1776076.000000000500,2654026.000000000500,12108340.000000000000
FS( 161 ),1776916.000000000200,2039505.999999999800,2078666.000000000000,1862576.000000000000,1801276.000000000500,2657986.000000000000,12216930.000000000000
FS( 162 ),1800166.000000000000,1989065.999999999800,2111166.000000000000,1883126.000000000000,1835506.000000000200,2583186.000000000000,12202220.000000000000
FS( 163 ),1793416.000000000000,2048866.000000000200,2152166.000000000000,1883126.000000000000,1815766.000000000200,2728826.000000000000,12422170.000000000000
FS( 164 ),1793416.000000000000,2037166.000000000000,2173666.000000000000,1877645.999999999800,1826476.000000000200,2702866.000000000000,12411240.000000000000
FS( 165 ),1820416.000000000000,2035086.000000000000,2184666.000000000000,1888605.999999999800,1826476.000000000200,2702866.000000000000,12458120.000000000000
FS( 166 ),1817416.000000000000,2023386.000000000000,2173666.000000000000,1877645.999999999800,1835506.000000000200,2687906.000000000000,12415530.000000000000
FS( 167 ),1830916.000000000000,2025726.000000000200,2188666.000000000000,1892716.000000000000,1835506.000000000200,2710346.000000000000,12483880.000000000000
FS( 168 ),1827916.000000000000,2030406.000000000000,2193166.000000000000,1888605.999999999800,1817656.000000000000,2706386.000000000000,12464140.000000000000
FS( 169 ),1830916.000000000000,2005186.000000000000,2206166.000000000000,1898196.000000000000,1835506.000000000200,2721346.000000000000,12497320.000000000000
FS( 170 ),1820416.000000000000,2009606.000000000000,2214666.000000000000,1903676.000000000000,1871626.000000000200,2758746.000000000000,12578740.000000000000
FS( 171 ),1806916.000000000000,1995826.000000000000,2206166.000000000000,1903676.000000000000,1898506.000000000200,2747746.000000000000,12558840.000000000000
FS( 172 ),1820416.000000000000,2007526.000000000200,2193166.000000000000,1898196.000000000000,1889476.000000000200,2781186.000000000000,12589970.000000000000
FS( 173 ),1790416.000000000000,1956826.000000000000,2111166.000000000000,1857096.000000000000,1844536.000000000200,2713866.000000000000,12273910.000000000000
FS( 174 ),1806916.000000000000,1954486.000000000000,2132666.000000000000,1857096.000000000000,1826476.000000000200,2683946.000000000500,12261590.000000000000
FS( 175 ),1824166.000000000000,1975286.000000000000,2171666.000000000000,1892716.000000000000,1898506.000000000200,2833546.000000000500,12595890.000000000000
FS( 176 ),1824166.000000000000,2032746.000000000000,2160666.000000000000,1892716.000000000000,1916566.000000000200,2870946.000000000500,12697810.000000000000
