代數,10000
粒子數,10
旋轉角度上界,0.00125
旋轉角度下界,0.00045
實驗次數,50

初始資金,10000000.000000000000
最後資金,12513790.000000000000
真實報酬,2513790.000000000000

夏普值報酬,0.000000000000
夏普值風險,0.000000000000
夏普值,0.000000000000

預期報酬,10969.410525119991
風險,125469.712259359050
起點值,0.087426760830
找到最佳解世代,1812
找到最佳解實驗#,4
找到最佳解次數,5

投資組合檔數,10
1101(0)[26],1326(5)[23],2317(16)[2],2408(23)[12],2474(27)[39],2882(31)[8],2892(39)[1],3481(43)[21],4904(44)[34],9999(49)[43],
Stock#,1101(0)[26],1326(5)[23],2317(16)[2],2408(23)[12],2474(27)[39],2882(31)[8],2892(39)[1],3481(43)[21],4904(44)[34],9999(49)[43],
張數,36,13,14,27,4,29,71,102,14,-1,
FS( 97 ),1274320.000000000000,1172510.000000000000,1193759.999999999500,1093690.000000000000,1036360.000000000000,1122090.000000000000,1094430.000000000000,1112200.000000000000,1039480.000000000200,1000000.000000000000,11138840.000000000000
FS( 98 ),1284760.000000000000,1172510.000000000000,1192360.000000000000,1109620.000000000200,1020840.000000000000,1120640.000000000000,1094430.000000000000,1122400.000000000000,1035420.000000000000,1000000.000000000000,11152980.000000000000
FS( 99 ),1300240.000000000000,1184729.999999999500,1212660.000000000000,1099090.000000000200,1040240.000000000000,1124990.000000000000,1103660.000000000000,1142800.000000000000,1039480.000000000200,1000000.000000000000,11247890.000000000000
FS( 100 ),1303840.000000000000,1196950.000000000000,1211259.999999999500,1117450.000000000000,1026640.000000000000,1127600.000000000000,1090880.000000000000,1147900.000000000000,1042140.000000000000,1000000.000000000000,11264660.000000000000
FS( 101 ),1303840.000000000000,1181090.000000000000,1208600.000000000000,1108270.000000000000,1020840.000000000000,1131950.000000000200,1087330.000000000000,1127500.000000000000,1038220.000000000100,1000000.000000000000,11207640.000000000000
FS( 102 ),1312480.000000000000,1195780.000000000000,1200480.000000000000,1100440.000000000000,1020840.000000000000,1136010.000000000000,1097269.999999999800,1107100.000000000000,1042140.000000000000,1000000.000000000000,11212540.000000000000
FS( 103 ),1314279.999999999800,1189670.000000000000,1207200.000000000000,1109620.000000000200,1026640.000000000000,1140360.000000000000,1097269.999999999800,1086700.000000000000,1035420.000000000000,1000000.000000000000,11207160.000000000000
FS( 104 ),1297000.000000000200,1190840.000000000000,1197820.000000000000,1102870.000000000200,1011120.000000000000,1136010.000000000000,1087330.000000000000,1127500.000000000000,1038220.000000000100,1000000.000000000000,11188710.000000000000
FS( 105 ),1258840.000000000000,1186030.000000000000,1170799.999999999500,1079380.000000000000,954840.000000000000,1120640.000000000000,1087330.000000000000,1132600.000000000000,1032760.000000000000,1000000.000000000000,11023220.000000000000
FS( 106 ),1246600.000000000000,1184729.999999999500,1158759.999999999500,1084510.000000000000,939320.000000000000,1108170.000000000000,1084490.000000000000,1117300.000000000000,1030100.000000000100,1000000.000000000000,10953980.000000000000
FS( 107 ),1252000.000000000200,1190840.000000000000,1162820.000000000000,1083160.000000000000,929640.000000000000,1124990.000000000000,1090880.000000000000,1137700.000000000000,1034160.000000000200,1000000.000000000000,11006190.000000000000
FS( 108 ),1288360.000000000000,1200720.000000000000,1182980.000000000000,1084510.000000000000,956800.000000000000,1133400.000000000000,1090880.000000000000,1142800.000000000000,1043540.000000000000,1000000.000000000000,11123990.000000000000
FS( 109 ),1302040.000000000000,1216580.000000000000,1176259.999999999500,1088560.000000000000,970360.000000000000,1134560.000000000000,1100820.000000000000,1147900.000000000000,1040880.000000000000,1000000.000000000000,11177960.000000000000
FS( 110 ),1260640.000000000200,1183560.000000000000,1141259.999999999500,1042660.000000000000,925760.000000000000,1088740.000000000000,1084490.000000000000,1091800.000000000000,1040880.000000000000,1000000.000000000000,10859790.000000000000
FS( 111 ),1324360.000000000000,1217750.000000000000,1156100.000000000000,1089909.999999999800,947080.000000000000,1154279.999999999800,1097269.999999999800,1127500.000000000000,1026180.000000000100,1000000.000000000000,11140430.000000000000
FS( 112 ),1302040.000000000000,1204360.000000000000,1122360.000000000000,1064800.000000000000,906360.000000000000,1218080.000000000000,1084490.000000000000,1117300.000000000000,998180.000000000120,1000000.000000000000,11017970.000000000000
FS( 113 ),1286560.000000000000,1203060.000000000000,1122360.000000000000,1063720.000000000000,894720.000000000000,1279560.000000000000,1087330.000000000000,1096900.000000000000,1008820.000000000100,1000000.000000000000,11043030.000000000000
FS( 114 ),1274320.000000000000,1195780.000000000000,1122360.000000000000,1051840.000000000000,896640.000000000000,1250270.000000000000,1084490.000000000000,1102000.000000000000,995520.000000000120,1000000.000000000000,10973220.000000000000
FS( 115 ),1269279.999999999800,1215410.000000000000,1122360.000000000000,1055620.000000000000,892760.000000000000,1265640.000000000000,1087330.000000000000,1102000.000000000000,1010220.000000000100,1000000.000000000000,11020620.000000000000
