代數,10000
粒子數,10
旋轉角度上界,0.00125
旋轉角度下界,0.00045
實驗次數,50

初始資金,10000000.000000000000
最後資金,13708535.708799999000
真實報酬,3708535.708799999200

夏普值報酬,0.000000000000
夏普值風險,0.000000000000
夏普值,0.000000000000

預期報酬,15807.865054693799
風險,326742.497732478780
起點值,0.048380192856
找到最佳解世代,1364
找到最佳解實驗#,3
找到最佳解次數,19

投資組合檔數,7
1303(4)[14],1326(5)[15],2002(8)[1],2354(20)[16],3045(41)[7],3231(42)[20],9999(49)[44],
Stock#,1303(4)[14],1326(5)[15],2002(8)[1],2354(20)[16],3045(41)[7],3231(42)[20],9999(49)[44],
張數,44,38,86,27,41,77,-1,
FS( 68 ),1378410.999999999800,1420591.000000000000,1821591.000000000000,1370791.000000000000,1478591.000000000000,2123111.000000000500,1428571.000000000000,11021660.000000000000
FS( 69 ),1400850.999999999800,1425910.999999999800,1821591.000000000000,1346220.999999999800,1472851.000000000000,2162380.999999999500,1428571.000000000000,11058380.000000000000
FS( 70 ),1397330.999999999800,1496211.000000000000,1795791.000000000000,1410210.999999999800,1467111.000000000000,2123111.000000000500,1428571.000000000000,11118340.000000000000
FS( 71 ),1424610.999999999800,1488611.000000000000,1781171.000000000200,1388880.999999999800,1469980.999999999800,2109251.000000000000,1428571.000000000000,11091080.000000000000
FS( 72 ),1509090.999999999800,1514451.000000000000,1819010.999999999800,1419930.999999999800,1513031.000000000000,2126961.000000000000,1428571.000000000000,11331050.000000000000
FS( 73 ),1561450.999999999500,1538011.000000000000,1833631.000000000000,1401840.999999999800,1524921.000000000200,2120031.000000000000,1428571.000000000000,11408460.000000000000
FS( 74 ),1518330.999999999800,1501531.000000000000,1804391.000000000200,1380780.999999999800,1510161.000000000200,2039181.000000000200,1428571.000000000000,11182950.000000000000
FS( 75 ),1480490.999999999800,1472651.000000000200,1776010.999999999800,1370791.000000000000,1481460.999999999800,1933691.000000000000,1428571.000000000000,10943670.000000000000
FS( 76 ),1473890.999999999800,1446811.000000000200,1763970.999999999800,1377270.999999999800,1495811.000000000000,1950631.000000000000,1428571.000000000000,10936960.000000000000
FS( 77 ),1473890.999999999800,1420591.000000000000,1714951.000000000200,1367550.999999999800,1504421.000000000200,1958331.000000000000,1428571.000000000000,10868310.000000000000
FS( 78 ),1435610.999999999800,1425910.999999999800,1683131.000000000000,1359450.999999999800,1487200.999999999800,1915981.000000000000,1428571.000000000000,10735860.000000000000
FS( 79 ),1475650.999999999800,1512171.000000000000,1755371.000000000000,1382400.999999999800,1481460.999999999800,1982971.000000000200,1428571.000000000000,11018600.000000000000
FS( 80 ),1448370.999999999800,1504191.000000000000,1735591.000000000000,1384020.999999999800,1484331.000000000000,2105401.000000000000,1428571.000000000000,11090480.000000000000
FS( 81 ),1448370.999999999800,1480631.000000000200,1706351.000000000000,1375650.999999999800,1492941.000000000200,2176241.000000000000,1428571.000000000000,11108760.000000000000
FS( 82 ),1430770.999999999800,1465051.000000000000,1700331.000000000000,1379160.999999999500,1484331.000000000000,2113101.000000000000,1428571.000000000000,11001320.000000000000
FS( 83 ),1454970.999999999800,1517111.000000000000,1720970.999999999800,1393741.000000000000,1498681.000000000200,2207811.000000000000,1428571.000000000000,11221860.000000000000
FS( 84 ),1467730.999999999800,1535351.000000000000,1729571.000000000000,1418310.999999999800,1515901.000000000200,2260941.000000000000,1428571.000000000000,11356380.000000000000
FS( 85 ),1472130.999999999800,1535351.000000000000,1740750.999999999800,1475550.999999999800,1515901.000000000200,2267871.000000000000,1428571.000000000000,11436130.000000000000
FS( 86 ),1453210.999999999800,1527750.999999999800,1712371.000000000000,1462590.999999999800,1501551.000000000000,2232451.000000000000,1428571.000000000000,11318500.000000000000
FS( 87 ),1434290.999999999800,1506851.000000000000,1746770.999999999800,1462590.999999999800,1498681.000000000200,2197031.000000000000,1428571.000000000000,11274790.000000000000
FS( 88 ),1434290.999999999800,1525091.000000000000,1738171.000000000200,1492020.999999999800,1522051.000000000000,2190101.000000000000,1428571.000000000000,11330300.000000000000
FS( 89 ),1432530.999999999800,1519770.999999999800,1769990.999999999800,1496880.999999999800,1513031.000000000000,2221670.999999999500,1428571.000000000000,11382449.999999998000
FS( 90 ),1459811.000000000000,1556250.999999999800,1789770.999999999800,1501741.000000000000,1524921.000000000200,2253241.000000000000,1428571.000000000000,11514310.000000000000
FS( 91 ),1478730.999999999800,1556250.999999999800,1772571.000000000000,1524690.999999999800,1515901.000000000200,2190101.000000000000,1428571.000000000000,11466820.000000000000
FS( 92 ),1529770.999999999800,1624270.999999999800,1801811.000000000000,1516590.999999999800,1518771.000000000000,2221670.999999999500,1428571.000000000000,11641460.000000000000
FS( 93 ),1548690.999999999500,1660750.999999999800,1781171.000000000200,1493640.999999999800,1518771.000000000000,2211661.000000000000,1428571.000000000000,11643260.000000000000
FS( 94 ),1535930.999999999500,1658091.000000000000,1746770.999999999800,1519830.999999999500,1524921.000000000200,2218591.000000000000,1428571.000000000000,11632709.999999998000
FS( 95 ),1569370.999999999800,1653151.000000000200,1776010.999999999800,1534680.999999999800,1522051.000000000000,2232451.000000000000,1428571.000000000000,11716290.000000000000
FS( 96 ),1594890.999999999800,1684311.000000000200,1789770.999999999800,1521450.999999999800,1539271.000000000000,2232451.000000000000,1428571.000000000000,11790720.000000000000
FS( 97 ),1625250.999999999800,1678991.000000000000,1793210.999999999800,1506600.999999999800,1640131.000000000000,2228601.000000000000,1428571.000000000000,11901360.000000000000
FS( 98 ),1631410.999999999800,1642511.000000000000,1787191.000000000200,1523071.000000000000,1628651.000000000200,2274801.000000000000,1428571.000000000000,11916210.000000000000
