代數,10000
粒子數,10
旋轉角度上界,0.00125
旋轉角度下界,0.00045
實驗次數,50

初始資金,10000000.000000000000
最後資金,14181870.000000000000
真實報酬,4181870.000000000000

夏普值報酬,0.000000000000
夏普值風險,0.000000000000
夏普值,0.000000000000

預期報酬,19080.356506380045
風險,332614.410139553190
起點值,0.057364792158
找到最佳解世代,1785
找到最佳解實驗#,1
找到最佳解次數,22

投資組合檔數,5
1303(4)[3],2353(19)[1],3045(41)[5],4904(44)[23],9999(49)[48],
Stock#,1303(4)[3],2353(19)[1],3045(41)[5],4904(44)[23],9999(49)[48],
張數,74,47,63,93,-1,
FS( 106 ),2461020.000000000000,2928250.000000000000,2315000.000000000000,2299460.000000000000,2000000.000000000000,12003730.000000000000
FS( 107 ),2468420.000000000000,2912739.999999999500,2315000.000000000000,2339449.999999999500,2000000.000000000000,12035610.000000000000
FS( 108 ),2436600.000000000000,2986530.000000000000,2292950.000000000000,2314340.000000000000,2000000.000000000000,12030420.000000000000
FS( 109 ),2404779.999999999100,3044340.000000000000,2288540.000000000000,2305040.000000000500,2000000.000000000000,12042700.000000000000
FS( 110 ),2404779.999999999100,3117660.000000000500,2324450.000000000000,2305040.000000000500,2000000.000000000000,12151930.000000000000
FS( 111 ),2401819.999999999100,3094629.999999999500,2310590.000000000000,2292949.999999999500,2000000.000000000000,12099989.999999998000
FS( 112 ),2447700.000000000000,3141160.000000000500,2328860.000000000000,2299460.000000000000,2000000.000000000000,12217180.000000000000
FS( 113 ),2479520.000000000000,3102620.000000000000,2315000.000000000000,2292949.999999999500,2000000.000000000000,12190090.000000000000
FS( 114 ),2565360.000000000000,3175940.000000000000,2319410.000000000900,2308760.000000000000,2000000.000000000000,12369470.000000000000
FS( 115 ),2597180.000000000000,3082879.999999999500,2319410.000000000900,2302250.000000000000,2000000.000000000000,12301720.000000000000
FS( 116 ),2575719.999999999100,3005800.000000000000,2328860.000000000000,2308760.000000000000,2000000.000000000000,12219140.000000000000
FS( 117 ),2631960.000000000000,3106379.999999999500,2324450.000000000000,2320850.000000000000,2000000.000000000000,12383640.000000000000
FS( 118 ),2674880.000000000000,3121890.000000000000,2350910.000000000900,2327360.000000000000,2000000.000000000000,12475040.000000000000
FS( 119 ),2725940.000000000000,3164190.000000000000,2505890.000000000000,2320850.000000000000,2000000.000000000000,12716870.000000000000
FS( 120 ),2736300.000000000000,3121890.000000000000,2488250.000000000000,2342240.000000000000,2000000.000000000000,12688680.000000000000
FS( 121 ),2736300.000000000000,3156670.000000000000,2470610.000000000000,2332940.000000000000,2000000.000000000000,12696520.000000000000
FS( 122 ),2736300.000000000000,3125650.000000000500,2452970.000000000000,2302250.000000000000,2000000.000000000000,12617170.000000000000
FS( 123 ),2741480.000000000000,3137400.000000000500,2536760.000000000000,2314340.000000000000,2000000.000000000000,12729980.000000000000
FS( 124 ),2709660.000000000000,3117660.000000000500,2549990.000000000000,2302250.000000000000,2000000.000000000000,12679560.000000000000
FS( 125 ),2658600.000000000000,3098390.000000000000,2652050.000000000000,2308760.000000000000,2000000.000000000000,12717800.000000000000
FS( 126 ),2666740.000000000000,2997810.000000000000,2665280.000000000000,2311550.000000000000,2000000.000000000000,12641380.000000000000
