代數,10000
粒子數,10
旋轉角度上界,0.0004
旋轉角度下界,0.0004
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000
最後資金,12866438.483250001000
真實報酬,2866438.483250001400

夏普值報酬,0.277943848325
夏普值風險,0.076569078481
夏普值,3.629975100097

預期報酬,11733.674723739314
風險,255753.474140332140
起點值,0.045878847836
找到最佳解世代,3057
找到最佳解實驗#,2
找到最佳解次數,31

投資組合檔數,4
1326(5),2912(40),3045(41),8046(47),
Stock#,1326(5),2912(40),3045(41),8046(47),
張數,62,41,68,27,
FS( 133 ),3143000.744500000000,2443400.371249999900,2900523.518999999900,2723145.853750000700,11210070.488499999000
FS( 134 ),3143000.744500000000,2472381.559500000000,2881567.771000000200,2701641.433750000300,11198591.508749999000
FS( 135 ),3198553.829499999500,2478912.531500000000,2900523.518999999900,2885235.419500000300,11463225.299500000000
FS( 136 ),3236823.732500000400,2472381.559500000000,2895784.581999999900,2863730.999500000400,11468720.873500001000
FS( 137 ),3228182.141499999900,2475647.045500000500,2919479.267000000000,2809701.144250000400,11433009.598250000000
FS( 138 ),3172629.056499999900,2488708.989500000100,2910001.392999999700,2766423.499000000300,11337762.937999999000
FS( 139 ),3160283.926500000100,2485443.503499999600,2900523.518999999900,2755671.289000000300,11301922.238000000000
FS( 140 ),3185591.442999999500,2511159.205750000200,2928957.140999999800,2777175.709000000700,11402883.498749999000
FS( 141 ),3168925.517499999600,2504628.233749999700,2905262.456000000200,2755671.289000000300,11334487.496250000000
FS( 142 ),3181270.647499999500,2524221.149750000300,2900523.518999999900,2744919.079000000400,11350934.395250000000
FS( 143 ),3194233.034000000000,2556467.823999999600,2900523.518999999900,2777175.709000000700,11428400.085999999000
FS( 144 ),3219540.550499999900,2572795.253999999700,2891045.645000000000,2787927.919000000200,11471309.368500000000
FS( 145 ),3189912.238500000000,2572795.253999999700,2871412.906000000000,2787927.919000000200,11422048.317499999000
FS( 146 ),3215219.754999999900,2579326.225999999800,2876828.833999999300,2820453.354249999900,11491828.169250000000
FS( 147 ),3206578.163999999900,2566264.282000000100,2886306.707999999200,2852709.984250000200,11511859.138249999000
FS( 148 ),3232502.936999999900,2572795.253999999700,2881567.771000000200,2917492.049500000200,11604358.011499999000
FS( 149 ),3262131.248999999800,2585857.197999999900,2881567.771000000200,2885235.419500000300,11614791.637500001000
FS( 150 ),3249168.862499999800,2553202.338000000000,2881567.771000000200,2831205.564250000300,11515144.535750000000
FS( 151 ),3262131.248999999800,2582591.711999999800,2871412.906000000000,2852709.984250000200,11568845.851249998000
FS( 152 ),3266452.044499999800,2598510.956249999800,2905262.456000000200,2831205.564250000300,11601431.021000000000
FS( 153 ),3270155.583500000200,2605041.928249999900,2905262.456000000200,2820453.354249999900,11600913.322000001000
FS( 154 ),3291759.560999999800,2767091.671000000100,2881567.771000000200,2928513.064750000400,11868932.067750001000
FS( 155 ),3346695.389500000000,2711986.594749999200,2895784.581999999900,2960769.694750000300,11915236.261000000000
FS( 156 ),3346695.389500000000,2760560.698999999600,2895784.581999999900,2950017.484750000300,11953058.155250000000
FS( 157 ),3300401.152000000200,2721783.052750000300,2886306.707999999200,2863730.999500000400,11772221.912250001000
FS( 158 ),3262131.248999999800,2757295.213000000000,2886306.707999999200,2895987.629500000700,11801720.799500000000
FS( 159 ),3253489.657999999800,2737702.297000000300,2881567.771000000200,3025551.760000000700,11898311.486000001000
FS( 160 ),3240527.271500000300,2715252.080750000200,2824023.535999999800,2960769.694750000300,11740572.583000001000
FS( 161 ),3219540.550499999900,2728314.024750000300,2824023.535999999800,2982274.114750000200,11754152.226000000000
FS( 162 ),3321387.872999999700,2757295.213000000000,2861935.032000000100,3004047.340000000300,11944665.457999999000
FS( 163 ),3389286.088000000000,2812400.289250000400,2861935.032000000100,3014799.550000000300,12078420.959250001000
FS( 164 ),3351016.184999999600,2903017.525750000000,2847718.220999999900,3004047.340000000300,12105799.271749999000
FS( 165 ),3355336.980499999600,2893221.067749999900,2842979.283999999500,2950017.484750000300,12041554.817000000000
FS( 166 ),3410272.808999999900,2922610.441749999800,2891045.645000000000,2917492.049500000200,12141420.945249999000
FS( 167 ),3363978.571500000100,2825462.233249999600,2866673.969000000000,3004047.340000000300,12060162.113750000000
FS( 168 ),3346695.389500000000,2799338.345249999800,2886306.707999999200,3209145.745750000700,12241486.188500000000
FS( 169 ),3244848.066999999300,2773622.642999999700,2886306.707999999200,3090333.825250000200,11995111.243249997000
FS( 170 ),3253489.657999999800,2780153.614999999800,2871412.906000000000,3047056.180000000600,11952112.359000001000
FS( 171 ),3296080.356500000200,2718517.566749999800,2857196.094999999700,3176620.310500000100,12048414.328749999000
FS( 172 ),3291759.560999999800,2776888.128999999700,2881567.771000000200,3090333.825250000200,12040549.286249999000
FS( 173 ),3236823.732500000400,2792807.373249999700,2861935.032000000100,3025551.760000000700,11917117.897750001000
FS( 174 ),3244848.066999999300,2770357.157000000100,2861935.032000000100,3090333.825250000200,11967474.081249999000
FS( 175 ),3317067.077500000100,2780153.614999999800,2886306.707999999200,3090333.825250000200,12073861.225749999000
FS( 176 ),3321387.872999999700,2780153.614999999800,2881567.771000000200,3068829.405250000300,12051938.664249999000
FS( 177 ),3304104.690999999600,2844646.963499999600,2891045.645000000000,3025551.760000000700,12065349.059500001000
FS( 178 ),3304104.690999999600,2906283.011750000100,2900523.518999999900,3047056.180000000600,12157967.401749998000
FS( 179 ),3291759.560999999800,2909548.497749999600,2905262.456000000200,3111838.245250000200,12218408.760000000000
FS( 180 ),3283117.970000000200,2889955.581749999900,2891045.645000000000,3004047.340000000300,12068166.536750000000
FS( 181 ),3134976.409999999700,2860974.393500000200,2900523.518999999900,2960769.694750000300,11857244.017250000000
FS( 182 ),3117693.227999999700,2961388.088000000000,2910001.392999999700,2982274.114750000200,11971356.823749999000
FS( 183 ),3011525.109999999400,3009962.192250000300,2914740.330000000100,2950017.484750000300,11886245.117000001000
FS( 184 ),2965230.872499999600,2938529.686000000200,2905262.456000000200,3036303.970000000200,11845326.984500000000
FS( 185 ),2994859.184500000000,2922610.441749999800,2900523.518999999900,3025551.760000000700,11843544.905250002000
FS( 186 ),3024487.496499999900,2909548.497749999600,2914740.330000000100,2982274.114750000200,11831050.438999999000
