代數,10000
粒子數,10
旋轉角度上界,0.0004
旋轉角度下界,0.0004
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000
最後資金,12765331.417750001000
真實報酬,2765331.417750001000

夏普值報酬,0.267833141775
夏普值風險,0.073738208545
夏普值,3.632216554474

預期報酬,11438.927549633994
風險,148797.059166277900
起點值,0.076876032455
找到最佳解世代,4446
找到最佳解實驗#,2
找到最佳解次數,24

投資組合檔數,7
2325(18),2412(26),2474(28),2882(33),2891(38),2912(40),3008(41),
Stock#,2325(18),2412(26),2474(28),2882(33),2891(38),2912(40),3008(41),
張數,57,19,12,50,126,9,1,
FS( 110 ),1516782.661000000100,1519850.130249999900,1482060.465999999800,1599060.387500000000,1590836.130999999800,1734375.684250000200,1611925.284750000100,11054893.744750001000
FS( 111 ),1530402.127000000300,1516823.582250000000,1502609.134000000100,1599060.387500000000,1599617.102499999800,1802204.209000000500,1639681.915750000200,11190401.458000002000
FS( 112 ),1534941.949000000000,1515121.149000000000,1502609.134000000100,1570686.500000000000,1582055.159499999600,1782223.018750000000,1630423.068250000000,11118062.978500001000
FS( 113 ),1512242.839000000400,1523065.837499999900,1523157.802000000100,1589602.424999999800,1612161.347499999700,1830159.955000000100,1662809.123000000100,11253202.329000000000
FS( 114 ),1525862.304999999900,1523065.837499999900,1543825.939000000000,1587611.274999999900,1624705.592499999300,1901930.956750000100,1704434.113750000000,11411439.019499999000
FS( 115 ),1505433.106000000100,1519850.130249999900,1548963.106000000100,1595078.087499999900,1649794.082499999800,1830159.955000000100,1690555.798250000000,11339837.265500002000
FS( 116 ),1512242.839000000400,1513607.874999999800,1533432.136000000400,1578153.312500000000,1637249.837499999700,1802204.209000000500,1662809.123000000100,11239702.332000000000
FS( 117 ),1521322.483000000500,1523065.837499999900,1538569.303000000100,1584126.762500000000,1662338.327499999700,1818153.320499999900,1672058.014750000100,11319637.048750000000
FS( 118 ),1512242.839000000400,1513607.874999999800,1543825.939000000000,1572677.649999999900,1662338.327499999700,1790197.574500000100,1672058.014750000100,11266951.219749998000
FS( 119 ),1503163.195000000300,1513607.874999999800,1507746.301000000000,1570686.500000000000,1684917.968499999700,1798172.130250000200,1644301.383750000000,11222598.353500001000
FS( 120 ),1466844.619000000200,1508878.893749999800,1533432.136000000400,1542810.399999999900,1667356.025499999500,1830159.955000000100,1667428.591000000000,11216913.620250000000
FS( 121 ),1489543.729000000100,1510392.167750000000,1523157.802000000100,1552268.362499999800,1658575.053999999800,1854083.622250000200,1645814.657750000200,11233838.395250000000
FS( 122 ),1503163.195000000300,1518336.856250000000,1502609.134000000100,1546294.912499999900,1658575.053999999800,1822185.399250000200,1664611.113750000000,11215778.664750000000
FS( 123 ),1498623.373000000400,1523065.837499999900,1487197.633000000100,1536836.950000000000,1667356.025499999500,1814210.843500000200,1600695.198750000000,11127988.861250000000
FS( 124 ),1512242.839000000400,1515121.149000000000,1507746.301000000000,1561228.537499999900,1644776.384499999700,1810178.764750000100,1622319.087749999900,11173616.063499998000
FS( 125 ),1519052.572000000400,1519850.130249999900,1545379.036000000300,1587611.274999999900,1653557.355999999700,1802204.209000000500,1627018.201750000000,11254675.780000001000
FS( 126 ),1539481.771000000400,1532334.640750000300,1561387.882000000000,1613994.012500000000,1684917.968499999700,1806236.287750000100,1650513.771750000100,11388869.334249999000
FS( 127 ),1544021.593000000100,1527605.659500000100,1556011.777000000200,1602544.899999999900,1684917.968499999700,1798172.130250000200,1645814.657750000200,11359091.686000001000
FS( 128 ),1548561.415000000300,1524579.111500000100,1625781.673000000200,1617976.312500000000,1725059.552499999800,1798172.130250000200,1655212.885749999900,11495346.080499999000
FS( 129 ),1559910.970000000400,1532334.640750000300,1609772.827000000000,1615985.162500000100,1733840.524000000000,1758299.351500000100,1641115.543750000000,11451262.019500000000
FS( 130 ),1571260.525000000100,1535550.348000000000,1625781.673000000200,1628927.637500000000,1733840.524000000000,1790197.574500000100,1655212.885749999900,11540774.167750001000
FS( 131 ),1578070.258000000400,1529308.092750000100,1604396.722000000100,1632909.937500000000,1733840.524000000000,1810178.764750000100,1617619.973749999900,11506327.272750001000
FS( 132 ),1588852.335250000000,1532334.640750000300,1599020.616999999900,1636394.450000000000,1725059.552499999800,1802204.209000000500,1617619.973749999900,11501488.778250001000
FS( 133 ),1607011.623249999900,1537063.622000000200,1609772.827000000000,1630918.787499999900,1725059.552499999800,1794229.653250000200,1617619.973749999900,11521679.039249998000
FS( 134 ),1613821.356250000200,1529308.092750000100,1615029.462999999800,1632909.937500000000,1742621.495499999700,1806236.287750000100,1556521.536000000100,11496451.168749999000
FS( 135 ),1611551.445250000300,1523065.837499999900,1636533.883000000100,1645852.412499999600,1761437.862999999700,1814210.843500000200,1553704.058750000100,11546359.343499999000
FS( 136 ),1597931.979250000300,1527605.659500000100,1615029.462999999800,1628927.637500000000,1761437.862999999700,1794229.653250000200,1551822.422000000000,11476987.677500000000
FS( 137 ),1584312.513250000300,1529308.092750000100,1588268.407000000100,1606527.200000000000,1742621.495499999700,1810178.764750000100,1547123.308000000200,11408342.781250000000
FS( 138 ),1616091.267250000000,1537063.622000000200,1620405.568000000200,1628927.637500000000,1761437.862999999700,1810178.764750000100,1608221.745750000000,11582329.468250001000
FS( 139 ),1616091.267250000000,1535550.348000000000,1636533.883000000100,1625443.125000000000,1761437.862999999700,1798172.130250000200,1598823.517750000100,11572055.134250000000
