代數,10000
粒子數,10
旋轉角度上界,0.0004
旋轉角度下界,0.0004
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000
最後資金,13353851.322749998000
真實報酬,3353851.322749998400

夏普值報酬,0.326685132275
夏普值風險,0.075144796512
夏普值,4.347408569062

預期報酬,12521.176600303364
風險,142903.070057433330
起點值,0.087620067191
找到最佳解世代,4104
找到最佳解實驗#,4
找到最佳解次數,5

投資組合檔數,12
1301(3),1303(4),1326(5),2227(11),2317(16),2357(20),2408(23),2474(27),2801(28),2882(31),2885(34),2892(39),
Stock#,1301(3),1303(4),1326(5),2227(11),2317(16),2357(20),2408(23),2474(27),2801(28),2882(31),2885(34),2892(39),
張數,11,15,11,4,12,3,23,3,57,24,85,58,
FS( 52 ),842417.270250000060,859750.493749999910,857475.519499999940,880297.361000000030,894793.792999999830,876182.452250000090,890446.266499999910,856611.183499999930,858053.501000000160,935413.826000000000,921581.019999999900,898411.537499999980,10571438.224250000000
FS( 53 ),841431.650999999840,856913.104999999980,860541.890499999980,880297.361000000030,891329.191999999920,870567.409249999790,881515.958749999870,858074.678750000080,855783.590000000080,922750.112000000310,913964.871249999970,890327.468500000080,10523501.287999999000
FS( 54 ),835189.395750000030,848400.938749999970,847181.274000000090,880297.361000000030,893599.102999999890,867759.887749999990,891362.195499999910,895737.280999999960,855783.590000000080,926095.244000000060,909733.677499999870,890327.468500000080,10541471.416749999000
FS( 55 ),850740.277249999810,865275.934999999940,880144.762249999910,883961.077000000050,928125.643999999740,900016.517750000120,907161.970749999980,947885.499499999920,868835.578250000140,946882.850000000330,921581.019999999900,911692.508000000150,10812307.639750000000
FS( 56 ),849754.658000000050,866769.297499999750,876092.772000000000,885792.935000000060,925736.263999999970,888786.431750000220,904872.148250000090,930502.760000000130,865998.189499999980,942104.089999999970,921581.019999999900,908805.340500000050,10766799.906500001000
FS( 57 ),858077.664999999800,870950.712499999910,888467.769249999900,905983.196000000000,923466.352999999890,895805.235499999950,899376.574250000060,936297.006500000130,868835.578250000140,953573.114000000290,921581.019999999900,911692.508000000150,10834110.732249998000
FS( 58 ),860158.416749999970,876625.489999999990,895695.643749999930,900487.621999999970,918926.530999999840,895805.235499999950,906017.059499999860,923245.018249999960,868835.578250000140,955962.494000000060,930043.407499999860,911692.508000000150,10843499.004500000000
FS( 59 ),864319.920250000080,887825.708749999990,896681.262999999920,904151.337999999990,921196.441999999920,897208.996250000080,912657.544749999880,939194.129749999850,873942.878000000030,957157.184000000120,934274.601249999950,914579.675500000010,10903193.681500001000
FS( 60 ),861144.035999999730,887825.708749999990,890439.007749999990,902319.479999999980,910802.638999999970,898612.756999999980,925938.515250000050,911656.525250000060,865998.189499999980,950227.982000000080,921581.019999999900,906495.606499999990,10833045.467000000000
FS( 61 ),864319.920250000080,892007.123749999910,897666.882250000020,905983.196000000000,921196.441999999920,912650.364500000140,928228.337749999950,916017.143750000050,879617.655499999990,958351.874000000190,930043.407499999860,911692.508000000150,10917778.855250001000
