代數,10000
粒子數,10
旋轉角度上界,0.0004
旋轉角度下界,0.0004
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000
最後資金,11941038.552500000000
真實報酬,1941038.552500000200

夏普值報酬,0.185403855250
夏普值風險,0.050201837641
夏普值,3.693168695888

預期報酬,7979.180693627194
風險,116687.139137442910
起點值,0.068380977995
找到最佳解世代,4232
找到最佳解實驗#,3
找到最佳解次數,13

投資組合檔數,8
2002(7),2354(20),2412(24),2881(30),2884(33),2912(40),3008(41),3045(42),
Stock#,2002(7),2354(20),2412(24),2881(30),2884(33),2912(40),3008(41),3045(42),
張數,56,22,16,35,104,7,0,17,
FS( 85 ),1221006.853999999800,1379214.134500000200,1299457.524000000200,1321229.138749999900,1285193.105999999900,1578256.976250000100,1250000.000000000000,1358229.769000000100,10692587.502499999000
FS( 86 ),1218219.244000000200,1382718.558500000000,1296749.560000000100,1310775.601250000100,1285193.105999999900,1578256.976250000100,1250000.000000000000,1342320.480500000100,10664233.526500000000
FS( 87 ),1213759.068000000000,1366510.597500000100,1294200.888000000000,1318441.528749999800,1275874.524000000000,1572054.544000000200,1250000.000000000000,1323533.980250000000,10614375.130500000000
FS( 88 ),1218219.244000000200,1350083.610000000100,1294200.888000000000,1318441.528749999800,1288299.300000000000,1575190.605250000000,1250000.000000000000,1337920.039000000100,10632355.215000000000
FS( 89 ),1223236.942000000000,1353807.060499999900,1300731.860000000100,1332031.127499999900,1288299.300000000000,1578256.976250000100,1250000.000000000000,1336566.057000000000,10662929.323249999000
FS( 90 ),1221006.853999999800,1371986.260000000000,1300731.860000000100,1367921.606249999500,1285193.105999999900,1575190.605250000000,1250000.000000000000,1340797.250750000100,10712827.542249998000
FS( 91 ),1218219.244000000200,1375490.684000000400,1299457.524000000200,1399630.669999999900,1301759.473999999900,1584459.408500000100,1250000.000000000000,1335042.827249999600,10764059.831750002000
FS( 92 ),1213759.068000000000,1357311.484500000000,1296749.560000000100,1396843.059999999800,1301759.473999999900,1572054.544000000200,1250000.000000000000,1336566.057000000000,10725043.247500001000
FS( 93 ),1210971.458000000100,1366510.597500000100,1296749.560000000100,1439005.661249999900,1335927.608000000000,1584459.408500000100,1250000.000000000000,1327765.174000000100,10811389.467250001000
FS( 94 ),1210971.458000000100,1410096.871000000000,1298183.188000000100,1485698.128749999900,1342139.996000000000,1568988.173000000000,1250000.000000000000,1323533.980250000000,10889611.795000002000
FS( 95 ),1213759.068000000000,1384689.797000000000,1294200.888000000000,1439005.661249999900,1335927.608000000000,1559649.679500000100,1250000.000000000000,1327765.174000000100,10804997.875750002000
FS( 96 ),1218219.244000000200,1384689.797000000000,1306944.248000000100,1450853.003749999900,1346281.588000000000,1578256.976250000100,1250000.000000000000,1332165.615500000300,10867410.472500000000
FS( 97 ),1213759.068000000000,1384689.797000000000,1306944.248000000100,1452595.260000000000,1346281.588000000000,1572054.544000000200,1250000.000000000000,1349598.133750000300,10875922.638750002000
FS( 98 ),1232714.815999999900,1395641.122000000000,1301369.028000000200,1459912.736249999800,1342139.996000000000,1578256.976250000100,1250000.000000000000,1352475.345499999600,10912510.020000000000
FS( 99 ),1235502.426000000000,1393669.883500000000,1305510.619999999900,1475244.591249999800,1349387.782000000100,1578256.976250000100,1250000.000000000000,1355352.557250000100,10942924.836250000000
FS( 100 ),1237732.514000000200,1404621.208499999900,1306944.248000000100,1490227.995000000300,1349387.782000000100,1590661.840750000000,1250000.000000000000,1355352.557250000100,10984928.145500001000
FS( 101 ),1242750.212000000100,1395641.122000000000,1301369.028000000200,1508347.460000000000,1358706.363999999800,1584459.408500000100,1250000.000000000000,1352475.345499999600,10993748.939999999000
FS( 102 ),1254458.173999999900,1384689.797000000000,1297227.436000000200,1514271.131249999900,1372166.537999999900,1590661.840750000000,1250000.000000000000,1352475.345499999600,11015950.262499999000
FS( 103 ),1266723.658000000100,1375490.684000000400,1301369.028000000200,1453989.064999999900,1382520.517999999900,1606202.766500000100,1250000.000000000000,1361106.980749999900,10997402.700250002000
FS( 104 ),1273971.444000000100,1377461.922500000100,1301369.028000000200,1487091.933749999600,1382520.517999999900,1603066.705250000100,1250000.000000000000,1361106.980749999900,11036588.532250000000
FS( 105 ),1259475.872000000000,1371986.260000000000,1300094.692000000000,1453989.064999999900,1352493.976000000000,1581393.037500000100,1250000.000000000000,1352475.345499999600,10921908.248000000000
FS( 106 ),1259475.872000000000,1357311.484500000000,1306944.248000000100,1420886.196250000000,1349387.782000000100,1587595.469749999900,1250000.000000000000,1355352.557250000100,10886953.609750001000
FS( 107 ),1263936.048000000400,1359063.696500000300,1300094.692000000000,1420886.196250000000,1339033.801999999900,1584459.408500000100,1250000.000000000000,1359752.998750000000,10877226.842000000000
FS( 108 ),1249440.476000000000,1328180.960000000200,1294519.472000000100,1365133.996249999600,1312113.453999999700,1553447.247249999800,1250000.000000000000,1339443.268750000000,10692278.874250000000
FS( 109 ),1244980.300000000000,1320953.085499999800,1294519.472000000100,1386041.071250000000,1322467.434000000100,1537557.870249999700,1250000.000000000000,1340797.250750000100,10697316.483749999000
FS( 110 ),1254458.173999999900,1328180.960000000200,1304236.284000000000,1395100.803750000000,1335927.608000000000,1547105.434500000000,1250000.000000000000,1367030.652000000000,10782039.916250002000
FS( 111 ),1244980.300000000000,1320953.085499999800,1300094.692000000000,1392313.193749999900,1322467.434000000100,1540693.931500000200,1250000.000000000000,1369907.863750000000,10741410.500499999000
FS( 112 ),1252228.086000000100,1317229.635000000000,1304236.284000000000,1420886.196250000000,1328679.821999999900,1518462.741750000000,1250000.000000000000,1380062.728750000000,10771785.493750000000
FS( 113 ),1261705.960000000200,1328180.960000000200,1304236.284000000000,1419492.391249999900,1332821.413999999900,1512051.238750000000,1250000.000000000000,1371261.845750000100,10779750.093750000000
FS( 114 ),1268953.746000000300,1377461.922500000100,1309652.211999999800,1429945.928750000000,1349387.782000000100,1499367.613249999900,1250000.000000000000,1374308.305250000200,10859077.509750001000
FS( 115 ),1276759.053999999800,1386442.009000000300,1306944.248000000100,1452595.260000000000,1349387.782000000100,1489820.049000000100,1250000.000000000000,1381416.710749999900,10893365.112750001000
FS( 116 ),1281776.752000000100,1395641.122000000000,1306944.248000000100,1432733.538750000100,1352493.976000000000,1508915.177500000000,1250000.000000000000,1388694.364000000100,10917199.178250000000
FS( 117 ),1281776.752000000100,1417324.745500000000,1305510.619999999900,1408690.402499999600,1335927.608000000000,1496161.861749999900,1250000.000000000000,1388694.364000000100,10884086.353750000000
FS( 118 ),1296829.846000000400,1410096.871000000000,1320802.652000000000,1426809.867500000200,1355600.169999999900,1518462.741750000000,1250000.000000000000,1394448.787499999900,10973050.935750000000
FS( 119 ),1309652.852000000200,1406373.420500000000,1324944.244000000200,1484304.323750000200,1369060.344000000000,1518462.741750000000,1250000.000000000000,1395972.017250000000,11058769.943250000000
FS( 120 ),1306865.242000000100,1402868.996500000400,1323510.615999999900,1484304.323750000200,1404263.875999999900,1512051.238750000000,1250000.000000000000,1400372.458750000200,11084236.751750002000
FS( 121 ),1316900.638000000000,1413820.321500000300,1329085.836000000100,1499287.727500000000,1451892.184000000100,1518462.741750000000,1250000.000000000000,1409004.094000000000,11188453.542750001000
FS( 122 ),1316900.638000000000,1413820.321500000300,1327652.207999999900,1491621.799999999800,1444644.397999999800,1518462.741750000000,1250000.000000000000,1403249.670499999800,11166351.777750000000
FS( 123 ),1316900.638000000000,1408344.659000000200,1327652.207999999900,1487091.933749999600,1463281.561999999900,1512051.238750000000,1250000.000000000000,1407650.112000000000,11172972.351499999000
FS( 124 ),1321918.336000000100,1411849.082999999900,1327652.207999999900,1515664.936249999800,1470529.347999999800,1543899.683000000200,1250000.000000000000,1420682.188750000200,11262195.783000000000
FS( 125 ),1321918.336000000100,1458720.754000000000,1330360.172000000000,1517407.192499999900,1474670.939999999900,1547105.434500000000,1250000.000000000000,1423559.400500000000,11323742.229499999000
FS( 126 ),1311882.940000000200,1462663.231000000100,1319369.024000000200,1493015.605000000200,1463281.561999999900,1537557.870249999700,1250000.000000000000,1400372.458750000200,11238142.691000002000
FS( 127 ),1319688.248000000400,1470329.158499999900,1309652.211999999800,1511135.070000000100,1451892.184000000100,1531146.367249999900,1250000.000000000000,1356875.787000000000,11200719.026750000000
FS( 128 ),1319688.248000000400,1460691.992499999900,1305510.619999999900,1497545.471249999900,1448785.990000000000,1499367.613249999900,1250000.000000000000,1332165.615500000300,11113755.550500002000
FS( 129 ),1321918.336000000100,1462663.231000000100,1319369.024000000200,1529254.534999999900,1470529.347999999800,1528010.306000000100,1250000.000000000000,1339443.268750000000,11221188.048750000000
FS( 130 ),1321918.336000000100,1453026.064999999700,1313793.804000000000,1526466.924999999800,1477777.134000000100,1534352.118750000100,1250000.000000000000,1346720.922000000000,11224055.304749999000
FS( 131 ),1324705.946000000200,1447112.349500000000,1306944.248000000100,1524724.668749999500,1474670.939999999900,1534352.118750000100,1250000.000000000000,1340797.250750000100,11203307.521749999000
FS( 132 ),1329723.644000000100,1464634.469499999900,1311085.840000000100,1535526.657500000000,1481918.726000000000,1559789.059999999800,1250000.000000000000,1337920.039000000100,11270598.436000001000
FS( 133 ),1324705.946000000200,1447112.349500000000,1305510.619999999900,1529254.534999999900,1456033.776000000100,1531146.367249999900,1250000.000000000000,1337920.039000000100,11181683.632750001000
FS( 134 ),1331953.732000000100,1437475.183500000000,1304236.284000000000,1517407.192499999900,1467423.153999999600,1518462.741750000000,1250000.000000000000,1329288.403750000100,11156246.691500001000
FS( 135 ),1326936.034000000200,1425866.779000000100,1308377.875999999900,1499287.727500000000,1444644.397999999800,1521598.802999999800,1250000.000000000000,1337920.039000000100,11114631.656500001000
FS( 136 ),1326936.034000000200,1429809.256000000100,1301369.028000000200,1484304.323750000200,1456033.776000000100,1524804.554500000100,1250000.000000000000,1332165.615500000300,11105422.587750003000
FS( 137 ),1314670.550000000000,1410315.897500000200,1298661.064000000000,1478032.201249999900,1444644.397999999800,1512051.238750000000,1250000.000000000000,1323533.980250000000,11031909.329750001000
FS( 138 ),1331953.732000000100,1423895.540499999700,1302802.656000000000,1482562.067499999900,1441538.203999999700,1512051.238750000000,1250000.000000000000,1332165.615500000300,11076969.054249998000
FS( 139 ),1352582.046000000300,1454997.303499999700,1306944.248000000100,1499287.727500000000,1444644.397999999800,1521598.802999999800,1250000.000000000000,1330642.385749999900,11160696.911750000000
FS( 140 ),1347006.826000000100,1454997.303499999700,1306944.248000000100,1503817.593749999800,1437396.612000000000,1486614.297499999900,1250000.000000000000,1335042.827249999600,11121819.707999999000
