代數,10000
粒子數,10
旋轉角度上界,0.0004
旋轉角度下界,0.0004
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000
最後資金,14107929.025500001000
真實報酬,4107929.025500001400

夏普值報酬,0.402092902550
夏普值風險,0.107881660338
夏普值,3.727166427465

預期報酬,14715.863358091252
風險,380303.244876256850
起點值,0.038695077037
找到最佳解世代,7450
找到最佳解實驗#,1
找到最佳解次數,50

投資組合檔數,3
1326(5),2912(39),8046(47),
Stock#,1326(5),2912(39),8046(47),
張數,70,55,33,
FS( 233 ),4755838.542500000400,6081882.086250000600,3093154.338750000100,13930875.967500001000
FS( 234 ),4755838.542500000400,5969631.005000001800,3106624.468499999500,13832095.016000003000
FS( 235 ),4791380.569999999400,5992081.221250000400,3175289.276250000100,13958752.067499999000
FS( 236 ),4766292.080000000100,5992081.221250000400,3147691.937249999500,13906066.238499999000
FS( 237 ),4781623.934999999600,5969631.005000001800,3188759.405999999500,13940015.346000001000
FS( 238 ),4826922.597500000100,5992081.221250000400,3134221.807500000100,13953226.626250003000
FS( 239 ),4974665.927500001200,5902280.356250000200,3120423.138000000300,13997370.421750002000
FS( 240 ),4964212.389999999700,5834382.141249999400,3134221.807500000100,13932817.338750001000
FS( 241 ),4969787.610000000300,5857379.923750001000,3134221.807500000100,13961390.341250002000
FS( 242 ),4898703.554999998800,5924730.572500000700,3161490.606750000300,13984925.734250000000
FS( 243 ),4877796.480000000400,5947180.788750000300,3229826.874749999500,14054805.143500000000
FS( 244 ),4877796.480000000400,5969631.005000001800,3175289.276250000100,14022717.761250004000
FS( 245 ),4928670.362500001700,6014531.437500000000,3134221.807500000100,14077424.607500002000
FS( 246 ),4939123.900000000400,5947180.788750000300,3147691.937249999500,14033997.626000000000
FS( 247 ),4944002.217500000300,5992081.221250000400,3106624.468499999500,14042708.907250000000
FS( 248 ),4969787.610000000300,6014531.437500000000,3134221.807500000100,14118541.855000000000
FS( 249 ),4969787.610000000300,6014531.437500000000,3079355.669250000300,14063675.716750000000
FS( 250 ),4994876.100000000600,6036981.653749999600,3093154.338750000100,14125013.092500001000
FS( 251 ),5010207.955000000100,6059431.870000001000,3038288.200500000300,14107929.025500001000
