代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13953124.030000001192093
真實報酬,3953124.030000001192093

夏普值報酬,0.386612403000000
夏普值風險,0.095705343230469
夏普值,4.039611477793841

預期報酬,16532.518237969601614
風險,195805.573935641063144
趨勢值,0.084433338161270
找到最佳解世代,1644
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
BA[2](5),DD[7](1),MRK[17](14),UNH[23](9),V[25](6),
20140127,3199976.960000000894070,2707540.439999999944121,2376915.839999999850988,2504793.520000000484288,2546394.799999999813735,13335621.560000002384186
20140128,3193687.040000000037253,2704893.779999999795109,2392300.159999999683350,2506891.000000000000000,2601976.339999999850988,13399748.320000000298023
20140129,3023393.280000000260770,2809877.959999999962747,2362436.479999999981374,2491159.900000000372529,2556757.459999999962747,13243625.080000001937151
20140130,2947681.280000000260770,2846490.089999999850988,2421258.879999999888241,2544995.219999999739230,2601034.280000000260770,13361459.750000000000000
20140131,2918095.360000000335276,2858841.169999999925494,2396824.959999999962747,2526817.060000000521541,2536974.200000000186265,13237552.750000000000000
20140203,2867310.080000000074506,2807231.299999999813735,2356554.239999999757856,2472981.740000000223517,2513893.729999999515712,13017971.089999999850988
20140204,2843082.240000000223517,2824434.589999999850988,2421258.879999999888241,2464941.400000000372529,2526611.540000000037253,13080328.649999998509884
20140205,2828172.799999999813735,2817376.829999999608845,2422163.839999999850988,2475778.379999999888241,2538858.319999999366701,13082350.169999998062849
20140206,2857758.719999999739230,2863693.379999999888241,2433023.359999999869615,2477526.280000000260770,2578895.870000000111759,13210897.609999999403954
20140207,2959096.320000000298023,2864575.599999999627471,2478271.359999999869615,2494655.700000000186265,2611867.969999999739230,13408466.949999999254942
20140210,2962357.759999999776483,2879573.339999999850988,2483701.120000000111759,2438023.740000000223517,2597266.040000000037253,13360922.000000000000000
20140211,3032245.759999999776483,2942210.959999999962747,2520352.000000000000000,2468786.780000000260770,2617991.359999999403954,13581586.859999999403954
20140212,2984954.879999999888241,2913097.700000000186265,2488678.399999999906868,2455502.740000000223517,2639658.740000000223517,13481892.460000000894070
20140213,3016870.400000000372529,2908686.599999999627471,2493203.200000000186265,2489412.000000000000000,2638245.649999999441206,13546417.849999997764826
20140214,3032245.759999999776483,2934270.979999999515712,2508587.520000000018626,2570164.979999999515712,2661326.120000000111759,13706595.359999999403954
20140218,3043194.879999999888241,2938682.080000000074506,2519899.520000000018626,2581001.959999999962747,2662268.179999999701977,13745046.620000001043081
20140219,2991011.839999999850988,2917067.689999999478459,2490488.319999999832362,2571213.719999999739230,2636361.530000000260770,13606143.100000001490116
20140220,3018268.160000000149012,2961178.689999999478459,2525329.279999999795109,2568766.660000000149012,2631651.229999999515712,13705194.019999999552965
20140221,2988449.280000000260770,2950150.939999999478459,2535283.839999999850988,2580302.799999999813735,2630238.139999999664724,13684425.000000000000000
20140224,3018967.040000000037253,2949268.719999999739230,2542071.040000000037253,2657210.400000000372529,2663681.269999999552965,13831198.470000000670552
20140225,2953505.280000000260770,2966472.009999999776483,2529854.079999999608845,2633089.379999999888241,2674514.959999999962747,13757435.710000000894070
20140226,2949544.959999999962747,3004407.469999999739230,2546143.359999999869615,2658958.299999999813735,2662739.209999999962747,13821793.300000000745058
20140227,2994972.160000000149012,3047195.139999999664724,2563790.079999999608845,2657559.979999999515712,2664623.330000000074506,13928140.689999999478459
20140228,3003358.719999999739230,3059987.330000000074506,2578721.919999999925494,2701257.479999999515712,2660855.089999999850988,14004180.539999999105930
20140303,2987051.520000000484288,3042784.040000000037253,2552930.560000000055879,2695314.620000000111759,2607628.700000000186265,13885709.440000001341105
20140304,3033876.479999999515712,3107186.099999999627471,2581889.279999999795109,2731321.360000000335276,2655673.759999999776483,14109946.979999998584390
20140305,3000330.240000000223517,3135417.139999999664724,2573744.640000000130385,2726427.240000000223517,2623643.719999999739230,14059562.980000000447035
20140306,3001960.960000000894070,3127036.049999999813735,2590938.879999999888241,2714191.940000000409782,2636361.530000000260770,14070489.360000003129244
20140307,2994506.240000000223517,3110273.870000000111759,2600440.959999999962747,2705802.020000000484288,2656144.790000000037253,14067167.879999998956919
20140310,2956067.839999999850988,3130123.819999999366701,2593653.759999999776483,2722581.860000000335276,2655673.759999999776483,14058101.039999997243285
20140311,2927646.719999999739230,3094393.910000000149012,2565147.520000000018626,2719086.060000000521541,2675457.019999999552965,13981731.230000000447035
20140312,2898759.680000000633299,3079837.279999999329448,2570577.279999999795109,2712793.620000000111759,2662739.209999999962747,13924707.070000000298023
20140313,2839587.839999999850988,3061751.769999999552965,2524424.319999999832362,2692168.400000000372529,2600092.219999999739230,13718024.550000000745058
20140314,2868008.959999999962747,3056017.339999999850988,2520352.000000000000000,2646373.419999999925494,2599621.189999999478459,13690372.910000000149012
20140317,2921822.719999999739230,3078072.839999999850988,2545690.879999999888241,2683428.900000000372529,2635419.469999999739230,13864434.809999998658895
20140318,2889674.240000000223517,3119978.290000000037253,2550215.679999999701977,2726776.820000000298023,2666036.419999999925494,13952681.450000001117587
20140319,2847741.440000000409782,3116449.410000000149012,2533473.919999999925494,2795294.500000000000000,2635890.500000000000000,13928849.769999999552965
20140320,2882452.480000000447035,3156149.309999999590218,2515374.720000000204891,2850178.560000000521541,2612339.000000000000000,14016494.070000000298023
20140321,2855662.080000000074506,3153943.759999999776483,2473294.079999999608845,2843536.540000000037253,2630238.139999999664724,13956674.600000001490116
20140324,2875230.719999999739230,3150855.990000000223517,2433475.839999999850988,2841439.060000000521541,2599621.189999999478459,13900622.800000000745058
20140325,2889208.320000000298023,3181292.580000000074506,2497275.520000000018626,2835146.620000000111759,2571830.419999999925494,13974753.459999999031425
20140326,2877793.280000000260770,3104980.549999999813735,2534831.359999999869615,2850528.140000000596046,2539800.379999999888241,13907933.710000000894070
20140327,2870338.559999999590218,3014553.000000000000000,2521709.439999999944121,2832349.979999999515712,2540742.439999999478459,13779693.419999999925494
20140328,2899458.559999999590218,3027786.299999999813735,2533021.439999999944121,2853324.780000000260770,2497407.679999999701977,13810998.759999997913837
20140331,2923453.440000000409782,3052488.459999999962747,2568767.359999999869615,2866259.240000000223517,2542155.530000000260770,13953124.030000001192093
