代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11143394.200000001117587
真實報酬,1143394.200000001117587

夏普值報酬,0.105639420000000
夏普值風險,0.053528739041538
夏普值,1.973508472112988

二次趨勢線,55.273962161251205 x^2 + -8053.081607234326839 x + 10000000.000000000000000
二次加權預期報酬,10629.517603268584935
風險,191818.100763238238869
二次加權趨勢值,0.055414570162952
一次趨勢線,2455.839565565449448 x + 10000000.000000000000000
一次預期報酬,2455.839565565449448
一次風險,441375.275820873328485
一次趨勢值,0.005564062375261
找到最佳解世代,2634
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
JNJ[12](1),MCD[15](2),UNH[23](7),WMT[28](11),
Stock#,JNJ[12](1),MCD[15](2),UNH[23](7),WMT[28](11),
張數,24990,25982,20857,33453,
FS( 74 ),2332067.199999999720603,2519486.500000000000000,2457034.580000000074506,2150416.149999999906868,9459004.429999999701977
FS( 75 ),2359056.399999999906868,2551184.540000000037253,2503545.689999999944121,2151754.270000000018626,9565540.899999998509884
FS( 76 ),2364304.299999999813735,2564175.540000000037253,2526905.530000000260770,2164131.879999999888241,9619517.250000000000000
FS( 77 ),2370052.000000000000000,2542090.839999999850988,2570913.800000000279397,2156772.220000000204891,9639828.860000001266599
FS( 78 ),2333816.500000000000000,2521565.060000000055879,2554436.770000000018626,2118970.330000000074506,9528788.660000000149012
FS( 79 ),2327319.099999999627471,2543649.760000000242144,2585096.560000000055879,2131682.470000000204891,9587747.890000000596046
FS( 80 ),2330068.000000000000000,2525462.359999999869615,2564030.990000000223517,2127333.580000000074506,9546894.929999999701977
FS( 81 ),2323820.500000000000000,2530139.119999999646097,2571330.939999999944121,2131682.470000000204891,9556973.029999999329448
FS( 82 ),2311075.600000000093132,2527800.740000000223517,2525654.109999999869615,2135362.299999999813735,9499892.750000000000000
FS( 83 ),2274090.399999999906868,2535595.339999999850988,2427209.070000000298023,2133689.649999999906868,9370584.460000000894070
FS( 84 ),2283336.700000000186265,2493244.679999999701977,2350663.879999999888241,2129675.290000000037253,9256920.550000000745058
FS( 85 ),2325070.000000000000000,2532737.320000000298023,2382366.520000000018626,2133689.649999999906868,9373863.490000000223517
FS( 86 ),2332816.899999999906868,2560018.419999999925494,2419700.550000000279397,2169149.830000000074506,9481685.700000001117587
FS( 87 ),2328318.699999999720603,2566513.919999999925494,2432214.750000000000000,2150081.620000000111759,9477128.989999998360872
FS( 88 ),2347311.100000000093132,2592755.740000000223517,2478517.290000000037253,2173833.250000000000000,9592417.379999998956919
FS( 89 ),2368052.799999999813735,2628610.899999999906868,2495620.030000000260770,2203606.420000000391155,9695890.150000000372529
FS( 90 ),2334566.199999999720603,2647577.760000000242144,2420534.830000000074506,2197250.350000000093132,9599929.140000000596046
FS( 91 ),2373550.600000000093132,2644200.099999999627471,2428460.490000000223517,2219998.390000000130385,9666209.580000000074506
FS( 92 ),2376049.600000000093132,2674858.859999999869615,2421160.540000000037253,2237393.949999999720603,9709462.949999999254942
FS( 93 ),2383296.700000000186265,2669922.280000000260770,2487694.370000000111759,2231037.879999999888241,9771951.230000000447035
FS( 94 ),2398790.500000000000000,2682393.639999999664724,2555271.050000000279397,2239066.600000000093132,9875521.789999999105930
FS( 95 ),2385295.899999999906868,2686031.119999999646097,2586139.409999999683350,2232376.000000000000000,9889842.429999999701977
FS( 96 ),2362305.100000000093132,2671481.199999999720603,2546093.969999999739230,2008240.900000000139698,9588121.169999999925494
FS( 97 ),2427778.899999999906868,2693306.080000000074506,2506465.669999999925494,1984823.800000000046566,9612374.450000001117587
FS( 98 ),2455018.000000000000000,2723445.199999999720603,2502502.839999999850988,1970104.479999999981374,9651070.519999999552965
FS( 99 ),2447521.000000000000000,2714871.139999999664724,2518145.589999999850988,1968766.360000000102445,9649304.089999999850988
FS( 100 ),2438774.500000000000000,2697982.839999999850988,2511679.919999999925494,1965421.060000000055879,9613858.320000000298023
FS( 101 ),2439774.099999999627471,2664206.240000000223517,2463500.250000000000000,1961741.229999999981374,9529221.820000000298023
FS( 102 ),2487255.100000000093132,2880636.300000000279397,2373815.149999999906868,1970439.010000000009313,9712145.560000000521541
FS( 103 ),2506747.299999999813735,2925325.339999999850988,2417823.419999999925494,1950367.209999999962747,9800263.269999999552965
FS( 104 ),2497501.000000000000000,2914672.720000000204891,2430546.189999999944121,1941000.370000000111759,9783720.280000001192093
FS( 105 ),2503748.500000000000000,2900642.439999999944121,2489780.070000000298023,1922935.750000000000000,9817106.759999999776483
FS( 106 ),2510995.600000000093132,2934419.040000000037253,2498331.439999999944121,1928288.229999999981374,9872034.310000000521541
FS( 107 ),2533236.700000000186265,2926104.800000000279397,2496871.449999999720603,1938993.190000000176951,9895206.139999998733401
FS( 108 ),2524740.100000000093132,2916491.459999999962747,2456617.439999999944121,1914907.030000000027940,9812756.029999999329448
FS( 109 ),2553228.699999999720603,2912853.979999999981374,2475597.310000000055879,1927284.640000000130385,9868964.630000000819564
FS( 110 ),2547980.799999999813735,2912074.520000000018626,2454114.600000000093132,1944011.140000000130385,9858181.060000000521541
FS( 111 ),2547481.000000000000000,2920388.760000000242144,2391126.459999999962747,1952708.919999999925494,9811705.140000000596046
FS( 112 ),2557227.100000000093132,2932080.659999999683350,2424289.089999999850988,1960737.640000000130385,9874334.490000000223517
FS( 113 ),2546981.199999999720603,2944032.379999999888241,2394672.149999999906868,1966424.650000000139698,9852110.380000000819564
FS( 114 ),2519992.000000000000000,2934159.220000000204891,2383200.800000000279397,1956723.280000000027940,9794075.300000000745058
FS( 115 ),2535235.899999999906868,2941694.000000000000000,2417197.709999999962747,1963079.350000000093132,9857206.960000000894070
FS( 116 ),2545481.799999999813735,2958062.659999999683350,2389040.760000000242144,1926281.050000000046566,9818866.269999999552965
FS( 117 ),2505747.699999999720603,2912853.979999999981374,2353166.719999999739230,1905205.660000000149012,9676974.059999998658895
FS( 118 ),2496001.599999999627471,2857252.500000000000000,2323758.350000000093132,1887475.570000000065193,9564488.019999999552965
FS( 119 ),2529488.199999999720603,2885572.879999999888241,2374023.719999999739230,1935982.419999999925494,9725067.219999998807907
FS( 120 ),2536485.399999999906868,2882455.040000000037253,2385912.209999999962747,2004561.070000000065193,9809413.719999998807907
FS( 121 ),2565723.699999999720603,2923766.419999999925494,2445563.229999999981374,2038348.600000000093132,9973401.949999999254942
FS( 122 ),2561225.500000000000000,2943772.560000000055879,2307489.889999999664724,2030654.410000000149012,9843142.359999999403954
FS( 123 ),2560975.600000000093132,2959621.580000000074506,2356295.270000000018626,2009579.020000000018626,9886471.469999998807907
FS( 124 ),2568222.699999999720603,2974171.500000000000000,2339401.100000000093132,2015935.090000000083819,9897730.389999998733401
FS( 125 ),2549980.000000000000000,2969234.919999999925494,2360883.810000000055879,2004561.070000000065193,9884659.800000000745058
FS( 126 ),2547980.799999999813735,2972352.760000000242144,2386329.350000000093132,2015266.030000000027940,9921928.939999999478459
FS( 127 ),2558226.700000000186265,2967935.820000000298023,2384869.359999999869615,2003557.479999999981374,9914589.360000001266599
FS( 128 ),2529988.000000000000000,2966117.080000000074506,2350872.449999999720603,1968431.830000000074506,9815409.359999999403954
FS( 129 ),2557976.799999999813735,2973651.859999999869615,2424914.800000000279397,1973449.780000000027940,9929993.240000000223517
FS( 130 ),2550229.899999999906868,2954685.000000000000000,2453697.459999999962747,1952039.860000000102445,9910652.220000000670552
FS( 131 ),2518742.500000000000000,2946110.939999999944121,2398634.979999999981374,1975122.429999999934807,9838610.849999999627471
FS( 132 ),2572720.899999999906868,3019120.359999999869615,2455783.159999999683350,1995863.290000000037253,10043487.710000000894070
FS( 133 ),2581967.199999999720603,3024836.399999999906868,2417614.850000000093132,2023963.810000000055879,10048382.259999999776483
FS( 134 ),2559476.199999999720603,3027694.419999999925494,2416989.139999999664724,1994190.640000000130385,9998350.399999998509884
FS( 135 ),2552728.899999999906868,3028993.520000000018626,2399677.830000000074506,1978133.200000000186265,9959533.449999999254942
FS( 136 ),2564974.000000000000000,3045102.359999999869615,2423871.949999999720603,1992517.990000000223517,10026466.299999998882413
FS( 137 ),2540983.600000000093132,3016002.520000000018626,2419074.839999999850988,1985827.390000000130385,9961888.349999999627471
FS( 138 ),2552728.899999999906868,3020679.280000000260770,2416363.429999999701977,2020283.979999999981374,10010055.589999999850988
FS( 139 ),2602209.099999999627471,3038087.220000000204891,2453071.750000000000000,1995194.229999999981374,10088562.300000000745058
FS( 140 ),2630197.899999999906868,3061730.839999999850988,2478517.290000000037253,2017273.209999999962747,10187719.240000000223517
FS( 141 ),2589964.000000000000000,3052896.959999999962747,2486651.520000000018626,1973115.250000000000000,10102627.730000000447035
