代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,14470873.059999998658895
真實報酬,4470873.059999998658895

夏普值報酬,0.438387306000000
夏普值風險,0.113338573885290
夏普值,3.867944433849076

二次趨勢線,32.118485102386309 x^2 + 10954.996421209280015 x + 10000000.000000000000000
二次加權預期報酬,21682.570445406301587
風險,164966.717541076417547
二次加權趨勢值,0.131436030058653
一次趨勢線,16989.232769037862454 x + 10000000.000000000000000
一次預期報酬,16989.232769037862454
一次風險,279444.106360082922038
一次趨勢值,0.060796532767616
找到最佳解世代,2582
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
HD[9](4),NKE[19](2),TRV[22](1),V[25](3),
FS( 226 ),3823479.139999999664724,2958889.600000000093132,3513930.190000000409782,3725042.500000000465661,14021341.429999999701977
FS( 227 ),3840159.459999999962747,2994262.340000000316650,3527548.300000000279397,3740188.479999999981374,14102158.580000001937151
FS( 228 ),3823479.139999999664724,3040151.300000000279397,3524659.609999999869615,3752661.640000000130385,14140951.689999999478459
FS( 229 ),3792724.800000000279397,3028679.060000000055879,3470599.839999999850988,3698314.300000000279397,13990318.000000000000000
FS( 230 ),3822436.620000000111759,3026767.020000000018626,3483805.280000000260770,3906794.260000000242144,14239803.180000001564622
FS( 231 ),3855275.999999999534339,3086040.260000000242144,3524659.609999999869615,3999452.020000000484288,14465427.890000000596046
FS( 232 ),3923039.800000000279397,3057359.660000000149012,3520532.910000000149012,3984306.040000000037253,14485238.410000000149012
FS( 233 ),3913135.859999999869615,3055447.620000000111759,3549832.479999999981374,4004797.660000000614673,14523213.620000001043081
FS( 234 ),3931379.959999999962747,3054491.600000000093132,3601828.900000000372529,3993215.440000000409782,14580915.900000002235174
FS( 235 ),3954836.660000000149012,3046843.440000000409782,3567989.959999999962747,3978069.460000000428408,14547739.520000001415610
FS( 236 ),3962134.300000000279397,3095600.460000000428408,3569227.969999999739230,3981633.220000000204891,14608595.950000001117587
FS( 237 ),3996537.459999999962747,3090820.359999999869615,3569640.640000000130385,3985196.979999999981374,14642195.440000001341105
FS( 238 ),4030419.359999999869615,3151049.620000000111759,3627414.440000000409782,4016379.880000000353903,14825263.300000002607703
FS( 239 ),4059609.919999999925494,3147225.540000000502914,3622462.400000000372529,4048453.720000000204891,14877751.580000001937151
FS( 240 ),4000707.540000000037253,3080304.140000000130385,3584909.430000000167638,4004797.660000000614673,14670718.769999999552965
FS( 241 ),4006441.399999999906868,3122369.020000000018626,3569640.640000000130385,4110819.520000000484288,14809270.580000001937151
FS( 242 ),4001228.800000000279397,3123325.040000000502914,3530436.990000000223517,4044889.960000000428408,14699880.790000002831221
FS( 243 ),4102874.499999999534339,3118544.939999999944121,3451204.350000000093132,4043999.020000000484288,14716622.809999998658895
FS( 244 ),4153957.979999999981374,3081260.159999999683350,3456981.729999999981374,4012816.120000000111759,14705015.989999998360872
FS( 245 ),4113299.699999999720603,3027723.040000000502914,3445839.640000000130385,3967378.180000000633299,14554240.560000002384186
FS( 246 ),4117469.779999999795109,3001910.500000000000000,3449966.339999999850988,4019052.700000000186265,14588399.320000000298023
FS( 247 ),4160734.359999999869615,3024854.980000000447035,3434284.879999999888241,4010143.300000000279397,14630017.519999999552965
FS( 248 ),4143532.779999999795109,3008602.640000000130385,3452855.030000000260770,3968269.120000000111759,14573259.570000000298023
FS( 249 ),4140926.479999999981374,2983746.120000000111759,3489582.660000000149012,4032416.800000000279397,14646672.060000000521541
FS( 250 ),4100268.199999999720603,2947417.359999999869615,3454918.379999999888241,3968269.120000000111759,14470873.059999998658895
