代數,10000
粒子數,10
旋轉角度上界,0.00125
旋轉角度下界,0.00045
實驗次數,50

初始資金,10000000.000000000000
最後資金,12169481.426449999000
真實報酬,2169481.426449999200

夏普值報酬,0.000000000000
夏普值風險,0.000000000000
夏普值,0.000000000000

預期報酬,18364.128950718245
風險,123294.251735295630
起點值,0.148945540382
找到最佳解世代,1813
找到最佳解實驗#,1
找到最佳解次數,38

投資組合檔數,7
2227(11)[27],2324(17)[17],2474(26)[16],3045(42)[6],4904(45)[9],4938(46)[1],9999(50)[34],
Stock#,2227(11)[27],2324(17)[17],2474(26)[16],3045(42)[6],4904(45)[9],4938(46)[1],9999(50)[34],
張數,6,78,5,16,25,30,-1,
FS( 45 ),1617751.000000000000,1457431.000000000000,1376021.000000000000,1506651.000000000000,1525571.000000000000,1892371.000000000000,1428571.000000000000,10804370.000000000000
FS( 46 ),1580851.000000000200,1412190.999999999800,1346371.000000000200,1472411.000000000000,1499821.000000000000,1846470.999999999800,1428571.000000000000,10586690.000000000000
FS( 47 ),1573951.000000000000,1415311.000000000200,1362321.000000000000,1458651.000000000000,1514821.000000000000,1826071.000000000000,1428571.000000000000,10579700.000000000000
FS( 48 ),1578571.000000000000,1466791.000000000200,1394321.000000000200,1513531.000000000000,1566571.000000000000,1928070.999999999800,1428571.000000000000,10876430.000000000000
FS( 49 ),1560091.000000000200,1473031.000000000000,1401170.999999999800,1527291.000000000000,1579571.000000000000,1953571.000000000000,1428571.000000000000,10923300.000000000000
FS( 50 ),1523191.000000000000,1492531.000000000000,1392021.000000000000,1561531.000000000000,1654821.000000000200,1915470.999999999800,1428571.000000000000,10968140.000000000000
FS( 51 ),1486231.000000000000,1480051.000000000000,1403471.000000000000,1595931.000000000000,1650571.000000000000,1943370.999999999800,1428571.000000000000,10988200.000000000000
FS( 52 ),1481610.999999999800,1544011.000000000000,1392021.000000000000,1561531.000000000000,1639821.000000000000,1905270.999999999800,1428571.000000000000,10952840.000000000000
FS( 53 ),1483951.000000000000,1515150.999999999800,1421721.000000000000,1527291.000000000000,1620321.000000000000,1925670.999999999800,1428571.000000000000,10922680.000000000000
FS( 54 ),1437811.000000000000,1473031.000000000000,1412571.000000000000,1561531.000000000000,1635570.999999999800,1946071.000000000000,1428571.000000000000,10895160.000000000000
FS( 55 ),1440091.000000000200,1473031.000000000000,1419421.000000000000,1561531.000000000000,1631320.999999999800,1973970.999999999500,1428571.000000000000,10927940.000000000000
FS( 56 ),1463191.000000000000,1498771.000000000200,1455971.000000000000,1534171.000000000000,1622571.000000000000,2073270.999999999800,1428571.000000000000,11076520.000000000000
FS( 57 ),1460851.000000000200,1489411.000000000000,1483421.000000000000,1561531.000000000000,1663571.000000000000,2032470.999999999500,1428571.000000000000,11119830.000000000000
FS( 58 ),1449331.000000000000,1515150.999999999800,1483421.000000000000,1561531.000000000000,1663571.000000000000,2024970.999999999500,1428571.000000000000,11126550.000000000000
FS( 59 ),1453951.000000000000,1498771.000000000200,1524521.000000000000,1561531.000000000000,1665571.000000000000,2022270.999999999500,1428571.000000000000,11155190.000000000000
FS( 60 ),1458571.000000000000,1512031.000000000000,1510821.000000000000,1561531.000000000000,1665571.000000000000,2037570.999999999800,1428571.000000000000,11174670.000000000000
FS( 61 ),1444711.000000000000,1547131.000000000000,1508521.000000000000,1561531.000000000000,1663571.000000000000,2037570.999999999800,1428571.000000000000,11191610.000000000000
FS( 62 ),1470091.000000000200,1534650.999999999800,1533671.000000000000,1568411.000000000000,1661321.000000000000,2149771.000000000000,1428571.000000000000,11346490.000000000000
FS( 63 ),1446991.000000000000,1518271.000000000200,1501671.000000000000,1554651.000000000000,1667821.000000000000,2126971.000000000000,1428571.000000000000,11244950.000000000000
FS( 64 ),1463191.000000000000,1492531.000000000000,1508521.000000000000,1506651.000000000000,1667821.000000000000,2175271.000000000000,1428571.000000000000,11242560.000000000000
FS( 65 ),1442430.999999999800,1476931.000000000000,1508521.000000000000,1534171.000000000000,1644071.000000000000,2172871.000000000000,1428571.000000000000,11207570.000000000000
FS( 66 ),1442430.999999999800,1483170.999999999800,1551921.000000000000,1513531.000000000000,1642071.000000000000,2154871.000000000000,1428571.000000000000,11216570.000000000000
FS( 67 ),1453951.000000000000,1483170.999999999800,1558771.000000000000,1520411.000000000000,1663571.000000000000,2152471.000000000000,1428571.000000000000,11260920.000000000000
FS( 68 ),1446991.000000000000,1483170.999999999800,1538220.999999999800,1541051.000000000000,1665571.000000000000,2121871.000000000000,1428571.000000000000,11225450.000000000000
FS( 69 ),1449331.000000000000,1473031.000000000000,1510821.000000000000,1547931.000000000000,1661321.000000000000,2045371.000000000000,1428571.000000000000,11116380.000000000000
FS( 70 ),1437811.000000000000,1469911.000000000000,1517670.999999999800,1547931.000000000000,1642071.000000000000,2103871.000000000000,1428571.000000000000,11147840.000000000000
FS( 71 ),1440091.000000000200,1466791.000000000200,1533671.000000000000,1547931.000000000000,1629071.000000000000,2068170.999999999300,1428571.000000000000,11114300.000000000000
FS( 72 ),1444711.000000000000,1457431.000000000000,1533671.000000000000,1554651.000000000000,1663571.000000000000,2083470.999999999500,1428571.000000000000,11166080.000000000000
FS( 73 ),1435471.000000000000,1463670.999999999800,1551921.000000000000,1547931.000000000000,1642071.000000000000,2162671.000000000000,1428571.000000000000,11232310.000000000000
FS( 74 ),1437811.000000000000,1512031.000000000000,1572471.000000000000,1554651.000000000000,1680821.000000000000,2170171.000000000000,1428571.000000000000,11356530.000000000000
FS( 75 ),1435471.000000000000,1515150.999999999800,1577071.000000000200,1575291.000000000000,1721571.000000000200,2223571.000000000000,1428571.000000000000,11476700.000000000000
FS( 76 ),1435471.000000000000,1544011.000000000000,1567920.999999999800,1595931.000000000000,1695821.000000000200,2233771.000000000000,1428571.000000000000,11501500.000000000000
FS( 77 ),1416991.000000000000,1572871.000000000200,1547371.000000000200,1554651.000000000000,1676571.000000000000,2205871.000000000000,1428571.000000000000,11402900.000000000000
FS( 78 ),1407811.000000000000,1682071.000000000000,1556471.000000000000,1589051.000000000000,1650571.000000000000,2198371.000000000000,1428571.000000000000,11512920.000000000000
