代數,10000
粒子數,10
旋轉角度上界,0.00125
旋轉角度下界,0.00045
實驗次數,50

初始資金,10000000.000000000000
最後資金,11692860.000000000000
真實報酬,1692860.000000000000

夏普值報酬,0.000000000000
夏普值風險,0.000000000000
夏普值,0.000000000000

預期報酬,15829.541930737509
風險,104788.504436271930
起點值,0.151061817476
找到最佳解世代,1629
找到最佳解實驗#,1
找到最佳解次數,37

投資組合檔數,10
1216(2)[20],1301(3)[18],2408(23)[3],2454(26)[2],2881(31)[10],2884(34)[4],2890(38)[6],2891(39)[19],2912(41)[42],5880(47)[1],
Stock#,1216(2)[20],1301(3)[18],2408(23)[3],2454(26)[2],2881(31)[10],2884(34)[4],2890(38)[6],2891(39)[19],2912(41)[42],5880(47)[1],
張數,17,11,19,4,22,59,116,54,3,68,
FS( 72 ),1119510.000000000000,1119020.000000000000,1232560.000000000000,1210680.000000000000,1074800.000000000200,1080830.000000000000,1053360.000000000000,1050220.000000000000,950260.000000000000,1085000.000000000000,10976240.000000000000
FS( 73 ),1131410.000000000000,1132220.000000000000,1274360.000000000000,1218680.000000000000,1079200.000000000000,1086730.000000000000,1052200.000000000500,1066420.000000000000,954760.000000000000,1091800.000000000000,11087780.000000000000
FS( 74 ),1129709.999999999800,1120120.000000000000,1268660.000000000000,1236680.000000000000,1072600.000000000000,1077880.000000000000,1054520.000000000500,1063720.000000000000,971260.000000000000,1088400.000000000000,11083550.000000000000
FS( 75 ),1121209.999999999800,1119020.000000000000,1340860.000000000000,1222680.000000000000,1075900.000000000000,1080830.000000000000,1054520.000000000500,1071820.000000000000,966760.000000000000,1091800.000000000000,11145400.000000000000
FS( 76 ),1128010.000000000000,1110220.000000000000,1308560.000000000000,1220680.000000000000,1067100.000000000000,1080830.000000000000,1053360.000000000000,1066420.000000000000,957760.000000000000,1085000.000000000000,11077940.000000000000
FS( 77 ),1136510.000000000000,1105819.999999999800,1354160.000000000000,1268680.000000000000,1067100.000000000000,1077880.000000000000,1053360.000000000000,1063720.000000000000,954760.000000000000,1095200.000000000000,11177190.000000000000
FS( 78 ),1138209.999999999800,1114620.000000000000,1483360.000000000000,1288680.000000000000,1060500.000000000000,1083780.000000000000,1052200.000000000500,1071820.000000000000,962260.000000000000,1095200.000000000000,11350630.000000000000
FS( 79 ),1150110.000000000000,1121220.000000000000,1565060.000000000000,1290680.000000000000,1067100.000000000000,1086730.000000000000,1061480.000000000500,1069120.000000000000,968260.000000000000,1095200.000000000000,11474960.000000000000
FS( 80 ),1129709.999999999800,1108020.000000000000,1509960.000000000000,1292680.000000000000,1063800.000000000200,1083780.000000000000,1062640.000000000000,1063720.000000000000,957760.000000000000,1085000.000000000000,11357070.000000000000
FS( 81 ),1128010.000000000000,1100319.999999999800,1578360.000000000000,1280680.000000000000,1056100.000000000000,1083780.000000000000,1059160.000000000000,1052920.000000000000,959260.000000000000,1074800.000000000000,11373390.000000000000
FS( 82 ),1119510.000000000000,1097020.000000000000,1675259.999999999500,1294680.000000000000,1060500.000000000000,1080830.000000000000,1055680.000000000000,1055620.000000000000,957760.000000000000,1078200.000000000000,11475060.000000000000
FS( 83 ),1105910.000000000000,1088220.000000000000,1644860.000000000000,1264680.000000000000,1059400.000000000000,1080830.000000000000,1059160.000000000000,1050220.000000000000,960760.000000000000,1071400.000000000000,11385440.000000000000
FS( 84 ),1094010.000000000000,1080520.000000000000,1644860.000000000000,1262680.000000000000,1055000.000000000000,1071980.000000000000,1059160.000000000000,1039420.000000000100,954760.000000000000,1071400.000000000000,11333790.000000000000
FS( 85 ),1090610.000000000000,1086020.000000000000,1578360.000000000000,1248680.000000000000,1062700.000000000000,1074930.000000000000,1058000.000000000000,1042120.000000000100,962260.000000000000,1078200.000000000000,11281880.000000000000
