代數,10000
粒子數,10
旋轉角度上界,0.00125
旋轉角度下界,0.00045
實驗次數,50

初始資金,10000000.000000000000
最後資金,13151870.000000002000
真實報酬,3151870.000000001900

夏普值報酬,0.000000000000
夏普值風險,0.000000000000
夏普值,0.000000000000

預期報酬,24154.464729487987
風險,134719.119267629460
起點值,0.179295001784
找到最佳解世代,1538
找到最佳解實驗#,3
找到最佳解次數,13

投資組合檔數,8
1301(3)[1],1303(4)[5],1722(7)[10],2308(12)[6],2347(18)[2],2412(24)[9],2498(27)[7],2883(32)[31],
Stock#,1301(3)[1],1303(4)[5],1722(7)[10],2308(12)[6],2347(18)[2],2412(24)[9],2498(27)[7],2883(32)[31],
張數,25,29,18,14,28,22,2,187,
FS( 105 ),1770000.000000000200,1566970.000000000000,1539260.000000000200,1530140.000000000200,1479599.999999999800,1448440.000000000000,1718980.000000000000,1537979.999999999800,12591370.000000000000
FS( 106 ),1777250.000000000000,1564940.000000000500,1525580.000000000200,1540920.000000000000,1477920.000000000000,1444700.000000000000,1707700.000000000000,1586600.000000000200,12625610.000000000000
FS( 107 ),1775500.000000000200,1562620.000000000200,1505240.000000000200,1557160.000000000000,1492760.000000000200,1437220.000000000000,1686760.000000000000,1689450.000000000000,12706710.000000000000
FS( 108 ),1784750.000000000000,1560590.000000000200,1525580.000000000200,1567939.999999999800,1479599.999999999800,1431500.000000000000,1715760.000000000000,1696930.000000000200,12762650.000000000000
FS( 109 ),1792000.000000000000,1582340.000000000200,1518740.000000000200,1562479.999999999800,1492760.000000000200,1431500.000000000000,1718980.000000000000,1786690.000000000000,12885490.000000000000
FS( 110 ),1782750.000000000000,1580020.000000000200,1614140.000000000000,1530140.000000000200,1466720.000000000000,1422260.000000000000,1752840.000000000000,1904500.000000000000,13053370.000000000000
FS( 111 ),1777250.000000000000,1575670.000000000200,1614140.000000000000,1487020.000000000000,1470359.999999999800,1416540.000000000000,1749600.000000000000,1842790.000000000000,12933370.000000000000
FS( 112 ),1758999.999999999800,1556240.000000000200,1586960.000000000200,1476240.000000000000,1479599.999999999800,1411040.000000000000,1712540.000000000000,1773600.000000000200,12755220.000000000000
FS( 113 ),1748250.000000000000,1564940.000000000500,1600640.000000000000,1508580.000000000000,1451599.999999999800,1412800.000000000000,1730280.000000000000,1786690.000000000000,12803780.000000000000
FS( 114 ),1688000.000000000200,1551890.000000000200,1552940.000000000200,1540920.000000000000,1477920.000000000000,1412800.000000000000,1702880.000000000000,1704410.000000000000,12631760.000000000000
FS( 115 ),1684250.000000000000,1556240.000000000200,1546100.000000000200,1514040.000000000000,1496400.000000000000,1412800.000000000000,1702880.000000000000,1814739.999999999800,12727450.000000000000
FS( 116 ),1695250.000000000000,1577990.000000000200,1546100.000000000200,1524820.000000000000,1481560.000000000000,1412800.000000000000,1709320.000000000000,1807260.000000000000,12755100.000000000000
FS( 117 ),1702500.000000000000,1580020.000000000200,1586960.000000000200,1503260.000000000000,1475960.000000000000,1412800.000000000000,1681920.000000000000,1891410.000000000000,12834830.000000000000
FS( 118 ),1722500.000000000000,1580020.000000000200,1593800.000000000200,1503260.000000000000,1479599.999999999800,1412800.000000000000,1662580.000000000000,1850269.999999999800,12804830.000000000000
FS( 119 ),1728000.000000000000,1586400.000000000200,1593800.000000000200,1524820.000000000000,1477920.000000000000,1412800.000000000000,1635180.000000000000,1850269.999999999800,12809190.000000000000
FS( 120 ),1731750.000000000200,1595100.000000000200,1559600.000000000200,1514040.000000000000,1468400.000000000000,1412800.000000000000,1681920.000000000000,1794170.000000000200,12757780.000000000000
FS( 121 ),1755499.999999999800,1627870.000000000200,1546100.000000000200,1535600.000000000200,1464760.000000000200,1412800.000000000000,1678700.000000000000,1786690.000000000000,12808020.000000000000
FS( 122 ),1777250.000000000000,1697180.000000000200,1559600.000000000200,1551699.999999999800,1474000.000000000000,1412800.000000000000,1702880.000000000000,1807260.000000000000,12982670.000000000000
FS( 123 ),1758999.999999999800,1697180.000000000200,1532420.000000000200,1514040.000000000000,1444320.000000000000,1412800.000000000000,1709320.000000000000,1807260.000000000000,12876340.000000000000
FS( 124 ),1781000.000000000000,1684130.000000000500,1552940.000000000200,1503260.000000000000,1446000.000000000000,1412800.000000000000,1699640.000000000000,1794170.000000000200,12873940.000000000000
FS( 125 ),1766500.000000000200,1697180.000000000200,1552940.000000000200,1476240.000000000000,1466720.000000000000,1412800.000000000000,1710940.000000000000,1786690.000000000000,12870010.000000000000
FS( 126 ),1761000.000000000200,1712550.000000000200,1566440.000000000200,1481699.999999999800,1466720.000000000000,1417860.000000000200,1762500.000000000000,1855880.000000000000,13024650.000000002000
FS( 127 ),1770000.000000000200,1716900.000000000200,1546100.000000000200,1487020.000000000000,1474000.000000000000,1410160.000000000000,1799580.000000000000,1835309.999999999800,13039070.000000000000
FS( 128 ),1784750.000000000000,1718930.000000000200,1539260.000000000200,1514040.000000000000,1475960.000000000000,1410160.000000000000,1839860.000000000000,1827830.000000000000,13110790.000000000000
FS( 129 ),1824750.000000000000,1751700.000000000500,1525580.000000000200,1476240.000000000000,1453560.000000000000,1417860.000000000200,1846300.000000000000,1855880.000000000000,13151870.000000002000
