代數,10000
粒子數,10
旋轉角度上界,0.00125
旋轉角度下界,0.00045
實驗次數,50

初始資金,10000000.000000000000
最後資金,12086699.999450000000
真實報酬,2086699.999450000000

夏普值報酬,0.000000000000
夏普值風險,0.000000000000
夏普值,0.000000000000

預期報酬,18206.861467484527
風險,108649.283793481940
起點值,0.167574611003
找到最佳解世代,2394
找到最佳解實驗#,5
找到最佳解次數,7

投資組合檔數,9
1326(5)[28],2207(12)[10],2301(13)[8],2308(15)[14],2357(24)[19],2881(33)[2],2912(41)[4],3673(47)[5],9999(50)[35],
Stock#,1326(5)[28],2207(12)[10],2301(13)[8],2308(15)[14],2357(24)[19],2881(33)[2],2912(41)[4],3673(47)[5],9999(50)[35],
張數,19,6,37,12,4,41,8,2,-1,
FS( 59 ),1200411.000000000000,1175911.000000000000,1295371.000000000200,1166551.000000000000,1279631.000000000000,1355060.999999999800,1201511.000000000000,1374051.000000000000,1111111.000000000000,11159610.000000000000
FS( 60 ),1216181.000000000000,1209570.999999999800,1330151.000000000000,1186830.999999999800,1253711.000000000000,1356701.000000000000,1198071.000000000000,1374051.000000000000,1111111.000000000000,11236380.000000000000
FS( 61 ),1219221.000000000000,1201830.999999999800,1310541.000000000000,1166551.000000000000,1220591.000000000000,1376790.999999999800,1194551.000000000000,1359131.000000000000,1111111.000000000000,11160320.000000000000
FS( 62 ),1228721.000000000000,1212151.000000000000,1316091.000000000000,1166551.000000000000,1214831.000000000000,1443621.000000000000,1215431.000000000000,1394571.000000000000,1111111.000000000000,11303080.000000000000
FS( 63 ),1231761.000000000000,1258830.999999999800,1296851.000000000000,1166551.000000000000,1201831.000000000000,1476831.000000000000,1215431.000000000000,1390831.000000000000,1111111.000000000000,11350030.000000000000
FS( 64 ),1227011.000000000000,1256251.000000000000,1288341.000000000000,1161510.999999999800,1207591.000000000000,1413691.000000000000,1225911.000000000000,1361011.000000000000,1111111.000000000000,11252430.000000000000
FS( 65 ),1203641.000000000000,1256251.000000000000,1282791.000000000000,1237230.999999999800,1187431.000000000000,1421891.000000000000,1215431.000000000000,1357271.000000000000,1111111.000000000000,11273050.000000000000
FS( 66 ),1191101.000000000000,1214791.000000000000,1299441.000000000000,1287630.999999999500,1196071.000000000000,1438701.000000000000,1198071.000000000000,1349811.000000000000,1111111.000000000000,11286730.000000000000
FS( 67 ),1201931.000000000000,1297651.000000000000,1303881.000000000000,1252350.999999999800,1193191.000000000000,1438701.000000000000,1170231.000000000000,1379651.000000000000,1111111.000000000000,11348700.000000000000
FS( 68 ),1178561.000000000000,1263991.000000000200,1307950.999999999800,1237230.999999999800,1181671.000000000000,1390320.999999999800,1152791.000000000000,1342351.000000000000,1111111.000000000000,11165980.000000000000
