代數,10000
粒子數,10
旋轉角度上界,0.0004
旋轉角度下界,0.0004
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000
最後資金,14331331.976250000000
真實報酬,4331331.976250000300

夏普值報酬,0.424433197625
夏普值風險,0.098580460479
夏普值,4.305449533943

預期報酬,33344.898354072924
風險,168375.049322275910
起點值,0.198039427387
找到最佳解世代,2946
找到最佳解實驗#,3
找到最佳解次數,37

投資組合檔數,8
1216(2),1301(3),1326(5),1722(7),2412(24),2498(27),2892(38),3045(40),
Stock#,1216(2),1301(3),1326(5),1722(7),2412(24),2498(27),2892(38),3045(40),
張數,63,27,24,19,24,3,139,27,
FS( 60 ),1556353.060999999800,1509177.164750000000,1370072.551999999900,1448174.203750000300,1416504.002000000100,2057535.182000000000,1480728.115499999600,1301586.854749999900,12140131.135749999000
FS( 61 ),1561997.971249999900,1516972.517000000000,1370072.551999999900,1462550.306750000000,1424627.894000000100,2028653.551249999800,1484879.663250000000,1303737.296750000000,12153491.752249999000
FS( 62 ),1599003.493999999900,1534713.663500000000,1380346.885999999900,1455362.255250000200,1438725.236000000000,2023844.923999999600,1531930.537749999900,1307769.375500000100,12271696.371999998000
FS( 63 ),1599003.493999999900,1536595.300250000100,1371745.117999999600,1459712.918000000100,1438725.236000000000,2011808.422250000100,1513940.497499999800,1307769.375500000100,12239300.361500002000
FS( 64 ),1597121.857249999900,1522886.232500000200,1375329.188000000300,1471251.632250000300,1438725.236000000000,2011808.422250000100,1520859.743749999900,1313951.896250000000,12251934.208250001000
FS( 65 ),1587713.673499999800,1521004.595750000100,1361231.845999999700,1438148.763500000100,1438725.236000000000,1992544.046000000300,1502869.703499999600,1322016.053750000000,12164253.917999998000
FS( 66 ),1587713.673499999800,1526649.506000000100,1370072.551999999900,1459712.918000000100,1438725.236000000000,1987735.418750000000,1516708.196000000000,1315833.533000000100,12203151.033249998000
FS( 67 ),1583950.400000000100,1540627.379000000000,1378674.320000000100,1558454.046500000200,1432751.786000000100,1966081.662500000100,1549920.577999999500,1313951.896250000000,12324412.068250000000
FS( 68 ),1546944.877249999900,1538476.936999999900,1370072.551999999900,1615769.299249999900,1434663.290000000000,1966081.662500000100,1531930.537749999900,1311801.454250000200,12315740.610000001000
FS( 69 ),1589595.310249999900,1536595.300250000100,1370072.551999999900,1601393.196250000000,1436813.732000000100,2016617.049500000000,1538849.783999999800,1313951.896250000000,12403888.820499999000
FS( 70 ),1603393.979749999900,1540627.379000000000,1389187.591999999900,1572830.149500000100,1446849.128000000000,2035881.425749999900,1527778.989999999500,1320134.416999999900,12436683.061000001000
FS( 71 ),1599003.493999999900,1536595.300250000100,1385603.522000000100,1572830.149500000100,1475521.687999999800,1999771.920500000000,1498718.155749999900,1334381.095250000000,12402425.325250000000
FS( 72 ),1568270.093750000200,1511058.801500000100,1375329.188000000300,1572830.149500000100,1459273.903999999900,2006999.794999999700,1477960.416999999700,1328198.574500000100,12299920.923249999000
FS( 73 ),1570151.730499999600,1501381.812499999800,1361231.845999999700,1515514.896749999800,1448999.570000000100,1968471.042500000000,1469657.321499999600,1328198.574500000100,12163606.794250000000
FS( 74 ),1582068.763249999800,1540627.379000000000,1370072.551999999900,1508326.845250000000,1444937.624000000100,1896281.899250000200,1491798.909499999600,1340563.616000000200,12174677.588250000000
FS( 75 ),1622837.559499999700,1624763.422249999800,1432674.308000000000,1544267.102750000100,1448999.570000000100,1932391.404500000200,1509788.949749999900,1354810.294250000000,12470532.611000001000
FS( 76 ),1597121.857249999900,1624763.422249999800,1460630.054000000000,1544267.102750000100,1459273.903999999900,1898671.279249999700,1516708.196000000000,1366906.530499999900,12468342.346000001000
FS( 77 ),1601512.342999999600,1585517.855749999900,1465886.689999999900,1515514.896749999800,1467397.796000000100,1787983.250749999900,1480728.115499999600,1358842.373000000100,12263383.320749998000
FS( 78 ),1593358.583749999800,1575840.866750000000,1457284.922000000000,1544267.102750000100,1463335.850000000100,1824062.888749999700,1466889.622999999700,1356691.930999999900,12281731.767999999000
FS( 79 ),1564506.820249999900,1615086.433250000000,1464214.123999999800,1522702.948250000100,1463335.850000000100,1901090.526500000200,1458586.527499999600,1350778.215499999900,12340301.445250001000
FS( 80 ),1558234.697750000100,1648418.284249999800,1476399.962000000100,1529890.999750000000,1463335.850000000100,1951625.913499999800,1451667.281250000000,1356691.930999999900,12436264.919499999000
FS( 81 ),1546944.877249999900,1673954.782999999800,1483329.163999999900,1594394.304000000000,1463335.850000000100,1915516.408249999900,1458586.527499999600,1358842.373000000100,12494904.286999999000
FS( 82 ),1561997.971249999900,1720995.701749999800,1549514.990000000000,1601393.196250000000,1479583.634000000100,1901090.526500000200,1484879.663250000000,1369056.972499999900,12668512.655499998000
FS( 83 ),1552589.787500000100,1781745.688249999900,1593240.643999999600,1601393.196250000000,1473371.246000000000,1913127.028250000200,1491798.909499999600,1379271.571999999900,12786538.071750000000
FS( 84 ),1521229.175000000300,1809432.629000000000,1591568.078000000000,1587206.252499999900,1465247.354000000100,1913127.028250000200,1462738.075250000000,1389486.171500000200,12740034.763500001000
FS( 85 ),1542554.391499999900,1787659.403750000100,1621196.389999999700,1587206.252499999900,1473371.246000000000,1990154.666000000000,1480728.115499999600,1405883.291750000100,12888753.756999999000
