代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12784649.439999999478459
真實報酬,2784649.439999999478459

夏普值報酬,0.269764944000000
夏普值風險,0.095169974611524
夏普值,2.834559377588975

二次趨勢線,74.893648275197478 x^2 + -6324.228969180849163 x + 10000000.000000000000000
二次平均預期報酬,12623.864044444109823
風險,201084.685390992963221
二次平均趨勢值,0.062778843748832
一次趨勢線,7858.700058839422127 x + 10000000.000000000000000
一次預期報酬,7858.700058839422127
一次風險,570956.764688323950395
一次趨勢值,0.013764089585889
找到最佳解世代,1329
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
AAPL[0](5),HD[9](1),NKE[19](4),PG[21](6),UNH[23](3),
FS( 193 ),2499366.299999999813735,2254812.799999999813735,2251530.080000000074506,2065059.839999999618158,2258008.399999999906868,11328777.419999999925494
FS( 194 ),2551251.799999999813735,2294314.879999999888241,2270957.200000000186265,2090388.479999999981374,2323181.000000000000000,11530093.359999999403954
FS( 195 ),2556820.000000000000000,2269443.200000000186265,2230058.000000000000000,2077475.839999999618158,2278123.399999999906868,11411920.439999999478459
FS( 196 ),2549480.100000000558794,2256763.519999999552965,2229035.520000000018626,2103052.799999999813735,2290192.399999999906868,11428524.340000001713634
FS( 197 ),2526194.900000000372529,2209214.719999999739230,2183023.920000000391155,2070274.559999999823049,2251571.600000000093132,11240279.700000001117587
FS( 198 ),2499366.299999999813735,2197022.719999999739230,2175355.319999999832362,2074744.319999999599531,2221265.000000000000000,11167753.660000000149012
FS( 199 ),2468741.200000000186265,2142158.719999999739230,2177400.280000000260770,2059845.119999999878928,2203563.799999999813735,11051709.120000001043081
FS( 200 ),2436344.400000000372529,2167274.240000000223517,2224945.600000000093132,2042214.399999999674037,2290192.399999999906868,11160971.040000000968575
FS( 201 ),2472031.500000000000000,2200436.479999999515712,2228524.280000000260770,2067791.359999999636784,2365020.200000000186265,11333803.820000000298023
FS( 202 ),2524929.400000000372529,2239694.719999999739230,2272490.920000000391155,2090388.479999999981374,2374675.400000000372529,11502178.920000001788139
FS( 203 ),2593519.500000000000000,2296997.120000000111759,2316968.800000000279397,2101066.239999999757856,2439311.600000000093132,11747863.259999999776483
FS( 204 ),2606680.700000000186265,2276026.879999999888241,2297030.439999999944121,2091630.079999999841675,2407664.000000000000000,11679032.099999999627471
FS( 205 ),2653251.099999999627471,2311627.519999999552965,2310322.680000000167638,2066798.079999999841675,2431533.799999999813735,11773533.179999999701977
FS( 206 ),2663122.000000000000000,2316260.479999999515712,2323614.920000000391155,2114723.839999999850988,2457817.399999999906868,11875538.640000000596046
FS( 207 ),2660337.900000000372529,2327964.799999999813735,2342530.800000000279397,2134341.119999999646097,2470959.200000000186265,11936133.820000000298023
FS( 208 ),2701593.200000000186265,2355274.879999999888241,2363491.640000000130385,2147253.759999999776483,2484637.399999999906868,12052250.880000000819564
FS( 209 ),2716779.200000000186265,2351129.600000000558794,2350710.640000000130385,2148992.000000000000000,2493219.799999999813735,12060831.240000002086163
FS( 210 ),2707667.600000000558794,2377952.000000000000000,2377295.120000000111759,2158924.799999999813735,2517894.200000000186265,12139733.719999998807907
FS( 211 ),2733483.799999999813735,2377952.000000000000000,2376783.880000000353903,2167119.359999999869615,2548200.800000000279397,12203539.839999999850988
FS( 212 ),2768917.799999999813735,2343082.879999999888241,2389053.640000000130385,2169850.879999999422580,2544177.800000000279397,12215083.000000000000000
FS( 213 ),2748669.799999999813735,2339912.959999999962747,2401834.640000000130385,2201139.199999999720603,2547396.200000000186265,12238952.800000000745058
FS( 214 ),2755250.400000000372529,2335523.839999999850988,2420239.280000000260770,2210078.719999999739230,2569388.600000000093132,12290480.839999999850988
FS( 215 ),2751200.799999999813735,2372343.680000000633299,2418194.319999999832362,2207595.520000000018626,2580384.799999999813735,12329719.120000001043081
FS( 216 ),2759046.900000000372529,2381121.919999999925494,2397233.479999999981374,2213306.879999999422580,2510652.800000000279397,12261361.980000000447035
FS( 217 ),2754491.099999999627471,2393557.759999999776483,2427396.640000000130385,2221253.119999999646097,2541227.600000000093132,12337926.219999998807907
FS( 218 ),2776510.799999999813735,2393070.080000000074506,2425351.680000000167638,2226716.159999999683350,2566438.399999999906868,12388087.120000001043081
FS( 219 ),2815741.299999999813735,2401604.479999999515712,2449379.959999999962747,2221998.079999999608845,2566170.200000000186265,12454894.019999999552965
FS( 220 ),2855478.000000000000000,2414040.320000000298023,2457048.560000000055879,2200145.919999999459833,2572070.600000000093132,12498783.400000000372529
FS( 221 ),2889899.600000000558794,2395508.479999999515712,2441200.120000000111759,2187978.239999999757856,2550882.800000000279397,12465469.240000000223517
FS( 222 ),2885090.700000000186265,2390387.839999999850988,2455514.840000000316650,2181273.599999999627471,2587358.000000000000000,12499624.980000000447035
FS( 223 ),2922549.500000000000000,2340400.640000000596046,2466250.880000000353903,2184005.119999999646097,2633488.399999999906868,12546694.540000000968575
FS( 224 ),2902301.500000000000000,2357957.120000000111759,2478520.640000000130385,2203374.079999999608845,2597817.800000000279397,12539971.140000000596046
FS( 225 ),2943809.900000000372529,2379171.200000000186265,2487211.720000000204891,2196917.759999999776483,2597549.600000000093132,12604660.179999999701977
FS( 226 ),2947859.500000000000000,2396483.839999999850988,2490279.160000000149012,2200145.919999999459833,2593794.799999999813735,12628563.219999998807907
FS( 227 ),3002529.099999999627471,2399409.919999999925494,2504082.640000000130385,2187978.239999999757856,2598890.600000000093132,12692890.500000000000000
FS( 228 ),2976459.799999999813735,2365516.160000000149012,2487211.720000000204891,2205112.319999999832362,2625710.600000000093132,12660010.599999999627471
FS( 229 ),3011893.799999999813735,2382341.120000000111759,2499992.720000000204891,2207098.879999999422580,2631342.800000000279397,12732669.320000000298023
FS( 230 ),3010122.100000000558794,2423793.919999999925494,2538335.720000000204891,2245588.479999999981374,2645289.200000000186265,12863129.420000001788139
FS( 231 ),2912425.500000000000000,2411114.240000000223517,2497436.520000000018626,2236897.279999999795109,2656821.800000000279397,12714695.339999999850988
FS( 232 ),2901289.099999999627471,2393557.759999999776483,2506127.600000000093132,2261480.959999999497086,2677473.200000000186265,12739928.619999997317791
FS( 233 ),2934192.100000000558794,2404042.879999999888241,2517886.120000000111759,2234910.719999999739230,2703488.600000000093132,12794520.419999999925494
FS( 234 ),2923055.700000000186265,2412821.120000000111759,2532200.840000000316650,2249313.279999999795109,2673182.000000000000000,12790572.939999999478459
FS( 235 ),2910653.799999999813735,2429646.080000000074506,2539358.200000000186265,2244346.879999999422580,2690883.200000000186265,12814888.160000000149012
FS( 236 ),2844847.799999999813735,2448909.440000000409782,2497947.760000000242144,2253783.040000000037253,2679887.000000000000000,12725375.039999999105930
FS( 237 ),2888381.000000000000000,2429646.080000000074506,2480565.600000000093132,2252541.439999999478459,2709389.000000000000000,12760523.119999999180436
FS( 238 ),2833458.299999999813735,2412577.280000000260770,2496414.040000000037253,2234910.719999999739230,2657626.400000000372529,12634986.740000000223517
FS( 239 ),2825106.000000000000000,2445008.000000000000000,2478009.399999999906868,2245091.839999999850988,2674791.200000000186265,12668006.440000001341105
FS( 240 ),2777270.100000000558794,2433059.839999999850988,2458582.280000000260770,2223736.319999999832362,2648775.800000000279397,12541424.340000001713634
FS( 241 ),2739305.100000000558794,2439643.519999999552965,2439666.399999999906868,2215045.119999999646097,2635634.000000000000000,12469294.139999998733401
FS( 242 ),2701846.299999999813735,2366735.360000000335276,2382918.760000000242144,2219018.239999999757856,2570729.600000000093132,12241248.259999999776483
FS( 243 ),2769170.900000000372529,2412577.280000000260770,2415638.120000000111759,2252293.119999999646097,2658967.399999999906868,12508646.820000000298023
FS( 244 ),2851175.299999999813735,2454761.600000000558794,2481588.080000000074506,2284574.719999999739230,2742109.399999999906868,12814209.099999999627471
FS( 245 ),2829155.599999999627471,2485485.440000000409782,2424329.200000000186265,2285816.319999999832362,2748814.399999999906868,12773600.960000000894070
FS( 246 ),2858515.200000000186265,2523768.320000000298023,2452447.399999999906868,2299473.919999999459833,2763565.400000000372529,12897770.240000000223517
FS( 247 ),2848391.200000000186265,2530108.160000000149012,2453469.880000000353903,2316608.000000000000000,2758469.600000000093132,12907046.839999999850988
FS( 248 ),2834976.900000000372529,2525231.360000000335276,2461649.720000000204891,2312883.199999999720603,2753910.200000000186265,12888651.379999998956919
FS( 249 ),2885090.700000000186265,2529864.320000000298023,2475453.200000000186265,2320829.439999999478459,2750423.600000000093132,12961661.259999999776483
FS( 250 ),2883065.900000000372529,2548883.839999999850988,2487211.720000000204891,2300467.199999999720603,2744523.200000000186265,12964151.859999999403954
FS( 251 ),2847885.000000000000000,2542544.000000000000000,2476475.680000000167638,2294507.520000000018626,2758469.600000000093132,12919881.799999998882413
FS( 252 ),2793721.599999999627471,2559612.799999999813735,2458071.040000000037253,2261977.599999999627471,2711266.400000000372529,12784649.439999999478459
