代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13545748.449999997392297
真實報酬,3545748.449999997392297

夏普值報酬,0.345874845000000
夏普值風險,0.096232676870659
夏普值,3.594151760579940

二次趨勢線,2.136317986895962 x^2 + 15535.068031312839594 x + 10000000.000000000000000
二次平均預期報酬,16073.420164010620283
風險,205280.589214359060861
二次平均趨勢值,0.078299756569903
一次趨勢線,15938.029418908659864 x + 10000000.000000000000000
一次預期報酬,15938.029418908659864
一次風險,205836.849211649270728
一次趨勢值,0.077430399269863
找到最佳解世代,1444
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,6
AAPL[0](2),HD[9](1),INTC[11](6),KO[14](13),PG[21](8),UNH[23](3),
FS( 167 ),2343561.099999999627471,2036212.749999999767169,2423098.429999999701977,1911284.919999999692664,1843674.639999999897555,2032081.600000000093132,12589917.439999999478459
FS( 168 ),2307041.330000000074506,2020232.349999999860302,2365339.560000000521541,1914869.079999999841675,1830465.040000000037253,1999804.399999999906868,12437755.759999999776483
FS( 169 ),2323789.250000000000000,2047310.249999999767169,2332632.730000000447035,1911284.919999999692664,1828483.600000000093132,2000275.600000000325963,12443780.349999999627471
FS( 170 ),2317276.169999999925494,2076163.750000000000000,2368123.120000000111759,1926517.599999999860302,1844775.440000000176951,2026662.800000000046566,12559522.880000000819564
FS( 171 ),2317276.169999999925494,2069949.150000000139698,2373690.240000000223517,1953398.799999999813735,1839931.919999999925494,2004752.000000000232831,12559002.279999999329448
FS( 172 ),2297039.099999999627471,2052415.099999999860302,2329153.280000000260770,1967735.439999999944121,1830905.359999999869615,1983548.000000000000000,12460800.279999999329448
FS( 173 ),2344724.149999999441206,2088371.000000000000000,2384824.480000000447035,1995960.699999999720603,1853361.680000000167638,2040798.800000000279397,12708044.810000000521541
FS( 174 ),2349841.569999999366701,2065732.099999999860302,2339591.629999999888241,1965495.339999999850988,1841913.359999999869615,2001218.000000000000000,12563795.999999998137355
FS( 175 ),2343095.879999999888241,2054190.699999999953434,2220594.440000000409782,1992376.539999999804422,1864589.840000000083819,2011820.000000000000000,12486671.400000000372529
FS( 176 ),2321695.759999999776483,2010910.449999999720603,2189975.280000000260770,1974455.739999999757856,1835528.720000000204891,1977893.600000000093132,12310463.549999998882413
FS( 177 ),2297039.099999999627471,1999812.949999999720603,2236599.910000000149012,1955190.879999999888241,1839491.600000000093132,1951270.800000000046566,12279409.240000000223517
FS( 178 ),2268893.290000000037253,1949874.199999999720603,2176753.370000000111759,1936822.059999999823049,1826282.000000000000000,1935721.199999999953434,12094350.119999999180436
FS( 179 ),2239119.209999999962747,1972735.049999999813735,2146830.099999999627471,1906804.719999999972060,1810650.639999999897555,2011820.000000000000000,12087963.719999998807907
FS( 180 ),2271917.219999999739230,2002920.249999999767169,2183712.269999999552965,1921141.359999999869615,1833327.119999999878928,2077552.400000000139698,12290574.619999999180436
FS( 181 ),2320532.709999999962747,2038654.199999999720603,2197630.070000000298023,1939510.179999999934807,1853361.680000000167638,2086034.000000000232831,12435726.839999999850988
FS( 182 ),2383570.019999999552965,2090812.449999999953434,2269306.740000000223517,1822576.959999999962747,1862828.560000000055879,2142813.600000000093132,12571912.330000000074506
FS( 183 ),2395665.739999999292195,2071724.750000000000000,2245646.480000000447035,1819888.839999999850988,1854462.480000000214204,2115012.799999999813735,12502405.089999999850988
FS( 184 ),2438465.979999999515712,2104129.450000000186265,2274873.859999999403954,1830641.319999999832362,1832446.480000000214204,2135981.200000000186265,12616542.289999999105930
FS( 185 ),2447537.769999999552965,2108346.500000000000000,2308972.469999999739230,1838257.659999999916181,1874937.359999999869615,2159070.000000000000000,12737125.759999997913837
FS( 186 ),2444979.059999999590218,2119000.099999999627471,2310364.250000000000000,1826161.119999999878928,1892330.000000000000000,2170614.399999999906868,12763452.929999999701977
FS( 187 ),2482894.489999999292195,2143858.500000000000000,2347942.310000000521541,1817200.719999999972060,1903778.320000000065193,2182630.000000000000000,12878308.339999999850988
FS( 188 ),2496851.089999999850988,2140085.349999999627471,2360468.330000000074506,1835121.519999999785796,1905319.440000000176951,2190169.199999999720603,12928018.929999997839332
FS( 189 ),2488477.129999999888241,2164499.849999999627471,2267219.070000000298023,1854834.399999999906868,1914125.840000000083819,2211844.399999999906868,12901004.689999999478459
FS( 190 ),2512203.349999999627471,2164499.849999999627471,2366731.339999999850988,1876339.359999999869615,1921391.119999999878928,2238467.200000000186265,13079636.219999998807907
FS( 191 ),2544768.750000000000000,2132761.000000000000000,2387608.040000000037253,1873203.219999999972060,1923812.879999999888241,2234933.200000000186265,13097091.089999999850988
FS( 192 ),2526159.950000000186265,2129875.649999999441206,2403613.509999999776483,1873651.239999999757856,1951553.040000000037253,2237760.400000000372529,13122617.790000000968575
FS( 193 ),2532207.809999999590218,2125880.549999999813735,2349334.089999999850988,1895604.219999999972060,1959478.800000000046566,2257079.600000000093132,13119589.070000000298023
FS( 194 ),2528486.049999999813735,2159395.000000000000000,2353509.429999999701977,1894708.179999999934807,1957277.200000000186265,2266739.199999999720603,13160119.059999998658895
FS( 195 ),2535696.959999999962747,2167385.200000000186265,2336808.070000000298023,1896052.239999999757856,1962340.879999999888241,2205483.200000000186265,13103770.550000000745058
FS( 196 ),2531509.979999999515712,2178704.649999999441206,2314539.589999999850988,1899188.379999999888241,1969386.000000000000000,2232341.600000000093132,13125674.199999997392297
FS( 197 ),2551747.049999999813735,2178260.750000000000000,2318019.040000000037253,1904564.619999999878928,1974229.520000000018626,2254488.000000000000000,13181312.979999998584390
FS( 198 ),2587801.599999999627471,2186029.000000000000000,2322890.270000000484288,1913525.019999999785796,1970046.480000000214204,2254252.400000000372529,13234548.770000001415610
FS( 199 ),2624321.370000000111759,2197348.450000000186265,2343766.969999999739230,1917109.179999999934807,1950672.399999999906868,2259435.600000000093132,13292657.970000000670552
FS( 200 ),2655956.330000000074506,2180480.250000000000000,2362556.000000000000000,1914421.059999999823049,1939884.560000000055879,2240823.200000000186265,13294125.400000002235174
FS( 201 ),2651536.739999999292195,2175819.299999999813735,2382736.810000000521541,1922933.439999999944121,1933940.240000000223517,2272864.800000000279397,13339835.330000000074506
FS( 202 ),2685963.019999999552965,2130319.549999999813735,2415443.639999999664724,1950262.659999999916181,1936362.000000000000000,2313388.000000000000000,13431742.869999999180436
FS( 203 ),2667354.219999999739230,2146299.950000000186265,2390391.599999999627471,1981176.039999999804422,1953534.480000000214204,2282053.200000000186265,13420813.489999998360872
FS( 204 ),2705502.259999999776483,2165609.599999999627471,2501734.000000000000000,1982520.099999999860302,1947810.320000000065193,2281817.600000000093132,13584997.879999998956919
FS( 205 ),2709224.019999999552965,2181368.049999999813735,2476681.959999999962747,1993720.599999999860302,1950672.399999999906868,2278519.199999999720603,13590190.229999998584390
FS( 206 ),2759467.779999999329448,2184031.450000000186265,2522610.700000000186265,1983416.139999999897555,1939884.560000000055879,2282995.600000000093132,13672410.230000000447035
FS( 207 ),2735508.950000000186265,2153180.400000000372529,2527481.929999999701977,1990584.459999999962747,1955075.600000000093132,2306555.600000000093132,13668390.939999999478459
FS( 208 ),2768074.349999999627471,2168494.950000000186265,2567843.549999999813735,1984312.179999999934807,1956836.879999999888241,2311503.200000000186265,13757069.109999999403954
FS( 209 ),2766446.080000000074506,2206226.450000000186265,2592199.700000000186265,2008505.259999999776483,1990961.680000000167638,2323754.399999999906868,13888097.570000000298023
FS( 210 ),2676658.620000000111759,2194685.049999999813735,2586632.580000000074506,1995960.699999999720603,1983256.080000000074506,2333885.200000000186265,13771082.230000000447035
FS( 211 ),2666423.779999999329448,2178704.649999999441206,2616555.849999999627471,1995512.679999999934807,2005051.919999999925494,2352026.399999999906868,13814279.279999999329448
FS( 212 ),2696663.080000000074506,2188248.500000000000000,2604725.719999999739230,1962359.199999999720603,1981494.800000000046566,2374879.600000000093132,13808374.900000000372529
FS( 213 ),2686428.239999999292195,2196238.700000000186265,2606813.389999999664724,1948918.599999999860302,1994264.080000000074506,2348256.800000000279397,13780923.810000000521541
FS( 214 ),2675030.349999999627471,2211553.250000000000000,2621427.080000000074506,1950262.659999999916181,1989860.879999999888241,2363806.399999999906868,13811944.619999999180436
FS( 215 ),2614551.750000000000000,2229087.299999999813735,2588720.250000000000000,1932789.879999999888241,1998226.960000000195578,2354146.800000000279397,13717526.940000001341105
FS( 216 ),2654560.669999999925494,2211553.250000000000000,2567147.660000000149012,1883507.679999999934807,1997126.159999999916181,2380062.799999999813735,13693962.219999998807907
FS( 217 ),2604084.299999999813735,2196016.750000000000000,2534440.830000000074506,1863794.799999999813735,1981494.800000000046566,2334592.000000000000000,13514427.480000000447035
FS( 218 ),2596408.169999999925494,2225536.099999999627471,2553925.750000000000000,1860658.659999999916181,1990521.359999999869615,2349670.400000000372529,13576724.439999999478459
FS( 219 ),2552444.879999999888241,2214660.549999999813735,2521218.919999999925494,1832881.419999999692664,1971587.600000000093132,2326817.200000000186265,13419614.570000000298023
FS( 220 ),2517553.379999999888241,2220653.200000000186265,2499646.330000000074506,1817648.739999999757856,1963882.000000000000000,2315272.799999999813735,13334660.449999999254942
FS( 221 ),2483127.099999999627471,2154290.150000000372529,2474594.290000000037253,1809584.379999999888241,1967404.560000000055879,2258257.600000000093132,13147262.080000000074506
FS( 222 ),2545001.359999999403954,2196016.750000000000000,2521914.810000000521541,1861554.699999999720603,1996906.000000000000000,2335770.000000000000000,13457167.619999999180436
FS( 223 ),2620367.000000000000000,2234414.099999999627471,2576194.230000000447035,1899188.379999999888241,2025526.800000000046566,2408806.000000000000000,13764500.510000001639128
FS( 224 ),2600129.929999999701977,2262379.799999999813735,2530961.379999999888241,1879475.500000000000000,2026627.600000000093132,2414696.000000000000000,13714274.209999999031425
FS( 225 ),2627112.689999999478459,2297225.950000000186265,2589416.139999999664724,1897396.299999999813735,2038736.399999999906868,2427654.000000000465661,13877545.479999998584390
FS( 226 ),2617808.290000000037253,2302996.650000000372529,2604725.719999999739230,1925173.539999999804422,2053927.440000000176951,2423177.600000000093132,13927813.239999998360872
FS( 227 ),2605479.959999999962747,2298557.650000000372529,2605421.609999999403954,1923829.479999999748543,2050625.040000000037253,2419172.400000000372529,13903090.139999998733401
FS( 228 ),2651536.739999999292195,2302774.700000000186265,2613076.399999999441206,1924725.519999999785796,2057670.159999999916181,2416109.600000000093132,13965897.119999999180436
FS( 229 ),2649675.859999999403954,2320086.799999999813735,2587328.469999999739230,1920245.319999999832362,2039617.040000000037253,2410926.399999999906868,13927883.889999998733401
FS( 230 ),2617343.069999999366701,2314316.099999999627471,2558101.089999999850988,1915765.119999999878928,2034333.200000000186265,2423177.600000000093132,13863040.179999997839332
FS( 231 ),2567564.529999999329448,2329852.599999999627471,2525394.259999999776483,1891572.039999999804422,2005492.240000000223517,2381712.000000000000000,13701591.669999998062849
FS( 232 ),2543140.479999999515712,2295672.299999999813735,2530265.490000000223517,1887987.879999999888241,1991181.840000000083819,2374408.399999999906868,13622660.389999998733401
FS( 233 ),2471496.599999999627471,2247509.150000000372529,2501734.000000000000000,1887987.879999999888241,1981714.960000000195578,2335298.800000000279397,13425745.390000000596046
FS( 234 ),2471729.209999999962747,2240628.700000000186265,2455109.370000000111759,1902324.519999999785796,1972688.399999999906868,2330586.800000000279397,13373071.000000001862645
FS( 235 ),2506388.099999999627471,2317423.399999999441206,2506605.230000000447035,1926069.579999999841675,1983035.919999999925494,2354382.400000000372529,13593908.629999998956919
FS( 236 ),2602688.639999999664724,2368693.849999999627471,2553229.859999999403954,1949366.619999999878928,2005712.399999999906868,2466763.600000000093132,13946458.969999998807907
FS( 237 ),2605479.959999999962747,2328077.000000000000000,2558101.089999999850988,1927861.659999999916181,1986998.800000000046566,2443674.800000000279397,13850197.310000000521541
FS( 238 ),2541279.599999999627471,2317645.349999999627471,2546966.849999999627471,1910388.879999999888241,1979733.520000000018626,2416109.600000000093132,13712127.799999998882413
FS( 239 ),2563842.769999999552965,2302330.799999999813735,2540007.950000000186265,1909940.859999999869615,1988099.600000000093132,2428360.799999999813735,13732586.779999997466803
FS( 240 ),2554073.149999999441206,2278138.250000000000000,2529569.599999999627471,1906804.719999999972060,1981274.639999999897555,2434486.399999999906868,13684350.759999999776483
FS( 241 ),2484755.370000000111759,2241960.400000000372529,2518435.359999999403954,1898740.359999999869615,1978412.560000000055879,2461109.199999999720603,13583417.250000000000000
FS( 242 ),2465448.739999999292195,2310986.849999999627471,2536528.500000000000000,1905460.659999999916181,2009014.800000000046566,2491972.799999999813735,13719416.349999997764826
FS( 243 ),2528951.269999999552965,2291677.200000000186265,2511476.459999999962747,1933685.919999999692664,2007693.840000000083819,2488438.800000000279397,13761927.490000000223517
FS( 244 ),2548257.899999999441206,2297891.799999999813735,2538616.169999999925494,1942646.319999999832362,1997566.480000000214204,2575610.799999999813735,13900593.469999998807907
FS( 245 ),2614551.750000000000000,2354267.099999999627471,2568539.439999999478459,1961463.159999999916181,2017160.720000000204891,2682337.600000000093132,14198323.769999999552965
FS( 246 ),2628043.129999999888241,2338730.599999999627471,2536528.500000000000000,1940406.219999999972060,1983256.080000000074506,2638751.600000000093132,14065720.129999998956919
FS( 247 ),2630834.450000000186265,2360703.650000000372529,2491991.540000000037253,1926517.599999999860302,1972248.080000000074506,2629563.200000000186265,14011862.519999999552965
FS( 248 ),2538720.889999999664724,2334069.649999999441206,2379257.359999999403954,1899188.379999999888241,1904218.639999999897555,2591867.200000000186265,13647326.119999997317791
FS( 249 ),2682241.259999999776483,2324747.750000000000000,2350725.870000000111759,1878131.439999999944121,1874717.200000000186265,2555349.199999999720603,13665916.719999998807907
FS( 250 ),2765748.250000000000000,2388669.349999999627471,2380649.139999999664724,1886195.799999999813735,1886165.520000000018626,2577260.000000000000000,13884692.059999998658895
FS( 251 ),2725274.109999999403954,2317645.349999999627471,2299230.009999999776483,1844529.939999999944121,1855783.440000000176951,2503281.600000000093132,13545748.449999997392297
