代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12295825.689999999478459
真實報酬,2295825.689999999478459

夏普值報酬,0.220882569000000
夏普值風險,0.057050767588123
夏普值,3.871684437178098

二次趨勢線,5.144551195443579 x^2 + 7130.920790968732945 x + 10000000.000000000000000
二次平均預期報酬,8437.636794611404184
風險,213497.632091251201928
二次平均趨勢值,0.039520985370953
一次趨勢線,8109.024781861017800 x + 10000000.000000000000000
一次預期報酬,8109.024781861017800
一次風險,216679.723650412342977
一次趨勢值,0.037424012940611
找到最佳解世代,2804
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
AAPL[0](3),IBM[10](2),KO[14](5),MCD[15](1),
FS( 226 ),3302641.149999999441206,2941307.900000000372529,2747083.549999999813735,2760331.000000000000000,11751363.599999999627471
FS( 227 ),3323354.469999999739230,2953866.860000000335276,2730881.350000000093132,2804629.000000000000000,11812731.679999999701977
FS( 228 ),3314148.549999999813735,3044047.169999999925494,2785158.720000000204891,2867866.000000000000000,12011220.439999999478459
FS( 229 ),3281927.829999999608845,3099864.770000000484288,2817563.120000000111759,2880706.000000000000000,12080061.719999998807907
FS( 230 ),3263515.989999999757856,3097073.890000000596046,2756804.870000000111759,2825815.000000000000000,11943209.750000000000000
FS( 231 ),3210581.949999999254942,3125331.549999999813735,2797310.370000000111759,2849890.000000000000000,11983113.869999999180436
FS( 232 ),3134057.739999999757856,3050326.650000000372529,2736552.120000000111759,2819074.000000000000000,11740010.510000001639128
FS( 233 ),3078822.219999999739230,3022766.709999999962747,2649870.350000000093132,2761294.000000000000000,11512753.279999999329448
FS( 234 ),3061561.119999999646097,3048059.060000000521541,2642579.359999999869615,2776060.000000000000000,11528259.539999999105930
FS( 235 ),3109316.829999999608845,3084863.790000000037253,2654731.010000000242144,2755195.000000000000000,11604106.629999998956919
FS( 236 ),3101837.019999999552965,3169287.910000000149012,2649060.240000000223517,2796283.000000000000000,11716468.169999999925494
FS( 237 ),3039697.059999999590218,3181498.009999999776483,2669312.990000000223517,2799172.000000000000000,11689680.059999998658895
FS( 238 ),3195622.329999999608845,3255281.900000000372529,2709818.490000000223517,2841223.000000000000000,12001945.720000000670552
FS( 239 ),3289983.009999999776483,3227024.240000000223517,2705767.939999999944121,2867866.000000000000000,12090641.189999999478459
FS( 240 ),3306093.369999999646097,3246560.400000000372529,2733311.680000000167638,2836408.000000000000000,12122373.449999999254942
FS( 241 ),3357301.299999999813735,3258770.500000000000000,2730071.240000000223517,2866903.000000000000000,12213046.039999999105930
FS( 242 ),3468923.079999999608845,3323484.030000000260770,2747893.660000000149012,2887126.000000000000000,12427426.769999999552965
FS( 243 ),3452237.349999999627471,3254758.610000000335276,2713869.040000000037253,2846038.000000000000000,12266903.000000000000000
FS( 244 ),3470649.189999999478459,3120621.940000000409782,2703337.609999999869615,2877496.000000000000000,12172104.740000000223517
FS( 245 ),3276749.500000000000000,3094283.009999999776483,2715489.260000000242144,2876854.000000000000000,11963375.769999999552965
FS( 246 ),3249131.739999999757856,3091840.990000000223517,2718729.700000000186265,2857273.000000000000000,11916975.429999999701977
FS( 247 ),3228993.789999999571592,3168241.330000000074506,2762475.640000000130385,2963524.000000000000000,12123234.759999999776483
FS( 248 ),3335437.239999999757856,3179055.990000000223517,2749513.879999999888241,2953573.000000000000000,12217580.109999999403954
FS( 249 ),3269269.689999999478459,3146088.720000000670552,2712248.819999999832362,2945869.000000000000000,12073476.230000000447035
FS( 250 ),3292859.859999999403954,3174171.950000000186265,2733311.680000000167638,2946190.000000000000000,12146533.490000000223517
FS( 251 ),3326231.319999999832362,3250397.860000000335276,2777057.620000000111759,3001723.000000000000000,12355409.800000000745058
FS( 252 ),3328532.799999999813735,3269759.589999999850988,2792449.709999999962747,2994661.000000000000000,12385403.099999999627471
FS( 253 ),3327382.059999999590218,3220570.330000000074506,2767336.299999999813735,2980537.000000000000000,12295825.689999999478459
