代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,14222348.490000002086163
真實報酬,4222348.490000002086163

夏普值報酬,0.413534849000000
夏普值風險,0.107464761998498
夏普值,3.848097193066701

二次趨勢線,20.181607853969176 x^2 + 12273.174597748004089 x + 10000000.000000000000000
二次平均預期報酬,17358.939776948231156
風險,130246.620852762935101
二次平均趨勢值,0.133277467494313
一次趨勢線,16079.915333272620046 x + 10000000.000000000000000
一次預期報酬,16079.915333272620046
一次風險,193321.658794515824411
一次趨勢值,0.083176998550194
找到最佳解世代,2563
找到最佳解實驗#,1
找到最佳解次數,49

stock[index](rank)
投資組合檔數,6
BA[2](2),HD[9](12),MCD[15](4),MSFT[18](1),UNH[23](3),V[25](5),
FS( 167 ),2358360.599999999627471,2012316.500000000000000,2215475.500000000000000,2034702.999999999767169,2161143.060000000055879,1918895.560000000055879,12700898.220000000670552
FS( 168 ),2394997.500000000000000,2014910.500000000000000,2235101.799999999813735,2082884.500000000232831,2158856.599999999627471,1933981.060000000055879,12820735.960000000894070
FS( 169 ),2378882.299999999813735,2007647.299999999813735,2221290.700000000186265,2097977.500000000000000,2158615.919999999925494,1942026.659999999916181,12806444.380000000819564
FS( 170 ),2351184.299999999813735,1999994.999999999767169,2198611.419999999925494,2104943.500000000000000,2176065.219999999739230,1926740.020000000018626,12757543.459999997168779
FS( 171 ),2368180.799999999813735,2009852.200000000186265,2208933.399999999441206,2101170.250000000000000,2204826.479999999981374,1932774.219999999972060,12825741.349999999627471
FS( 172 ),2391220.500000000000000,1990916.000000000000000,2201519.020000000484288,2088399.250000000000000,2186534.799999999813735,1932774.219999999972060,12791367.790000000968575
FS( 173 ),2392479.500000000000000,1983912.200000000186265,2202245.919999999925494,2041088.499999999767169,2183766.979999999981374,1901999.800000000046566,12705496.900000000372529
FS( 174 ),2392101.799999999813735,1973795.600000000093132,2158486.540000000037253,2025415.000000000000000,2157171.839999999850988,1880678.959999999962747,12587653.740000002086163
FS( 175 ),2405824.900000000372529,1997271.300000000046566,2178112.839999999850988,2050666.750000000232831,2178833.040000000037253,1912459.079999999841675,12723171.910000002011657
FS( 176 ),2422066.000000000000000,2033198.199999999953434,2190615.520000000484288,2039637.250000000000000,2194597.580000000074506,1917286.439999999711290,12797404.990000000223517
FS( 177 ),2460717.299999999813735,2033327.900000000139698,2197739.139999999664724,2028898.000000000232831,2170770.259999999776483,1894155.340000000083819,12785611.939999999478459
FS( 178 ),2473181.400000000372529,2031641.799999999813735,2209660.299999999813735,2031800.500000000000000,2185812.759999999776483,1894155.340000000083819,12826256.099999999627471
FS( 179 ),2506419.000000000000000,2059786.699999999953434,2226379.000000000000000,2057052.250000000232831,2202540.020000000018626,1906626.020000000018626,12958806.990000000223517
FS( 180 ),2496976.500000000000000,2045000.899999999906868,2239899.339999999850988,2029188.250000000000000,2205548.520000000018626,1898379.279999999795109,12914996.789999999105930
FS( 181 ),2507552.099999999627471,2030993.300000000046566,2234956.419999999925494,2039637.250000000000000,2225404.619999999646097,1901597.520000000018626,12940145.209999999031425
FS( 182 ),2510951.400000000372529,2016596.599999999860302,2250512.080000000074506,2039347.000000000232831,2244418.339999999850988,1889730.260000000009313,12951559.679999999701977
FS( 183 ),2546077.500000000000000,1962511.699999999953434,2248186.000000000000000,2066920.749999999767169,2229375.839999999850988,1922516.079999999841675,12975591.869999999180436
FS( 184 ),2517750.000000000000000,1963938.399999999906868,2238300.160000000149012,2047183.750000000000000,2227811.419999999925494,1915275.040000000037253,12910262.769999999552965
FS( 185 ),2504026.899999999441206,1974573.800000000046566,2234811.040000000037253,2008870.749999999767169,2221553.739999999757856,1908838.560000000055879,12852678.789999999105930
FS( 186 ),2513217.600000000558794,1987414.099999999860302,2243243.080000000074506,2025995.500000000000000,2234791.139999999664724,1935590.179999999934807,12940255.600000001490116
FS( 187 ),2486023.200000000186265,1973536.199999999953434,2226233.620000000111759,1987972.749999999767169,2229616.520000000018626,1899183.840000000083819,12802570.129999998956919
FS( 188 ),2489674.299999999813735,1989619.000000000000000,2226669.759999999776483,2000743.750000000232831,2231421.619999999646097,1886310.879999999888241,12824443.309999998658895
FS( 189 ),2500249.900000000372529,1997530.699999999953434,2217074.679999999701977,1978684.750000000000000,2246223.439999999944121,1877661.859999999869615,12817429.330000000074506
FS( 190 ),2540789.700000000186265,1980410.300000000046566,2225361.339999999850988,2005097.500000000000000,2265477.839999999850988,1890937.100000000093132,12908077.779999999329448
FS( 191 ),2536635.000000000000000,1972109.500000000232831,2225652.099999999627471,1990294.749999999767169,2249713.299999999813735,1875650.459999999962747,12850059.109999999403954
FS( 192 ),2547840.100000000558794,1974444.099999999860302,2271882.940000000409782,2016126.999999999767169,2261987.979999999981374,1889126.840000000083819,12961412.960000000894070
FS( 193 ),2567858.200000000186265,1960825.600000000093132,2260979.440000000409782,2031220.000000000000000,2249833.639999999664724,1912660.219999999972060,12983381.100000003352761
FS( 194 ),2596941.100000000558794,1953303.000000000000000,2252111.259999999776483,2031510.249999999767169,2237799.639999999664724,1919096.699999999953434,12990765.949999999254942
FS( 195 ),2599081.400000000372529,1979113.300000000046566,2276389.719999999739230,2065179.250000000232831,2246704.799999999813735,1934584.480000000214204,13101056.949999999254942
FS( 196 ),2596437.500000000000000,1988192.299999999813735,2254001.200000000186265,2083174.750000000000000,2232143.659999999683350,1929757.119999999878928,13083710.529999999329448
FS( 197 ),2625142.700000000186265,1982874.599999999860302,2257490.320000000298023,2112490.000000000000000,2249231.939999999944121,1949669.980000000214204,13176903.540000000968575
FS( 198 ),2631311.799999999813735,1995974.299999999813735,2257199.559999999590218,2129034.250000000000000,2242613.239999999757856,1947658.579999999841675,13203795.730000000447035
FS( 199 ),2621743.400000000372529,1973665.899999999906868,2238300.160000000149012,2127583.000000000000000,2248630.239999999757856,1962744.079999999841675,13172670.780000001192093
FS( 200 ),2654981.000000000000000,1988322.000000000232831,2237282.500000000000000,2143837.000000000000000,2276789.799999999813735,1976220.459999999962747,13277436.760000001639128
FS( 201 ),2647427.000000000000000,1907000.100000000093132,2241934.660000000149012,2154286.000000000000000,2304588.339999999850988,1973404.500000000000000,13228644.599999999627471
FS( 202 ),2670844.399999999441206,1902071.500000000000000,2237718.639999999664724,2141805.250000000000000,2307957.859999999869615,2003374.359999999869615,13263776.009999997913837
FS( 203 ),2671348.000000000000000,1875223.600000000093132,2207624.979999999515712,2136290.500000000000000,2297247.599999999627471,2018862.140000000130385,13206600.819999998435378
FS( 204 ),2674873.200000000186265,1906221.899999999906868,2312589.339999999850988,2153415.250000000000000,2291350.939999999944121,2011218.819999999832362,13349673.449999999254942
FS( 205 ),2939137.299999999813735,1902590.300000000046566,2275372.059999999590218,2149351.750000000000000,2295562.839999999850988,2028516.859999999869615,13590535.109999999403954
FS( 206 ),3034191.799999999813735,1916079.099999999860302,2281768.779999999329448,2123519.500000000000000,2273660.959999999962747,2002770.939999999711290,13631995.080000000074506
FS( 207 ),3037591.100000000558794,1920618.600000000093132,2265776.979999999515712,2120036.500000000000000,2300376.439999999944121,1994323.060000000055879,13638726.679999999701977
FS( 208 ),3052573.200000000186265,1940333.000000000000000,2255455.000000000000000,2110168.000000000000000,2308318.879999999888241,2002569.800000000046566,13669421.879999998956919
FS( 209 ),3014551.400000000372529,1943575.500000000000000,2239463.200000000186265,2106685.000000000000000,2313373.159999999683350,2028919.140000000130385,13646571.400000002235174
FS( 210 ),2995792.299999999813735,1952006.000000000000000,2276535.099999999627471,2097397.000000000000000,2322639.339999999850988,2037165.879999999888241,13681539.619999997317791
FS( 211 ),2999569.299999999813735,1955767.299999999813735,2249349.040000000037253,2094204.250000000232831,2343939.520000000018626,2023287.219999999972060,13666120.630000000819564
FS( 212 ),2992770.700000000186265,1981188.500000000000000,2236264.839999999850988,2109587.500000000000000,2345263.259999999776483,2029321.419999999925494,13694400.219999998807907
FS( 213 ),3024497.500000000000000,1988970.500000000000000,2252983.540000000037253,2101460.500000000000000,2344059.859999999869615,2041389.819999999832362,13753365.719999998807907
FS( 214 ),3015306.799999999813735,1988970.500000000000000,2252256.639999999664724,2112780.250000000000000,2345503.939999999944121,2037165.879999999888241,13751988.009999997913837
FS( 215 ),2949964.700000000186265,2013743.199999999953434,2252256.639999999664724,2103492.250000000000000,2344661.560000000055879,2030930.540000000037253,13695052.890000000596046
FS( 216 ),2931961.000000000000000,1995844.599999999860302,2276971.240000000223517,2072725.750000000000000,2317464.719999999739230,2001161.819999999832362,13596133.129999998956919
FS( 217 ),2957141.000000000000000,2008814.599999999860302,2286857.080000000074506,2104363.000000000000000,2322880.020000000018626,2013230.219999999972060,13693289.919999999925494
FS( 218 ),2985720.299999999813735,2000773.199999999953434,2286275.559999999590218,2136000.250000000000000,2331183.479999999981374,2049033.140000000130385,13788989.929999999701977
FS( 219 ),3011152.099999999627471,1947725.899999999906868,2291509.240000000223517,2125261.000000000000000,2340690.339999999850988,2064319.779999999795109,13780662.359999999403954
FS( 220 ),2991259.900000000372529,1974703.500000000000000,2310117.879999999888241,2137741.750000000000000,2331905.520000000018626,2078198.439999999711290,13823930.990000000223517
FS( 221 ),2966079.900000000372529,1941240.899999999906868,2295434.500000000000000,2101460.500000000000000,2319029.139999999664724,2054866.199999999953434,13678115.140000000596046
FS( 222 ),2968346.100000000558794,1912966.300000000046566,2293544.559999999590218,2104072.750000000000000,2296405.219999999739230,2061906.100000000093132,13637245.029999999329448
FS( 223 ),2967213.000000000000000,1935144.999999999767169,2302267.360000000335276,2094204.250000000232831,2310966.359999999869615,2076187.040000000037253,13685987.010000001639128
FS( 224 ),3018454.299999999813735,1944353.699999999953434,2320876.000000000000000,2123519.500000000000000,2344180.199999999720603,2093283.939999999711290,13844671.639999998733401
FS( 225 ),2997554.900000000372529,1933848.000000000000000,2308809.459999999962747,2110748.500000000000000,2337561.500000000000000,2075382.480000000214204,13763908.839999999850988
FS( 226 ),3005738.400000000372529,1922823.500000000000000,2302994.259999999776483,2109877.750000000000000,2343698.839999999850988,2076187.040000000037253,13761323.789999999105930
FS( 227 ),2969856.899999999441206,1940981.500000000000000,2308954.839999999850988,2113651.000000000000000,2339005.580000000074506,2078801.859999999869615,13751255.679999997839332
FS( 228 ),2986098.000000000000000,1963549.299999999813735,2321312.139999999664724,2113941.250000000000000,2347790.399999999906868,2087450.879999999888241,13820145.969999998807907
FS( 229 ),3027770.900000000372529,1943445.800000000046566,2317096.120000000111759,2120326.750000000000000,2367526.159999999683350,2087249.739999999990687,13863419.470000000670552
FS( 230 ),3027393.200000000186265,1945521.000000000000000,2319276.820000000298023,2148190.750000000000000,2357297.259999999776483,2086445.179999999934807,13884128.209999999031425
FS( 231 ),3017321.200000000186265,1943834.900000000139698,2325673.540000000037253,2170249.750000000000000,2393639.939999999944121,2082221.239999999990687,13932944.570000000298023
FS( 232 ),3025756.500000000000000,1955637.600000000093132,2323347.459999999962747,2146159.000000000000000,2403868.839999999850988,2089864.560000000055879,13944637.959999999031425
FS( 233 ),2983831.799999999813735,1983523.100000000093132,2313025.479999999515712,2136580.750000000000000,2398573.879999999888241,2071963.100000000093132,13887502.109999997541308
FS( 234 ),2953867.600000000558794,2030604.199999999953434,2300232.040000000037253,2130485.500000000000000,2387382.259999999776483,2075382.480000000214204,13877958.080000000074506
FS( 235 ),2975144.700000000186265,2048373.100000000093132,2324655.879999999888241,2157769.000000000000000,2384855.119999999646097,2103139.799999999813735,13993941.599999997764826
FS( 236 ),3006242.000000000000000,2070811.199999999953434,2321893.660000000149012,2147320.000000000000000,2379800.839999999850988,2100524.979999999981374,14026596.679999999701977
FS( 237 ),3029029.900000000372529,2054079.900000000139698,2348352.820000000298023,2169959.500000000000000,2401823.060000000055879,2135121.060000000055879,14138370.240000002086163
FS( 238 ),3028904.000000000000000,2074053.699999999953434,2272755.219999999739230,2167637.500000000000000,2376431.319999999832362,2136327.899999999906868,14056113.640000000596046
FS( 239 ),3045900.500000000000000,2075480.400000000139698,2282495.679999999701977,2183020.750000000000000,2386780.560000000055879,2128684.580000000074506,14102366.470000000670552
FS( 240 ),3087447.500000000000000,2067179.599999999860302,2282495.679999999701977,2170249.750000000000000,2379560.159999999683350,2133713.080000000074506,14120649.769999999552965
FS( 241 ),3134911.799999999813735,2054469.000000000000000,2281332.639999999664724,2185923.250000000000000,2384975.459999999962747,2118024.159999999683350,14159640.309999998658895
FS( 242 ),3186279.000000000000000,2046816.699999999953434,2277843.520000000484288,2181569.500000000000000,2385095.799999999813735,2108570.580000000074506,14186179.099999999627471
FS( 243 ),3178473.200000000186265,2044871.199999999953434,2288747.020000000484288,2189696.500000000000000,2342495.439999999944121,2120236.699999999720603,14164524.060000000521541
FS( 244 ),3216243.200000000186265,2058100.600000000093132,2324365.120000000111759,2175184.000000000000000,2355732.839999999850988,2120236.699999999720603,14249866.460000000894070
FS( 245 ),3223545.400000000372529,2064715.300000000046566,2312007.820000000298023,2153995.750000000000000,2349234.479999999981374,2118225.299999999813735,14221728.050000000745058
FS( 246 ),3228707.299999999813735,2074831.899999999906868,2310263.259999999776483,2159800.750000000000000,2323000.359999999869615,2123253.799999999813735,14219861.369999997317791
FS( 247 ),3201890.599999999627471,2089488.000000000000000,2271737.559999999590218,2126422.000000000000000,2307596.839999999850988,2072164.239999999990687,14069303.240000000223517
FS( 248 ),3194084.799999999813735,2091563.199999999953434,2229431.979999999515712,2126422.000000000000000,2319029.139999999664724,2070555.119999999878928,14031090.240000000223517
FS( 249 ),3213977.000000000000000,2087153.399999999906868,2239608.580000000074506,2143546.750000000000000,2340570.000000000000000,2089663.419999999925494,14114523.150000000372529
FS( 250 ),3201261.100000000558794,2105830.200000000186265,2289619.299999999813735,2144127.250000000000000,2359944.739999999757856,2103542.080000000074506,14204328.670000001788139
FS( 251 ),3200505.700000000186265,2121394.200000000186265,2277843.520000000484288,2162122.750000000000000,2356936.239999999757856,2103542.080000000074506,14222348.490000002086163
