代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,14797106.320000000298023
真實報酬,4797106.320000000298023

夏普值報酬,0.471010632000000
夏普值風險,0.111191112017784
夏普值,4.236045700529260

二次趨勢線,9.642768417028414 x^2 + 16199.530072352445131 x + 10000000.000000000000000
二次平均預期報酬,18629.507713443585089
風險,282126.501988947682548
二次平均趨勢值,0.066032462679360
一次趨勢線,18018.390076071744261 x + 10000000.000000000000000
一次預期報酬,18018.390076071744261
一次風險,290266.440737131109927
一次趨勢值,0.062075347154546
找到最佳解世代,2099
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,1
PG[21](1),
Stock#,PG[21](1),
FS( 156 ),13050303.699999999254942,13050303.699999999254942
FS( 157 ),13066979.620000001043081,13066979.620000001043081
FS( 158 ),13408835.980000000447035,13408835.980000000447035
FS( 159 ),13429680.880000000819564,13429680.880000000819564
FS( 160 ),12891882.460000000894070,12891882.460000000894070
FS( 161 ),12852971.980000000447035,12852971.980000000447035
FS( 162 ),12751526.800000000745058,12751526.800000000745058
FS( 163 ),12643133.320000000298023,12643133.320000000298023
FS( 164 ),12641743.660000000149012,12641743.660000000149012
FS( 165 ),12140076.400000000372529,12140076.400000000372529
FS( 166 ),12519453.580000001937151,12519453.580000001937151
FS( 167 ),12787657.960000000894070,12787657.960000000894070
FS( 168 ),12670926.520000001415610,12670926.520000001415610
FS( 169 ),12773761.360000001266599,12773761.360000001266599
FS( 170 ),12684823.120000001043081,12684823.120000001043081
FS( 171 ),12595884.880000000819564,12595884.880000000819564
FS( 172 ),12852971.980000000447035,12852971.980000000447035
FS( 173 ),12801554.560000000521541,12801554.560000000521541
FS( 174 ),12848803.000000000000000,12848803.000000000000000
FS( 175 ),12638964.340000001713634,12638964.340000001713634
FS( 176 ),12669536.860000001266599,12669536.860000001266599
FS( 177 ),12752916.460000000894070,12752916.460000000894070
FS( 178 ),12666757.540000000968575,12666757.540000000968575
FS( 179 ),12786268.300000000745058,12786268.300000000745058
FS( 180 ),12697330.060000000521541,12697330.060000000521541
FS( 181 ),12595884.880000000819564,12595884.880000000819564
FS( 182 ),12704278.360000001266599,12704278.360000001266599
FS( 183 ),12568091.679999999701977,12568091.679999999701977
FS( 184 ),13179542.080000001937151,13179542.080000001937151
