代數,10000
粒子數,10
旋轉角度上界,0.0004
旋轉角度下界,0.0004
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000
最後資金,11954293.254500000000
真實報酬,1954293.254499999800

夏普值報酬,0.186729325450
夏普值風險,0.053649124684
夏普值,3.480566114561

預期報酬,17427.694282191540
風險,144236.653901550920
起點值,0.120827083898
找到最佳解世代,4157
找到最佳解實驗#,1
找到最佳解次數,49

投資組合檔數,5
1303(4),2002(8),2891(37),2912(39),3045(40),
Stock#,1303(4),2002(8),2891(37),2912(39),3045(40),
張數,38,88,206,19,38,
FS( 110 ),2373955.843500000000,2217090.962000000300,2607737.904000000100,2438980.849750000100,2149599.634999999800,11787365.194250001000
FS( 111 ),2410652.737999999900,2230232.552000000100,2597483.481500000200,2547747.418500000100,2192727.943999999700,11978844.134000001000
FS( 112 ),2387953.628000000000,2220595.385999999900,2607737.904000000100,2508780.612999999900,2192727.943999999700,11917795.475000000000
FS( 113 ),2345581.955999999800,2224099.810000000100,2574923.751999999900,2485514.025250000400,2178351.840999999500,11808471.384250000000
FS( 114 ),2317208.068500000100,2204825.478000000100,2550313.138000000300,2470002.966750000600,2181000.070499999400,11723349.721750000000
FS( 115 ),2305858.513499999900,2204825.478000000100,2529804.293000000100,2602036.123250000200,2195376.173499999600,11837900.581249999000
FS( 116 ),2365254.518000000200,2179418.403999999600,2507244.563500000200,2609791.652499999900,2184026.618499999400,11845735.756500000000
FS( 117 ),2362606.288499999800,2170657.343999999600,2523651.639500000000,2586525.064750000400,2178351.840999999500,11821792.177750001000
FS( 118 ),2339907.178499999900,2154887.436000000200,2564669.329500000500,2679780.574999999700,2192727.943999999700,11931972.463000000000
FS( 119 ),2212413.844000000000,2167152.919999999500,2585178.174500000200,2586525.064750000400,2198402.721499999500,11749672.724750001000
FS( 120 ),2280511.174000000100,2173285.662000000000,2659010.016499999900,2594280.594000000000,2247205.807999999700,11954293.254500000000
