代數,10000
粒子數,10
旋轉角度上界,0.0004
旋轉角度下界,0.0004
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000
最後資金,11519158.469749998000
真實報酬,1519158.469749998300

夏普值報酬,0.143215846975
夏普值風險,0.048165652094
夏普值,2.973402014661

預期報酬,14134.551631532253
風險,92927.581312276583
起點值,0.152102867975
找到最佳解世代,3290
找到最佳解實驗#,2
找到最佳解次數,18

投資組合檔數,11
1102(1),1216(2),1301(3),2408(23),2454(26),2474(27),2881(31),2884(34),2890(38),2912(41),5880(47),
Stock#,1102(1),1216(2),1301(3),2408(23),2454(26),2474(27),2881(31),2884(34),2890(38),2912(41),5880(47),
張數,34,15,10,18,4,2,20,53,105,3,62,
FS( 21 ),870975.141499999790,931375.541250000010,932492.557499999880,981593.000999999930,1042171.611000000000,991415.680500000020,940175.079999999960,903856.356000000030,892308.558749999970,904446.621000000040,923583.058000000080,10314403.206499999000
FS( 22 ),867590.186499999950,918532.623749999800,932492.557499999880,979800.966000000010,1055591.962000000100,986577.185999999990,949732.599999999980,908605.248750000030,896489.973750000000,905910.116249999960,932224.649000000090,10333558.069499999000
FS( 23 ),859466.294499999960,924207.401250000000,935280.167499999860,988761.141000000060,1028711.437000000000,989484.265000000010,951723.750000000000,908605.248750000030,910079.572500000130,905910.116249999960,932224.649000000090,10334464.042750001000
FS( 24 ),862851.249499999920,925700.763750000040,937171.759999999890,979800.966000000010,1055591.962000000100,992371.432500000000,959688.349999999980,911243.522499999960,915306.341250000060,903012.993000000130,937779.957500000020,10380529.298000000000
FS( 25 ),870975.141499999790,918532.623749999800,938167.334999999960,970840.791000000080,1040220.284000000100,981758.603000000000,962675.074999999950,911243.522499999960,917397.048750000190,894321.623249999950,935310.931500000060,10341452.979250003000
FS( 26 ),877406.555999999980,924207.401250000000,946729.279999999910,992345.211000000010,1045994.619000000100,1002048.421500000100,962675.074999999950,913354.141500000030,919487.756249999980,900115.869749999950,940866.239999999990,10425240.571250001000
FS( 27 ),876052.574000000020,925700.763750000040,946729.279999999910,992345.211000000010,1036038.869000000100,1009774.083499999900,960683.924999999930,906494.629750000080,914260.987499999810,901549.497749999980,940866.239999999990,10410506.061249999000
FS( 28 ),867590.186499999950,914201.872499999940,941950.519999999900,990553.175999999860,1024091.969000000000,998165.679000000000,958692.774999999910,903856.356000000030,914260.987499999810,901549.497749999980,940866.239999999990,10355789.259249998000
FS( 29 ),867590.186499999950,911215.147499999960,930600.964999999970,997721.316000000110,1012145.069000000000,1002048.421500000100,951723.750000000000,906494.629750000080,912170.280000000030,898682.241749999930,935310.931500000060,10325712.938500000000
FS( 30 ),872667.618999999950,914201.872499999940,938167.334999999960,1013849.630999999900,1040021.169000000000,1017499.745500000100,956701.625000000000,911243.522499999960,916351.694999999950,910240.867499999930,940866.239999999990,10431821.322000001000
