代數,10000
粒子數,10
旋轉角度上界,0.0004
旋轉角度下界,0.0004
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000
最後資金,12518265.079000000000
真實報酬,2518265.078999999900

夏普值報酬,0.243126507900
夏普值風險,0.067032179302
夏普值,3.627011838645

預期報酬,21129.908129323438
風險,152900.522317371940
起點值,0.138193825692
找到最佳解世代,4008
找到最佳解實驗#,1
找到最佳解次數,41

投資組合檔數,6
2227(11),2324(17),2474(26),3481(44),4904(45),4938(46),
Stock#,2227(11),2324(17),2474(26),3481(44),4904(45),4938(46),
張數,7,91,6,126,29,35,
FS( 56 ),1697821.591250000100,1738477.558000000200,1691030.559999999800,1930459.789000000300,1881046.933999999900,2405801.013749999900,11344641.446000000000
FS( 57 ),1695103.671500000200,1727605.879000000000,1723824.800499999900,1796236.367500000200,1928396.480999999900,2358411.643749999800,11229582.843249999000
FS( 58 ),1681723.143500000000,1757502.996249999900,1723824.800499999900,1848922.196500000100,1928396.480999999900,2349700.362499999800,11290073.980250001000
FS( 59 ),1687089.292750000300,1738477.558000000200,1772926.559499999700,1836377.951500000400,1930706.215000000100,2346564.301250000000,11312145.878000000000
FS( 60 ),1692455.442000000300,1753879.103249999900,1756559.306499999900,1848922.196500000100,1930706.215000000100,2364335.314999999900,11346861.578250000000
FS( 61 ),1676356.994250000500,1794647.899499999800,1753811.519499999500,1853939.894499999700,1928396.480999999900,2364335.314999999900,11371492.103749998000
FS( 62 ),1705835.970000000200,1780152.327499999900,1783857.973000000000,1866484.139499999800,1925798.030250000100,2494656.082500000000,11556788.522750000000
FS( 63 ),1679005.223750000100,1761126.889250000200,1745627.892999999900,1871501.837499999900,1933304.665750000200,2468173.787499999600,11458744.296750000000
FS( 64 ),1697821.591250000100,1731229.771999999900,1753811.519499999500,1802508.490000000000,1933304.665750000200,2524274.438749999700,11442954.477249999000
FS( 65 ),1673708.764749999900,1713110.307000000000,1753811.519499999500,1796236.367500000200,1905876.574500000100,2521486.828750000300,11364234.362000000000
FS( 66 ),1673708.764749999900,1720358.092999999900,1805661.065499999800,1848922.196500000100,1903566.840499999900,2500579.753749999700,11452800.713999998000
FS( 67 ),1687089.292750000300,1720358.092999999900,1813844.691999999800,1842650.074000000000,1928396.480999999900,2497792.143749999800,11490134.776500002000
FS( 68 ),1679005.223750000100,1720358.092999999900,1789293.812499999800,1848922.196500000100,1930706.215000000100,2462250.116250000400,11430539.657000002000
FS( 69 ),1681723.143500000000,1708580.440749999800,1756559.306499999900,1848922.196500000100,1925798.030250000100,2373395.047500000300,11294982.164999999000
FS( 70 ),1668342.615500000100,1704956.547750000100,1764742.932999999700,1836377.951500000400,1903566.840499999900,2441343.041249999800,11319333.929500001000
FS( 71 ),1670990.845000000200,1701332.654750000000,1783857.973000000000,1825088.131000000100,1888553.569500000000,2399877.342499999300,11269704.515750000000
FS( 72 ),1676356.994250000500,1690460.975750000000,1783857.973000000000,1946767.307499999900,1928396.480999999900,2417648.356249999700,11443492.087750001000
FS( 73 ),1665624.695750000000,1697708.761749999800,1805661.065499999800,1941749.609500000000,1903566.840499999900,2509639.486250000100,11523954.459249999000
FS( 74 ),1668342.615500000100,1753879.103249999900,1830211.944999999800,1930459.789000000300,1948317.936749999600,2518350.767500000100,11649566.157000002000
FS( 75 ),1665624.695750000000,1757502.996249999900,1835707.519000000100,1900353.601000000300,1995378.767000000500,2580375.089999999900,11734946.669000002000
FS( 76 ),1665624.695750000000,1791024.006499999900,1824776.105500000100,1889063.780500000100,1965640.941750000200,2592222.432499999600,11728355.962500000000
FS( 77 ),1644160.098750000100,1824545.016750000000,1800225.226000000300,1882791.658000000100,1943409.751999999900,2559816.466249999600,11654952.217750002000
FS( 78 ),1633497.490500000100,1951381.271750000100,1811096.905000000300,1802508.490000000000,1913383.210000000200,2551105.184999999600,11662976.552250002000
FS( 79 ),1620047.272250000200,1985808.255249999700,1800225.226000000300,1818816.008500000000,1910784.759250000100,2527410.499999999500,11663096.021250000000
FS( 80 ),1646878.018500000000,2015705.372499999800,1781110.185999999800,1818816.008500000000,1881046.933999999900,2551105.184999999600,11694665.704500001000
FS( 81 ),1641511.869250000500,1996679.934249999900,1811096.905000000300,1789964.244999999900,1868632.113750000000,2627764.460000000400,11735653.527250001000
FS( 82 ),1724582.647250000200,2011175.506249999900,1860258.398499999900,1807526.188000000100,1893461.754250000200,2654595.206249999800,11951603.700500000000
FS( 83 ),1721934.417750000300,1985808.255249999700,1854762.824500000100,1778674.424500000000,1878448.483250000000,2627764.460000000400,11847396.865250001000
FS( 84 ),1700469.820750000000,2007551.613249999900,1854762.824500000100,1772402.301999999900,1866033.663000000400,2627764.460000000400,11828988.683500001000
FS( 85 ),1705835.970000000200,2007551.613249999900,1865694.237999999900,1784946.547000000000,1883645.384750000000,2633688.131249999600,11881365.884250000000
FS( 86 ),1687089.292750000300,2019329.265500000000,1838395.571499999800,1842650.074000000000,1898369.938999999800,2648671.534999999700,11934509.677750001000
FS( 87 ),1681723.143500000000,1989432.148250000100,1811096.905000000300,1836377.951500000400,1883645.384750000000,2624976.849999999600,11827256.382999999000
FS( 88 ),1652244.167750000300,1974030.602999999900,1802913.278499999800,1848922.196500000100,1868632.113750000000,2559816.466249999600,11706562.825750001000
FS( 89 ),1660258.546500000200,1989432.148250000100,1802913.278499999800,1842650.074000000000,1866033.663000000400,2577587.480000000000,11738879.190250000000
FS( 90 ),1681723.143500000000,2037448.730499999800,1838395.571499999800,1853939.894499999700,1905876.574500000100,2645535.473749999900,11962923.388249997000
FS( 91 ),1716568.268500000000,2041072.623500000200,1887557.064999999700,1871501.837499999900,1903566.840499999900,2675153.830000000100,12095424.464999998000
FS( 92 ),1735314.945750000000,2000303.827249999900,2002127.835999999900,1842650.074000000000,1885955.118750000100,2639611.802500000700,12105967.604250001000
FS( 93 ),1724582.647250000200,2011175.506249999900,2116758.341499999600,1882791.658000000100,1873540.298500000000,2731602.932499999600,12340455.383999998000
FS( 94 ),1778174.449500000100,2019329.265500000000,2100391.088500000100,1882791.658000000100,1893461.754250000200,2613129.507499999800,12287281.723250002000
FS( 95 ),1762145.692000000300,1947757.378749999900,2081276.048499999800,1860212.017000000000,1883645.384750000000,2542045.452500000100,12077085.973500000000
FS( 96 ),1767511.841250000100,1917860.261499999800,2070344.634999999800,1825088.131000000100,1883645.384750000000,2580375.089999999900,12044829.343499999000
FS( 97 ),1767511.841250000100,1884339.251250000000,2015807.036500000200,1813798.310499999900,1888553.569500000000,2539257.842499999300,11909271.851499999000
FS( 98 ),1732666.716250000100,1906988.582500000000,2040357.915999999700,1789964.244999999900,1871230.564499999900,2500579.753749999700,11841791.777999999000
FS( 99 ),1740681.095000000200,1947757.378749999900,2023990.662999999900,1831360.253499999900,1891152.020249999600,2515563.157499999700,11950508.568000000000
FS( 100 ),1729948.796500000200,1914236.368499999900,2073092.421999999800,1818816.008500000000,1876138.749249999600,2491868.472499999700,11904104.817250000000
FS( 101 ),1724582.647250000200,1891587.037249999800,2073092.421999999800,1825088.131000000100,1891152.020249999600,2542045.452500000100,11947551.710250000000
FS( 102 ),1746047.244250000500,1981278.389000000200,2201342.393500000200,1784946.547000000000,1896060.204999999800,2592222.432499999600,12201901.211250000000
